beer,link,score,style
Kaltenbeer Gruri Blek,/beer/kaltenbeer-gruri-blek/440920/,3.18,Dunkelweizen
Brauhaus Rose,/beer/brauhaus-rose/283953/,3.10,Amber Lager/Vienna
Birra Puka,/beer/birra-puka/436987/,3.04,Zwickel/Keller/Landbier
Kaltenbeer Terminator Dark Double Malt,/beer/kaltenbeer-terminator-dark-double-malt/440908/,3.04,Dunkler Bock
Kaltenbeer Pilsner Beer,/beer/kaltenbeer-pilsner-beer/440900/,3.04,Pilsener
Brauhaus Dark Brau (Brunja),/beer/brauhaus-dark-brau-brunja/240241/,3.03,Brown Ale
Birra King Pils,/beer/birra-king-pils/439458/,3.02,Pilsener
Brauhaus Bockbier (Vera Elbit),/beer/brauhaus-bockbier-vera-elbit/240244/,3.01,Dunkler Bock
Kaltenbeer Krudo (Unfiltered),/beer/kaltenbeer-krudo-unfiltered/440921/,2.98,Zwickel/Keller/Landbier
Kaltenbeer Festival Krudo (Unfiltered),/beer/kaltenbeer-festival-krudo-unfiltered/440916/,2.97,Oktoberfest/M�rzen
Kaltenbeer Weizen (e Turbullt),/beer/kaltenbeer-weizen-e-turbullt/440919/,2.94,German Hefeweizen
Brauhaus Helles,/beer/brauhaus-helles/277670/,2.91,Dortmunder/Helles
BrauHaus Marzen,/beer/brauhaus-marzen/277674/,2.88,Oktoberfest/M�rzen
Kaltenbeer IPA,/beer/kaltenbeer-ipa/549351/,2.85,English Pale Ale
Brauhaus Brau Bier,/beer/brauhaus-brau-bier/288008/,2.84,Amber Ale
Norga Rossa,/beer/norga-rossa/153091/,2.82,Amber Lager/Vienna
Golden Pils (Albania),/beer/golden-pils-albania/440009/,2.81,Pilsener
Brauhaus Weizenbier (E Turbullt),/beer/brauhaus-weizenbier-e-turbullt/240242/,2.79,German Kristallweizen
Stela Dark Beer,/beer/stela-dark-beer/153088/,2.79,Dunkel/Tmav�
Stela Krudo,/beer/stela-krudo/153086/,2.77,Wheat Ale
Hotel Martini Donauer,/beer/hotel-martini-donauer/84884/,2.77,Pale Lager
Brauhaus Brau Ale (Bjondja Aromatike),/beer/brauhaus-brau-ale-bjondja-aromatike/240240/,2.76,Golden Ale/Blond Ale
Birra Tirana e Zez� ,/beer/birra-tirana-e-zeze/49956/,2.73,Dunkel/Tmav�
Deutch Beer,/beer/deutch-beer/349608/,2.72,Pilsener
Norga Birra Bionda,/beer/norga-birra-bionda/135900/,2.71,Pale Lager
Svejk Blonde,/beer/svejk-blonde/220897/,2.70,Pale Lager
Craft Beer Iliria Weissbier ,/beer/craft-beer-iliria-weissbier/339898/,2.70,German Hefeweizen
Birra Rozafa,/beer/birra-rozafa/93783/,2.64,Pale Lager
Berg Bier Helles,/beer/berg-bier-helles/551547/,2.62,Dortmunder/Helles
Stela Double Malt Strong Beer,/beer/stela-double-malt-strong-beer/153089/,2.62,Imperial Pils/Strong Pale Lager
Svejk Dark,/beer/svejk-dark/220898/,2.55,Dunkel/Tmav�
Kor�a Pils e Zez� (Dark),/beer/korca-pils-e-zeze-dark/77389/,2.54,Dunkel/Tmav�
Vlora,/beer/vlora/290861/,2.52,Pilsener
Stela 0.0,/beer/stela-00/409287/,2.40,Low Alcohol
L�wenbr�u Premium L�ger (Albania),/beer/lowenbrau-premium-lager-albania/134119/,2.40,Pale Lager
L�wen Br�u Pilsner hopfenherb,/beer/lowen-brau-pilsner-hopfenherb/290875/,2.36,Pilsener
�ek Pilsener,/beer/cek-pilsener/153087/,2.35,Czech Pilsner (Světl�)
Castelberg,/beer/castelberg/240238/,2.29,Pale Lager
Ereniku Pilsner Beer,/beer/ereniku-pilsner-beer/134118/,2.22,Pale Lager
Birra Elbar,/beer/birra-elbar/356484/,2.21,Pale Lager
Stela Selekt ,/beer/stela-selekt/189684/,2.19,Pilsener
Kor�a Bjonde,/beer/korca-bjonde/73708/,2.14,Pilsener
Birra Tirana Kuqalashe,/beer/birra-tirana-kuqalashe/138156/,2.13,Pale Lager
Norga The Best Beer,/beer/norga-the-best-beer/135903/,2.07,Pale Lager
Norga Premium L�ger,/beer/norga-premium-lager/68725/,2.06,Pale Lager
Birra Tirana ,/beer/birra-tirana/5423/,1.99,Pale Lager
Stela Pils,/beer/stela-pils/220722/,1.93,Pale Lager
Stela Pils 4%,/beer/stela-pils-4/287791/,1.92,Pilsener
Kor�a 01 Lager Beer,/beer/korca-01-lager-beer/153090/,1.88,Pale Lager
Stela,/beer/stela/15329/,1.84,Pale Lager
