beer,link,score,style
Super Star,/beer/super-star/447229/,2.72,Pilsener
Schems Bavaroise,/beer/schems-bavaroise/48016/,2.63,Pale Lager
Algad Golden Pils,/beer/algad-golden-pils/54519/,2.59,Pilsener
Algad Lalla Princesse,/beer/algad-lalla-princesse/54521/,2.59,Pale Lager
Beaufort (Algeria),/beer/beaufort-algeria/56956/,2.59,Pale Lager
Tango Samba,/beer/tango-samba/57042/,2.43,Pale Lager
Albra� Bi�re Blonde,/beer/albrau-biere-blonde/430171/,2.31,Pale Lager
Koelberg,/beer/koelberg/430172/,2.31,Pale Lager
Hofbr�u Bavi�re Bavaroise Premium Pils,/beer/hofbrau-baviere-bavaroise-premium-pils/56945/,2.29,Pilsener
Algad Extreme Beer,/beer/algad-extreme-beer/54520/,2.11,Pale Lager
Tango Bi�re Blonde,/beer/tango-biere-blonde/56929/,2.08,Pale Lager
Tango Gold,/beer/tango-gold/56950/,2.03,Pale Lager
Algad Power Beer,/beer/algad-power-beer/57309/,1.92,Pale Lager
Mini BR,/beer/mini-br/43344/,1.82,Pale Lager
Tango Sans Alcool,/beer/tango-sans-alcool/56934/,1.80,Low Alcohol
B.A.O. Kelch,/beer/bao-kelch/43345/,1.72,Pale Lager
