beer,link,score,style
La Birreria Trapella,/beer/la-birreria-trapella/372389/,3.25,Porter
La Birreria Trapella Rock Star,/beer/la-birreria-trapella-rock-star/553034/,3.21,India Pale Ale (IPA)
La Birreria Trapella IPA,/beer/la-birreria-trapella-ipa/444176/,3.15,India Pale Ale (IPA)
La Birreria Trapella Red Nose,/beer/la-birreria-trapella-red-nose/551554/,3.12,India Pale Ale (IPA)
Alpha La Font Del Bisbe,/beer/alpha-la-font-del-bisbe/226075/,2.94,American Pale Ale
Alpha Black Porter,/beer/alpha-black-porter/421176/,2.94,Imperial Porter
Alpha Dama de Gel,/beer/alpha-dama-de-gel/347619/,2.93,Sour Red/Brown
Alpha Sant Corneli,/beer/alpha-sant-corneli/222280/,2.92,India Pale Ale (IPA)
Alpha Els Amants del Roc,/beer/alpha-els-amants-del-roc/432481/,2.89,Porter
Alpha  Fums,/beer/alpha-fums/236915/,2.89,Smoked
Boris Craft Beer Andorra Golden Ale,/beer/boris-craft-beer-andorra-golden-ale/434352/,2.83,Golden Ale/Blond Ale
Alpha El Testament Del Llop ,/beer/alpha-el-testament-del-llop/481027/,2.83,Smoked
Alpha Roure (Especial Lager),/beer/alpha-roure-especial-lager/179235/,2.82,Imperial Pils/Strong Pale Lager
La Birreria Trapella Doggy Queen,/beer/la-birreria-trapella-doggy-queen/553019/,2.76,K�lsch
Alpha Roure Pale Ale,/beer/alpha-roure-pale-ale/194852/,2.71,English Pale Ale
Alpha Andorbock Fumat,/beer/alpha-andorbock-fumat/196132/,2.71,Smoked
Cerveses Alpha La Dama Blanca,/beer/cerveses-alpha-la-dama-blanca/481032/,2.68,Golden Ale/Blond Ale
Boris Craft Beer White Ale,/beer/boris-craft-beer-white-ale/495600/,2.68,Witbier
La Birreria Trapella Scrum,/beer/la-birreria-trapella-scrum/555633/,2.67,Witbier
Alpha Full Fusion,/beer/alpha-full-fusion/276147/,2.65,Spice/Herb/Vegetable
Alpha La Farga,/beer/alpha-la-farga/194851/,2.63,Bitter
Alpha Monjo Boig,/beer/alpha-monjo-boig/168447/,2.56,German Hefeweizen
La Birreria Trapella Ginger Beard,/beer/la-birreria-trapella-ginger-beard/553044/,2.55,Spice/Herb/Vegetable
Alpha Torrada,/beer/alpha-torrada/164176/,2.50,Amber Ale
Alpha Smoked Red Ale,/beer/alpha-smoked-red-ale/177830/,2.45,Smoked
Alpha Crepuscle,/beer/alpha-crepuscle/177235/,2.43,Stout
Alpha Eagle,/beer/alpha-eagle/222282/,2.30,Golden Ale/Blond Ale
Alpha El Barranc Dels Dimonis,/beer/alpha-el-barranc-dels-dimonis/553040/,2.29,Spice/Herb/Vegetable
Alpha Tipus Pilsener,/beer/alpha-tipus-pilsener/154459/,2.26,Pilsener
