beer,link,score,style
Juguetes Perdidos Baltic Porter Cognac Barrel Aged,/beer/juguetes-perdidos-baltic-porter-cognac-barrel-aged/521949/,3.52,Baltic Porter
Araucana Rojiza Fuerte,/beer/araucana-rojiza-fuerte/82421/,3.45,Doppelbock
Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,/beer/juguetes-perdidos-imperial-porter-barrel-aged-with-dried-sour-cherries/522012/,3.42,Imperial Porter
Shopron Porter,/beer/shopron-porter/55731/,3.37,Porter
Murray's IPA,/beer/murrays-ipa/57964/,3.36,India Pale Ale (IPA)
Juguetes Perdidos Imperial Saison Chardonay Barrel,/beer/juguetes-perdidos-imperial-saison-chardonay-barrel/522225/,3.36,Saison
La Loggia Imperial Stout,/beer/la-loggia-imperial-stout/70569/,3.36,Imperial Stout
Antares IPA,/beer/antares-ipa/71783/,3.33,India Pale Ale (IPA)
Rubia y Negra Scotch Ale,/beer/rubia-y-negra-scotch-ale/60179/,3.32,Scotch Ale
Antares Imperial Stout,/beer/antares-imperial-stout/41129/,3.31,Imperial Stout
Los Bichos Mandan Patagonia Wild Berries Sour,/beer/los-bichos-mandan-patagonia-wild-berries-sour/521926/,3.31,Lambic Style - Fruit
Beagle Fuegian Cream Stout,/beer/beagle-fuegian-cream-stout/219693/,3.29,Sweet Stout
Berlina Foreign Stout,/beer/berlina-foreign-stout/57120/,3.28,Foreign Stout
Antares Cream Stout,/beer/antares-cream-stout/41126/,3.27,Stout
Los Bichos Mandan Red Hot Chili Sour ,/beer/los-bichos-mandan-red-hot-chili-sour/521927/,3.25,Sour Red/Brown
Berlina Colonia Suiza,/beer/berlina-colonia-suiza/345721/,3.25,Golden Ale/Blond Ale
Berlina Old Ale,/beer/berlina-old-ale/310092/,3.24,Old Ale
Me Ech� La Burra Negra,/beer/me-echo-la-burra-negra/313977/,3.24,Dunkelweizen
Eisenbrucke Russian Imperial Stout,/beer/eisenbrucke-russian-imperial-stout/174900/,3.23,Imperial Stout
Los Bichos Mandan Golden Sour Peaches,/beer/los-bichos-mandan-golden-sour-peaches/521922/,3.23,Lambic Style - Fruit
Juguetes Perdidos Imperial Stout,/beer/juguetes-perdidos-imperial-stout/522500/,3.22,Imperial Stout
Itzel American Rye IPA,/beer/itzel-american-rye-ipa/494884/,3.21,American Pale Ale
Murray's Old Ale,/beer/murrays-old-ale/67024/,3.21,Old Ale
Berlina India Pale Ale,/beer/berlina-india-pale-ale/57119/,3.20,India Pale Ale (IPA)
Barba Roja Barrel Aged Red Ale,/beer/barba-roja-barrel-aged-red-ale/106046/,3.19,American Strong Ale 
El Bolson Negra Extra,/beer/el-bolson-negra-extra/7165/,3.18,Dunkel/Tmav�
Buller India Pale Ale,/beer/buller-india-pale-ale/20737/,3.18,India Pale Ale (IPA)
Rubia y Negra Stout,/beer/rubia-y-negra-stout/60180/,3.17,Stout
Juguetes Perdidos Strong Dark Belgian Cognac Barrel,/beer/juguetes-perdidos-strong-dark-belgian-cognac-barrel/522240/,3.16,Belgian Strong Ale
Buller Dry Stout,/beer/buller-dry-stout/21203/,3.16,Dry Stout
Kraken Imperial Stout,/beer/kraken-imperial-stout/138006/,3.16,Imperial Stout
Bersaglier Cream Stout,/beer/bersaglier-cream-stout/52616/,3.15,Stout
Cape Horn Oatmeal Stout,/beer/cape-horn-oatmeal-stout/85419/,3.15,Stout
Araucana Negra Bock,/beer/araucana-negra-bock/57965/,3.15,Dunkler Bock
Del Castillo Stout Ahumada,/beer/del-castillo-stout-ahumada/67486/,3.15,Smoked
Juguetes Perdidos Monster Ale,/beer/juguetes-perdidos-monster-ale/522217/,3.15,Imperial IPA
Balameb Cinco Muescas,/beer/balameb-cinco-muescas/491105/,3.15,Stout
Chiruzza Mulata,/beer/chiruzza-mulata/492890/,3.15,Stout
IMperial Weissbier,/beer/imperial-weissbier/314043/,3.14,German Hefeweizen
Shopron Red Ale,/beer/shopron-red-ale/57174/,3.14,Bitter
Corsario Negro Redbitter,/beer/corsario-negro-redbitter/12712/,3.14,Bitter
Araucana Rubia Extra Fuerte,/beer/araucana-rubia-extra-fuerte/54483/,3.14,Heller Bock
Die Eisenbrucke Dubbel,/beer/die-eisenbrucke-dubbel/161733/,3.13,Abbey Dubbel
La Blanca,/beer/la-blanca/509298/,3.13,Belgian Ale
Sixtofer Oatmeal Stout,/beer/sixtofer-oatmeal-stout/162074/,3.13,Sweet Stout
Cardos Lager Pilsen,/beer/cardos-lager-pilsen/50850/,3.12,Pilsener
El Bolson Negra Ahumada,/beer/el-bolson-negra-ahumada/7166/,3.11,Smoked
Beagle Fuegian Stout (Negra),/beer/beagle-fuegian-stout-negra/44267/,3.11,Stout
Keusters Dubbel,/beer/keusters-dubbel/374374/,3.11,Abbey Dubbel
Basti�n Brown Porter,/beer/bastion-brown-porter/485165/,3.11,Porter
