beer,link,score,style
Dargett Coney Island,/beer/dargett-coney-island/551631/,3.20,American Pale Ale
Dargett The Catcher In The Wheat ,/beer/dargett-the-catcher-in-the-wheat/567116/,3.17,Wheat Ale
Academia Weizen,/beer/academia-weizen/417634/,3.13,German Hefeweizen
Karloff Dark,/beer/karloff-dark/417569/,3.09,Dunkel/Tmav�
Academia Pils,/beer/academia-pils/417571/,3.09,Pilsener
Academia Bitter,/beer/academia-bitter/417635/,3.03,English Pale Ale
Dargett Metamorphosis ,/beer/dargett-metamorphosis/566334/,2.94,Amber Lager/Vienna
Dargett Prunus Armeniaca,/beer/dargett-prunus-armeniaca/566336/,2.94,Fruit Beer
Academia Dunkel,/beer/academia-dunkel/417636/,2.93,Dunkel/Tmav�
Dargett Vertigo,/beer/dargett-vertigo/566338/,2.92,India Pale Ale (IPA)
Dargett Underdog,/beer/dargett-underdog/566342/,2.92,Spice/Herb/Vegetable
Karloff Classic,/beer/karloff-classic/417566/,2.91,Czech Pilsner (Světl�)
Dargett 1984,/beer/dargett-1984/566341/,2.89,Stout
Ginevan Elitar,/beer/ginevan-elitar/388328/,2.89,Premium Lager
Ginevan Platinum,/beer/ginevan-platinum/341484/,2.87,Pilsener
Dargett Prunus Armeniaca,/beer/dargett-prunus-armeniaca/516412/,2.87,Wheat Ale
Karloff Gold,/beer/karloff-gold/417568/,2.86,Dortmunder/Helles
Kilikia Dymchatoe Temnoe ,/beer/kilikia-dymchatoe-temnoe/224588/,2.84,Smoked
Ginevan Gold,/beer/ginevan-gold/350505/,2.83,Pale Lager
Gyumri Shirak,/beer/gyumri-shirak/75039/,2.81,Amber Lager/Vienna
Dargett Armenia Invicta,/beer/dargett-armenia-invicta/554212/,2.81,Imperial IPA
Dargett Belle de Jour,/beer/dargett-belle-de-jour/566332/,2.79,Golden Ale/Blond Ale
Kilikia Dymchatoe Svetloe,/beer/kilikia-dymchatoe-svetloe/224587/,2.79,Smoked
Kotayk Dark,/beer/kotayk-dark/30499/,2.73,Dunkel/Tmav�
Městsk� Pivo,/beer/m283stske-pivo/339453/,2.66,Czech Pilsner (Světl�)
Kilikia Dark,/beer/kilikia-dark/13527/,2.66,Oktoberfest/M�rzen
Erebuni 14,/beer/erebuni-14/278979/,2.63,Pale Lager
Kilikia 0,/beer/kilikia-0/341080/,2.60,Low Alcohol
12.06 Premium Beer,/beer/1206-premium-beer/436491/,2.58,Pale Lager
Kellers (Armenia) Gold Filtered,/beer/kellers-armenia-gold-filtered/264007/,2.58,Pale Lager
Hayer,/beer/hayer/137468/,2.51,Pilsener
Gyumri Lager (Rigayi),/beer/gyumri-lager-rigayi/75040/,2.48,Pale Lager
Kilikia 11,/beer/kilikia-11/183278/,2.40,Pale Lager
Kilikia 1952,/beer/kilikia-1952/334593/,2.37,Pale Lager
Kotayk Cani,/beer/kotayk-cani/80794/,2.35,Pale Lager
Yerevan Premium Beer,/beer/yerevan-premium-beer/339447/,2.34,Pale Lager
Erebuni,/beer/erebuni/19539/,2.34,Imperial Pils/Strong Pale Lager
Kilikia Celebratory,/beer/kilikia-celebratory/41301/,2.32,Pale Lager
Kotayk Moskovyan,/beer/kotayk-moskovyan/49657/,2.29,Pale Lager
Kilikia Youth ,/beer/kilikia-youth/41302/,2.26,Pale Lager
Kilikia Elitar ,/beer/kilikia-elitar/41303/,2.25,Pale Lager
Hayasy Beer Classic,/beer/hayasy-beer-classic/184472/,2.25,Premium Lager
Kilikia Light,/beer/kilikia-light/279055/,2.24,Pale Lager
Aleksandrapol Premium Beer,/beer/aleksandrapol-premium-beer/143008/,2.19,Pale Lager
Kotayk Lager,/beer/kotayk-lager/13523/,2.18,Pale Lager
Kilikia,/beer/kilikia/14615/,2.10,Pale Lager
Ararat Beer,/beer/ararat-beer/281400/,2.10,Pale Lager
Gyumri Classic (Zhigvolyevyan),/beer/gyumri-classic-zhigvolyevyan/80795/,2.07,Pale Lager
Yerevan Zhigulyovskoe,/beer/yerevan-zhigulyovskoe/45396/,2.05,Pale Lager
Gyumri Gold,/beer/gyumri-gold/107274/,1.95,Pale Lager
