beer,link,score,style
Boatrocker Ramjet Whisky Barrel Aged Imperial Stout,/beer/boatrocker-ramjet-whisky-barrel-aged-imperial-stout/231840/,4.11,Imperial Stout
Moon Dog Jumping The Shark 2015,/beer/moon-dog-jumping-the-shark-2015/387856/,4.06,Imperial Stout
Mornington Peninsula Russian Imperial Stout,/beer/mornington-peninsula-russian-imperial-stout/180644/,3.99,Imperial Stout
Modus Operandi Former Tenant,/beer/modus-operandi-former-tenant/279262/,3.94,India Pale Ale (IPA)
Kaiju! Where Strides the Behemoth,/beer/kaiju-where-strides-the-behemoth/268186/,3.92,Black IPA
Bridge Road B2 Bomber Mach 4.0,/beer/bridge-road-b2-bomber-mach-40/284208/,3.91,Black IPA
Bridge Road / N�gne � Aurora Australis,/beer/bridge-road-nogne-o-aurora-australis/198208/,3.90,Abt/Quadrupel
Nail Clout Stout,/beer/nail-clout-stout/130196/,3.89,Imperial Stout
Murray's Wild Thing Imperial Stout,/beer/murrays-wild-thing-imperial-stout/95468/,3.89,Imperial Stout
Moon Dog Jumping The Shark 2013,/beer/moon-dog-jumping-the-shark-2013/230620/,3.88,Imperial Stout
Feral Tusk,/beer/feral-tusk/45224/,3.88,Imperial IPA
Boatrocker Coffee Ramjet 2016,/beer/boatrocker-coffee-ramjet-2016/448935/,3.85,Imperial Stout
Kaiju! Double IPA,/beer/kaiju-double-ipa/275611/,3.84,Imperial IPA
Wig & Pen Russian Imperial Stout,/beer/wig-pen-russian-imperial-stout/34298/,3.84,Imperial Stout
Feral War Hog IPA,/beer/feral-war-hog-ipa/310723/,3.82,India Pale Ale (IPA)
Murray's/The Crafty Pint Auld Bulgin' Boysterous Bicep 2013,/beer/murrays-the-crafty-pint-auld-bulgin-boysterous-bicep-2013/220324/,3.81,Imperial Stout
Pirate Life IIPA,/beer/pirate-life-iipa/326214/,3.80,Imperial IPA
Nomad Long Reef Pale Ale,/beer/nomad-long-reef-pale-ale/450552/,3.80,American Pale Ale
Mountain Goat Rare Breed IRA,/beer/mountain-goat-rare-breed-ira/226538/,3.79,India Pale Ale (IPA)
Boatrocker Banshee Barleywine,/beer/boatrocker-banshee-barleywine/345105/,3.79,Barley Wine
Thorogoods Billy Bs Golden Malted Apple Beer,/beer/thorogoods-billy-bs-golden-malted-apple-beer/47361/,3.79,Fruit Beer
Two Metre Tall Original Sour Ale,/beer/two-metre-tall-original-sour-ale/211803/,3.79,Sour/Wild Ale
Nail Clayden Brew Imperial Porter,/beer/nail-clayden-brew-imperial-porter/270723/,3.78,Imperial Porter
Two Metre Tall Barrel Aged Sour Cherry Ale,/beer/two-metre-tall-barrel-aged-sour-cherry-ale/211804/,3.78,Sour/Wild Ale
Riverside 777 Imperial IPA (2014-),/beer/riverside-777-imperial-ipa-2014-/255377/,3.77,Imperial IPA
La Sir�ne Saison,/beer/la-sirene-saison/161562/,3.77,Saison
Nomad Easy as IPA,/beer/nomad-easy-as-ipa/404836/,3.77,Session IPA
Redoak Special Reserve,/beer/redoak-special-reserve/59349/,3.76,Barley Wine
La Sir�ne Belgian Praline,/beer/la-sirene-belgian-praline/282514/,3.76,Sweet Stout
Little Creatures Return of The Dread,/beer/little-creatures-return-of-the-dread/151910/,3.75,Foreign Stout
Murray's/The Crafty Pint Auld Bulgin' Boysterous Bicep 2014,/beer/murrays-the-crafty-pint-auld-bulgin-boysterous-bicep-2014/278033/,3.75,Imperial Stout
Bridge Road B2 Bomber Mach 5.0,/beer/bridge-road-b2-bomber-mach-50/347177/,3.75,Black IPA
Mountain Goat / Mikkeller Cross Breed Gypsy & The Goat Black Pepperberry IPA,/beer/mountain-goat-mikkeller-cross-breed-gypsy-the-goat-black-pepperberry-ipa/171365/,3.75,Black IPA
Murray's Wild Thing Chocolate,/beer/murrays-wild-thing-chocolate/339529/,3.75,Imperial Stout
Mountain Goat Before the Dawn,/beer/mountain-goat-before-the-dawn/183853/,3.74,Black IPA
Redoak Baltic Porter,/beer/redoak-baltic-porter/50112/,3.74,Baltic Porter
Moon Dog / Kissmeyer Nordic Saddle Buffer Barrelly Wine,/beer/moon-dog-kissmeyer-nordic-saddle-buffer-barrelly-wine/211572/,3.74,Barley Wine
Modus Operandi Zoo Feeder,/beer/modus-operandi-zoo-feeder/279263/,3.74,India Pale Ale (IPA)
Feral Barrique O'Karma,/beer/feral-barrique-okarma/216826/,3.74,Black IPA
Feral Hop Hog ,/beer/feral-hop-hog/90844/,3.73,India Pale Ale (IPA)
Hargreaves Hill Russian Imperial Stout,/beer/hargreaves-hill-russian-imperial-stout/151763/,3.73,Imperial Stout
Stockade The Mountie Maple Imperial Stout,/beer/stockade-the-mountie-maple-imperial-stout/517736/,3.72,Imperial Stout
Mountain Goat Barrel Breed Imperial Stout,/beer/mountain-goat-barrel-breed-imperial-stout/354093/,3.72,Imperial Stout
Feral The Raging Flem,/beer/feral-the-raging-flem/125625/,3.72,Belgian Strong Ale
Bridge Road One Thousand,/beer/bridge-road-one-thousand/304404/,3.71,Imperial Stout
Feral B.F.H. (Barrel Fermented Hog),/beer/feral-bfh-barrel-fermented-hog/132435/,3.71,India Pale Ale (IPA)
Feral Boris the Russian Imperial Stout,/beer/feral-boris-the-russian-imperial-stout/103864/,3.71,Imperial Stout
Mountain Goat Attack of the Killer Hops,/beer/mountain-goat-attack-of-the-killer-hops/500732/,3.71,India Pale Ale (IPA)
Murray's Icon 2IPA,/beer/murrays-icon-2ipa/57854/,3.71,Imperial IPA
Modus Operandi Cascadian Howl,/beer/modus-operandi-cascadian-howl/520852/,3.71,Black IPA
