beer,link,score,style
Bevog Hagger Blend 0615,/beer/bevog-hagger-blend-0615/345914/,3.93,Barley Wine
Bevog Hagger Blend 1116,/beer/bevog-hagger-blend-1116/471683/,3.91,Barley Wine
Bevog Rudeen Black IPA,/beer/bevog-rudeen-black-ipa/317259/,3.85,Black IPA
Schloss Eggenberg Samichlaus Schwarzes,/beer/schloss-eggenberg-samichlaus-schwarzes/301969/,3.81,Doppelbock
1516 Tres Conejones 15: Tovarich Sanchez Bourbon Cask Matured,/beer/1516-tres-conejones-15-tovarich-sanchez-bourbon-cask-matured/366764/,3.78,Imperial Stout
Bevog Who Cares Editions Black IPA vs Cascadian Dark Ale,/beer/bevog-who-cares-editions-black-ipa-vs-cascadian-dark-ale/300830/,3.78,Black IPA
Bierschmiede Amboss,/beer/bierschmiede-amboss/335680/,3.76,Imperial Stout
Bevog DIPA,/beer/bevog-dipa/266633/,3.75,Imperial IPA
Bevog Who Cares Editions Chocolate Stout,/beer/bevog-who-cares-editions-chocolate-stout/371830/,3.75,Sweet Stout
Bierol El Presidente,/beer/bierol-el-presidente/486340/,3.74,India Pale Ale (IPA)
Schloss Eggenberg Samichlaus Classic Holzfass,/beer/schloss-eggenberg-samichlaus-classic-holzfass/162017/,3.71,Doppelbock
Bierol El Patr�n,/beer/bierol-el-patron/514788/,3.71,Imperial IPA
Bevog Ond Smoked Porter,/beer/bevog-ond-smoked-porter/197736/,3.71,Smoked
Bevog Who Cares Editions Double IPA (Shower Beer),/beer/bevog-who-cares-editions-double-ipa-shower-beer/396405/,3.70,Imperial IPA
Schloss Eggenberg Urbock Dunkel Eisbock,/beer/schloss-eggenberg-urbock-dunkel-eisbock/18399/,3.70,Eisbock
Brew Age Dunkle Materie,/beer/brew-age-dunkle-materie/265761/,3.70,Black IPA
Bevog Who Cares Editions Lumberjack IPA,/beer/bevog-who-cares-editions-lumberjack-ipa/315566/,3.70,India Pale Ale (IPA)
Brew Age Red Out,/beer/brew-age-red-out/414740/,3.69,Sour Red/Brown
Bevog Kramah India Pale Ale,/beer/bevog-kramah-india-pale-ale/213316/,3.68,India Pale Ale (IPA)
Bevog Who Cares Editions Brown Snowball Coconut Porter,/beer/bevog-who-cares-editions-brown-snowball-coconut-porter/459952/,3.67,Imperial Porter
1516 NZ Victory Hop Devil India Pale Ale,/beer/1516-nz-victory-hop-devil-india-pale-ale/33064/,3.67,India Pale Ale (IPA)
Rieder Schwarzmann,/beer/rieder-schwarzmann/336564/,3.67,Schwarzbier
Brew Age Alphatier,/beer/brew-age-alphatier/522149/,3.66,India Pale Ale (IPA)
Bierol Padawan,/beer/bierol-padawan/334084/,3.66,American Pale Ale
Brew Age Philibeg,/beer/brew-age-philibeg/464874/,3.65,Scotch Ale
Bierzauberei New Year Imperial Ale 2014,/beer/bierzauberei-new-year-imperial-ale-2014/240854/,3.65,Imperial IPA
Engelszell Gregorius Trappistenbier,/beer/engelszell-gregorius-trappistenbier/171748/,3.65,Abt/Quadrupel
Bevog Baja Oatmeal Stout,/beer/bevog-baja-oatmeal-stout/197734/,3.64,Stout
Bevog Who Cares Editions Freezbee Beer Session IPA,/beer/bevog-who-cares-editions-freezbee-beer-session-ipa/425889/,3.64,Session IPA
Brew Age Eisknacker,/beer/brew-age-eisknacker/401389/,3.64,Eisbock
Brew Age Fassknacker,/beer/brew-age-fassknacker/414886/,3.63,Barley Wine
Bierol El Diablo,/beer/bierol-el-diablo/486342/,3.63,Imperial IPA
Edelweiss Gamsbock,/beer/edelweiss-gamsbock/45827/,3.63,Weizen Bock
Hofstettner G'froren's Mandarina Bavaria (DH) Iced IPA,/beer/hofstettner-gfrorens-mandarina-bavaria-dh-iced-ipa/307470/,3.62,Imperial IPA
Bierschmiede Hammer,/beer/bierschmiede-hammer/357868/,3.62,Baltic Porter
Lichtenthaler Brett Ale / Oud Bruin,/beer/lichtenthaler-brett-ale-oud-bruin/330881/,3.62,Sour Red/Brown
7 Stern Winterrauchbock,/beer/7-stern-winterrauchbock/41418/,3.62,Smoked
Bevog Black Blood,/beer/bevog-black-blood/538855/,3.61,Black IPA
Next Level Brewing Black Queen - Imperial Stout,/beer/next-level-brewing-black-queen-imperial-stout/433348/,3.61,Imperial Stout
Bevog Who Cares Editions Double IPA Volume 2. (Shower Beer),/beer/bevog-who-cares-editions-double-ipa-volume-2-shower-beer/487733/,3.60,Imperial IPA
Brew Age Affenk�nig,/beer/brew-age-affenkonig/322380/,3.60,Imperial IPA
Next Level Brewing Local Hero - Easy Pale Ale,/beer/next-level-brewing-local-hero-easy-pale-ale/367717/,3.60,American Pale Ale
Lichtenthaler La Viennette Marille,/beer/lichtenthaler-la-viennette-marille/376433/,3.60,Sour/Wild Ale
Gusswerk Die Schwarze Kuh,/beer/gusswerk-die-schwarze-kuh/300213/,3.59,Imperial Stout
Bierol / Brew Age Juicebumps,/beer/bierol-brew-age-juicebumps/506272/,3.59,India Pale Ale (IPA)
Next Level Brewing Bitter Freak - Brutal Double IPA,/beer/next-level-brewing-bitter-freak-brutal-double-ipa/370530/,3.59,Imperial IPA
Bierol Imperial Oatmeal Stout,/beer/bierol-imperial-oatmeal-stout/330871/,3.58,Imperial Stout
Next Level Brewing Tropical Passion - Passionfruit Ale,/beer/next-level-brewing-tropical-passion-passionfruit-ale/439254/,3.58,Wheat Ale
Schloss Eggenberg Samichlaus Classic,/beer/schloss-eggenberg-samichlaus-classic/6245/,3.57,Doppelbock
Bevog Who Cares Editions Milk Stout,/beer/bevog-who-cares-editions-milk-stout/343054/,3.57,Sweet Stout
