beer,link,score,style
Beerbaşa Light,/beer/beerba351a-light/523968/,2.96,Dortmunder/Helles
Beerbaşa Dark,/beer/beerba351a-dark/523967/,2.94,Dunkel/Tmav�
The Brewery (Baku) Medium,/beer/the-brewery-baku-medium/514053/,2.93,Oktoberfest/M�rzen
The Brewery (Baku) Dark,/beer/the-brewery-baku-dark/514054/,2.90,Dunkel/Tmav�
The Brewery (Baku) Light,/beer/the-brewery-baku-light/514052/,2.88,Pilsener
Starapraga Pilsner Premium Dark,/beer/starapraga-pilsner-premium-dark/522634/,2.79,Dunkel/Tmav�
Xirdalan Export,/beer/xirdalan-export/523716/,2.75,Pale Lager
Xirdalan Novruz,/beer/xirdalan-novruz/508502/,2.75,Premium Lager
Novxani Pilsener Zlat�,/beer/novxani-pilsener-zlaty/146580/,2.73,Czech Pilsner (Světl�)
Karvan,/beer/karvan/230143/,2.70,Pale Lager
Grand Saaz Hop,/beer/grand-saaz-hop/522651/,2.68,Premium Lager
Bizim Pive 3.5%,/beer/bizim-pive-35/57933/,2.68,Pale Lager
Baki-Praqa Golden Malt,/beer/baki-praqa-golden-malt/524581/,2.66,Pale Lager
Novxani Pilsener Light,/beer/novxani-pilsener-light/522631/,2.66,Pale Lager
Xirdalan Qara,/beer/xirdalan-qara/38848/,2.60,Dunkel/Tmav�
Xirdalan 7.7,/beer/xirdalan-77/38847/,2.58,Imperial Pils/Strong Pale Lager
Castel Beer (Azerbaijan),/beer/castel-beer-azerbaijan/38797/,2.50,Pale Lager
Xirdalan Lager Beer,/beer/xirdalan-lager-beer/50476/,2.17,Pale Lager
Xirdalan Draft Premium,/beer/xirdalan-draft-premium/143005/,1.96,Premium Lager
Afsana,/beer/afsana/193316/,1.91,Pale Lager
MVF Falken,/beer/mvf-falken/535052/,1.85,Pale Lager
Starapraga Pilsner Light,/beer/starapraga-pilsner-light/522632/,n/a,Pale Lager
Starapraga Pilsner Premium,/beer/starapraga-pilsner-premium/522633/,n/a,Premium Lager
Baki-Castel 33 Export (Azerbaijan),/beer/baki-castel-33-export-azerbaijan/57932/,n/a,Premium Lager
Bizim Pive 4.2%,/beer/bizim-pive-42/106639/,n/a,Pale Lager
Grand Light Beer,/beer/grand-light-beer/522652/,n/a,Pale Lager
Grand Unfiltered,/beer/grand-unfiltered/522650/,n/a,Pale Lager
Jaker Premium,/beer/jaker-premium/523037/,n/a,Pale Lager
Jaker Premium Dark,/beer/jaker-premium-dark/523038/,n/a,Dunkel/Tmav�
