beer,link,score,style
Pirate Republic Black Beer'd Stout,/beer/pirate-republic-black-beerd-stout/352212/,3.41,Stout
Pirate Republic Island Pirate Ale,/beer/pirate-republic-island-pirate-ale/322167/,3.22,India Pale Ale (IPA)
Bahamian Strong Back Stout,/beer/bahamian-strong-back-stout/103067/,3.13,Foreign Stout
Pirate Republic Gold & Haze of Piracy,/beer/pirate-republic-gold-haze-of-piracy/322168/,3.03,Witbier
Pirate Republic Take No Quarter,/beer/pirate-republic-take-no-quarter/463925/,3.02,India Pale Ale (IPA)
Pirate Republic Citra Me Timbers,/beer/pirate-republic-citra-me-timbers/566757/,3.00,American Pale Ale
Pirate Republic Old Ale,/beer/pirate-republic-old-ale/513928/,2.98,Pale Lager
Pirate Republic Seven Seas,/beer/pirate-republic-seven-seas/566761/,2.92,Amber Ale
Pirate Republic Long John Pilsner,/beer/pirate-republic-long-john-pilsner/323706/,2.91,Pilsener
Pirate Republic Lutra Express,/beer/pirate-republic-lutra-express/566762/,2.87,Fruit Beer
Pirate Republic Captain Kidd's K�lsch,/beer/pirate-republic-captain-kidds-kolsch/382293/,2.86,K�lsch
Pirate Republic Coconut Porter,/beer/pirate-republic-coconut-porter/453269/,2.84,Porter
Pirate Republic Imperial FCCK,/beer/pirate-republic-imperial-fcck/453267/,2.83,Imperial Stout
Bahamian Atlantis Ale,/beer/bahamian-atlantis-ale/241471/,2.82,Amber Ale
Kalik Crisp,/beer/kalik-crisp/448706/,2.72,Pale Lager
Pirate Republic Cream Ale,/beer/pirate-republic-cream-ale/513926/,2.72,Cream Ale
Bahamian Sands Pink Radler,/beer/bahamian-sands-pink-radler/382307/,2.68,Radler/Shandy
Grand Bahama Lucayan Lager,/beer/grand-bahama-lucayan-lager/8673/,2.58,Pale Lager
Eclipse Beer,/beer/eclipse-beer/105377/,2.48,Pale Lager
Kalik Light Platinum,/beer/kalik-light-platinum/453272/,2.48,Malt Liquor
Bahamian High Rock,/beer/bahamian-high-rock/114948/,2.41,Premium Lager
Kalik Radler,/beer/kalik-radler/283493/,2.33,Radler/Shandy
Kalik Lime,/beer/kalik-lime/182816/,2.26,Pale Lager
Kalik Gold,/beer/kalik-gold/865/,2.16,Malt Liquor
Bahamian Bush Crack,/beer/bahamian-bush-crack/166218/,2.16,Malt Liquor
Bahamian Sands Beer,/beer/bahamian-sands-beer/87594/,2.16,Pale Lager
Bahamian Sands Light,/beer/bahamian-sands-light/110515/,2.07,Pale Lager
Kalik,/beer/kalik/8682/,1.91,Pale Lager
Kalik Light,/beer/kalik-light/866/,1.73,Pale Lager
Buccaneer Lager,/beer/buccaneer-lager/41509/,n/a,Pale Lager
