beer,link,score,style
Banks Stallion Milk Stout,/beer/banks-stallion-milk-stout/139527/,3.18,Sweet Stout
The BrewHouse Mahogany Bay Stout,/beer/the-brewhouse-mahogany-bay-stout/501003/,3.13,Stout
The BrewHouse Round Rock IPA,/beer/the-brewhouse-round-rock-ipa/500048/,3.13,India Pale Ale (IPA)
The BrewHouse Long Beach Wheat Ale,/beer/the-brewhouse-long-beach-wheat-ale/500968/,3.11,German Hefeweizen
The BrewHouse Silver Sands Pale,/beer/the-brewhouse-silver-sands-pale/500018/,3.06,English Pale Ale
The BrewHouse South Point Summer Ale,/beer/the-brewhouse-south-point-summer-ale/500424/,3.04,Golden Ale/Blond Ale
The BrewHouse Sam Lords Smoked Porter,/beer/the-brewhouse-sam-lords-smoked-porter/500073/,3.04,Porter
The BrewHouse Ragged Point Red Ale,/beer/the-brewhouse-ragged-point-red-ale/500711/,3.02,Irish Ale
Banks Deputy,/beer/banks-deputy/258464/,2.78,Pilsener
"Banks Twist Shandy, Cranberry",/beer/banks-twist-shandy-cranberry/354706/,2.64,Radler/Shandy
Banks Light ,/beer/banks-light/4098/,2.62,Pale Lager
Banks Amber Ale ,/beer/banks-amber-ale/139530/,2.57,Golden Ale/Blond Ale
Hardears Golden Ram,/beer/hardears-golden-ram/282784/,2.54,Amber Ale
Banks Seven Strong Lager ,/beer/banks-seven-strong-lager/139529/,2.51,Imperial Pils/Strong Pale Lager
10 Saints Hand Crafted Beer Aged in Rum Casks,/beer/10-saints-hand-crafted-beer-aged-in-rum-casks/177085/,2.36,Premium Lager
Banks Twist Shandy ,/beer/banks-twist-shandy/4099/,2.31,Radler/Shandy
Banks Caribbean Lager / Beer ,/beer/banks-caribbean-lager-beer/4097/,2.14,Pale Lager
Vex Yellow Monkey,/beer/vex-yellow-monkey/258469/,2.13,Premium Lager
Brion,/beer/brion/267738/,1.99,Pale Lager
Banks Legends Export,/beer/banks-legends-export/34058/,1.85,Pale Lager
