beer,link,score,style
TRYE Beer Tsmok,/beer/trye-beer-tsmok/491331/,3.63,Imperial Stout
Brew Team Cafe com Leite,/beer/brew-team-cafe-com-leite/412691/,3.50,Sweet Stout
Brew Team Mosaic Single Hop APA,/beer/brew-team-mosaic-single-hop-apa/429881/,3.47,American Pale Ale
Brew Team / Zagovor Terrible Neighbors,/beer/brew-team-zagovor-terrible-neighbors/440583/,3.47,India Pale Ale (IPA)
Brew Team Venskij APA 3.0,/beer/brew-team-venskij-apa-30/377342/,3.43,American Pale Ale
TRYE Beer Zhytsen,/beer/trye-beer-zhytsen/472730/,3.43,Weizen Bock
Staromestny Pivovar Summer Wheat,/beer/staromestny-pivovar-summer-wheat/354703/,3.39,German Hefeweizen
Brew Team Hoppy Summer Jazz,/beer/brew-team-hoppy-summer-jazz/439415/,3.38,India Pale Ale (IPA)
Bierbank Stout,/beer/bierbank-stout/489220/,3.37,Imperial Stout
Dundulis / Brew Team Duda IPA,/beer/dundulis-brew-team-duda-ipa/381905/,3.36,India Pale Ale (IPA)
Bierbank IPA,/beer/bierbank-ipa/457419/,3.35,India Pale Ale (IPA)
TRYE Beer Znich,/beer/trye-beer-znich/491330/,3.35,Barley Wine
Brew Team / Green Street Cranberry Saison,/beer/brew-team-green-street-cranberry-saison/421530/,3.31,Saison
Staromestny Pivovar Palepatine Ale,/beer/staromestny-pivovar-palepatine-ale/333347/,3.30,American Pale Ale
Druzya Bangalor,/beer/druzya-bangalor/310987/,3.28,India Pale Ale (IPA)
Jungle California Love,/beer/jungle-california-love/471573/,3.25,Wheat Ale
13 Litar American Brown Ale,/beer/13-litar-american-brown-ale/392716/,3.24,Brown Ale
13 Litar IPA,/beer/13-litar-ipa/406347/,3.24,India Pale Ale (IPA)
Bierbank Porter Dark No 1,/beer/bierbank-porter-dark-no-1/377971/,3.24,Baltic Porter
Krinitsa / Druzya Pivnaya Karta Carte Blanche,/beer/krinitsa-druzya-pivnaya-karta-carte-blanche/549327/,3.23,Wheat Ale
Brew Team Mystere De Nonne,/beer/brew-team-mystere-de-nonne/369673/,3.23,Abbey Dubbel
Staromestny Venskij APA,/beer/staromestny-venskij-apa/333348/,3.23,American Pale Ale
Blood Brothers Black Water,/beer/blood-brothers-black-water/460634/,3.23,Sweet Stout
Krinitsa Pivnaya Karta Mosaic IPA,/beer/krinitsa-pivnaya-karta-mosaic-ipa/529792/,3.22,Session IPA
Druzya Single Hop - Citra,/beer/druzya-single-hop-citra/355452/,3.21,American Pale Ale
Midnight Project Evil Grapefruit,/beer/midnight-project-evil-grapefruit/501120/,3.21,Sour/Wild Ale
Krinitsa Porter 8/20,/beer/krinitsa-porter-8-20/383805/,3.20,Imperial Porter
Bierbank Mandarin APA,/beer/bierbank-mandarin-apa/497107/,3.20,American Pale Ale
Brew Team Autumn Fire,/beer/brew-team-autumn-fire/447667/,3.19,Belgian Ale
Jungle Tweed Valley,/beer/jungle-tweed-valley/491161/,3.19,American Pale Ale
TRYE Beer Bortnik,/beer/trye-beer-bortnik/390468/,3.18,Specialty Grain
Bierbank Kopchjonyj Tykvennyj El,/beer/bierbank-kopchjonyj-tykvennyj-el/466289/,3.18,Spice/Herb/Vegetable
Druzya Black Hop,/beer/druzya-black-hop/379101/,3.18,Black IPA
Jungle Follow The White Rabbit,/beer/jungle-follow-the-white-rabbit/450464/,3.18,Wheat Ale
Jungle High Kick,/beer/jungle-high-kick/463714/,3.18,India Pale Ale (IPA)
Blood Brothers What a Lovely Day,/beer/blood-brothers-what-a-lovely-day/522168/,3.18,India Pale Ale (IPA)
Bierbank Black IPA,/beer/bierbank-black-ipa/515839/,3.17,Black IPA
TRYE Beer Khmelishcha IPA,/beer/trye-beer-khmelishcha-ipa/406706/,3.17,India Pale Ale (IPA)
Brestskoe Brestskij Porter,/beer/brestskoe-brestskij-porter/143366/,3.17,Baltic Porter
13 Litar Chinook Flavor,/beer/13-litar-chinook-flavor/450405/,3.16,India Pale Ale (IPA)
13 Litar Mister Pitkin,/beer/13-litar-mister-pitkin/494041/,3.16,Porter
13 Litar Blackout,/beer/13-litar-blackout/480957/,3.16,Stout
13 Litar Cupido,/beer/13-litar-cupido/487250/,3.16,India Pale Ale (IPA)
Jungle Pils Don't Kills,/beer/jungle-pils-dont-kills/543613/,3.16,India Style Lager
Mad Frog Darkstep American Stout,/beer/mad-frog-darkstep-american-stout/471768/,3.15,Stout
Jungle Need More,/beer/jungle-need-more/552302/,3.15,Session IPA
Blood Brothers White Beard,/beer/blood-brothers-white-beard/555968/,3.14,Wheat Ale
Jungle Take It And Run,/beer/jungle-take-it-and-run/480961/,3.14,India Pale Ale (IPA)
Jungle Pint Not Dead,/beer/jungle-pint-not-dead/530815/,3.14,American Pale Ale
Mad Frog CAtZiLLA American IPA,/beer/mad-frog-catzilla-american-ipa/523722/,3.14,India Pale Ale (IPA)
