beer,link,score,style
3 Fonteinen Zenne y Frontera,/beer/3-fonteinen-zenne-y-frontera/358322/,4.43,Lambic Style - Unblended
Westvleteren 12 (XII),/beer/westvleteren-12-xii/4934/,4.43,Abt/Quadrupel
3 Fonteinen J & J Oude Geuze Blauw,/beer/3-fonteinen-j-j-oude-geuze-blauw/46868/,4.33,Lambic Style - Gueuze
Cantillon Don Quijote,/beer/cantillon-don-quijote/101077/,4.32,Lambic Style - Fruit
De Dolle Stille Nacht Reserva 2000,/beer/de-dolle-stille-nacht-reserva-2000/19633/,4.30,Belgian Strong Ale
Rochefort Trappistes 10,/beer/rochefort-trappistes-10/2360/,4.29,Abt/Quadrupel
3 Fonteinen Oude Geuze 1998 (50th Anniversary),/beer/3-fonteinen-oude-geuze-1998-50th-anniversary/23581/,4.28,Lambic Style - Gueuze
3 Fonteinen Millennium Geuze,/beer/3-fonteinen-millennium-geuze/21457/,4.26,Lambic Style - Gueuze
3 Fonteinen Armand'4 Oude Geuze Lente,/beer/3-fonteinen-armand4-oude-geuze-lente/143660/,4.25,Lambic Style - Gueuze
3 Fonteinen Framboos (Framboise),/beer/3-fonteinen-framboos-framboise/12514/,4.24,Lambic Style - Fruit
Bokkereyder Framboos Noyaux,/beer/bokkereyder-framboos-noyaux/500958/,4.23,Lambic Style - Fruit
Cantillon Crianza Helena,/beer/cantillon-crianza-helena/95636/,4.22,Lambic Style - Gueuze
Westvleteren Extra 8,/beer/westvleteren-extra-8/4935/,4.20,Belgian Strong Ale
3 Fonteinen Oude Geuze (Armand & Tommy),/beer/3-fonteinen-oude-geuze-armand-tommy/173481/,4.20,Lambic Style - Gueuze
Struise Dirty Horse,/beer/struise-dirty-horse/84906/,4.19,Sour/Wild Ale
3 Fonteinen Armand'4 Oude Geuze Zomer,/beer/3-fonteinen-armand4-oude-geuze-zomer/147831/,4.19,Lambic Style - Gueuze
Struise Pannepot (10%),/beer/struise-pannepot-10/37835/,4.18,Belgian Strong Ale
Cantillon Soleil de Minuit,/beer/cantillon-soleil-de-minuit/5962/,4.18,Lambic Style - Fruit
3 Fonteinen Hommage,/beer/3-fonteinen-hommage/77006/,4.17,Lambic Style - Fruit
Cantillon Bl�b�r Lambik,/beer/cantillon-blabaer-lambik/66438/,4.17,Lambic Style - Fruit
3 Fonteinen Oude Geuze (Cuv�e Armand & Gaston),/beer/3-fonteinen-oude-geuze-cuvee-armand-gaston/423673/,4.17,Lambic Style - Gueuze
Cantillon La Vie est Belge,/beer/cantillon-la-vie-est-belge/414383/,4.15,Lambic Style - Gueuze
3 Fonteinen Oude Geuze Honing,/beer/3-fonteinen-oude-geuze-honing/491745/,4.14,Lambic Style - Gueuze
Struise Pannepot Reserva,/beer/struise-pannepot-reserva/70646/,4.14,Belgian Strong Ale
St. Bernardus Abt 12,/beer/st-bernardus-abt-12/2530/,4.14,Abt/Quadrupel
Cantillon Vin Jaune,/beer/cantillon-vin-jaune/298564/,4.14,Lambic Style - Fruit
Cantillon Reed Gueuze Muscat,/beer/cantillon-reed-gueuze-muscat/58614/,4.13,Lambic Style - Fruit
3 Fonteinen Oude Geuze Vintage (all from 2002-*),/beer/3-fonteinen-oude-geuze-vintage-all-from-2002-/56716/,4.13,Lambic Style - Gueuze
Struise Black Albert,/beer/struise-black-albert/77305/,4.13,Imperial Stout
Cantillon Lou Pepe Pure Kriek,/beer/cantillon-lou-pepe-pure-kriek/24074/,4.13,Lambic Style - Fruit
3 Fonteinen Armand'4 Oude Geuze Herfst,/beer/3-fonteinen-armand4-oude-geuze-herfst/154437/,4.13,Lambic Style - Gueuze
Struise Cuv�e Delphine,/beer/struise-cuvee-delphine/94955/,4.13,Imperial Stout
3 Fonteinen Druiven Geuze Malvasia Rosso,/beer/3-fonteinen-druiven-geuze-malvasia-rosso/23425/,4.12,Lambic Style - Fruit
Cantillon Lambic d'Aunis ,/beer/cantillon-lambic-daunis/390260/,4.12,Lambic Style - Fruit
3 Fonteinen Armand'4 Oude Geuze Winter,/beer/3-fonteinen-armand4-oude-geuze-winter/160400/,4.12,Lambic Style - Gueuze
Cantillon Carignan,/beer/cantillon-carignan/321015/,4.12,Lambic Style - Fruit
Cantillon Cuv�e Florian,/beer/cantillon-cuvee-florian/263976/,4.12,Lambic Style - Fruit
Cantillon Jean Chris Nomad,/beer/cantillon-jean-chris-nomad/156961/,4.12,Lambic Style - Gueuze
Struise Black Damnation V - Double Black,/beer/struise-black-damnation-v-double-black/94961/,4.11,Imperial Stout
Bokkereyder Framboos Vanille,/beer/bokkereyder-framboos-vanille/452444/,4.11,Lambic Style - Fruit
3 Fonteinen Zenne y Frontera Solera,/beer/3-fonteinen-zenne-y-frontera-solera/547862/,4.11,Lambic Style - Gueuze
3 Fonteinen Schaarbeekse Kriek,/beer/3-fonteinen-schaarbeekse-kriek/24383/,4.10,Lambic Style - Fruit
Cantillon Reed Gueuze Pinot Noir,/beer/cantillon-reed-gueuze-pinot-noir/58615/,4.10,Lambic Style - Fruit
Tilquin Oude Pinot Noir � l'Ancienne,/beer/tilquin-oude-pinot-noir-a-lancienne/465794/,4.10,Lambic Style - Fruit
Struise Pannepot Grand Reserva,/beer/struise-pannepot-grand-reserva/83305/,4.10,Belgian Strong Ale
Cantillon Zwanze (2011),/beer/cantillon-zwanze-2011/140132/,4.09,Lambic Style - Fruit
St. Bernardus Abt 12 Special Edition,/beer/st-bernardus-abt-12-special-edition/61167/,4.09,Abt/Quadrupel
3 Fonteinen Oude Geuze Golden Blend,/beer/3-fonteinen-oude-geuze-golden-blend/167701/,4.09,Lambic Style - Gueuze
Bokkereyder Perzik 2015,/beer/bokkereyder-perzik-2015/453414/,4.09,Lambic Style - Fruit
Bokkereyder Framboos Cognac,/beer/bokkereyder-framboos-cognac/452435/,4.09,Lambic Style - Fruit
