beer,link,score,style
Belikin Chocolate Stout,/beer/belikin-chocolate-stout/185574/,3.10,Sweet Stout
Belikin Sorrel Stout,/beer/belikin-sorrel-stout/196652/,2.96,Foreign Stout
Barefoot Blonde Ale,/beer/barefoot-blonde-ale/317040/,2.94,American Pale Ale
Belikin Stout,/beer/belikin-stout/7183/,2.91,Stout
Belikin Verano,/beer/belikin-verano/277872/,2.67,Pale Lager
Belikin galaxy,/beer/belikin-galaxy/277875/,2.64,Pale Lager
Belikin Premium,/beer/belikin-premium/9077/,2.39,Pale Lager
Belikin Beer,/beer/belikin-beer/7182/,2.26,Pale Lager
Belikin Lighthouse Lager,/beer/belikin-lighthouse-lager/9078/,2.06,Pale Lager
Guinness Foreign Extra Stout (Belize),/beer/guinness-foreign-extra-stout-belize/278682/,n/a,Foreign Stout
Teufel Hickory Aged Ale,/beer/teufel-hickory-aged-ale/317649/,n/a,American Strong Ale 
