beer,link,score,style
North Rock Black Anchor Porter,/beer/north-rock-black-anchor-porter/4108/,3.17,Porter
North Rock Old Colony Bitter,/beer/north-rock-old-colony-bitter/4104/,3.11,Premium Bitter/ESB
North Rock Whale of a Wheat,/beer/north-rock-whale-of-a-wheat/4102/,3.07,German Hefeweizen
Dockyard Autumn IPA,/beer/dockyard-autumn-ipa/560887/,3.04,India Pale Ale (IPA)
Dockyard A Whale of a Wheat,/beer/dockyard-a-whale-of-a-wheat/126286/,3.02,German Hefeweizen
North Rock Trunk Island Pale Ale,/beer/north-rock-trunk-island-pale-ale/74789/,2.97,English Pale Ale
Dockyard Summer IPA,/beer/dockyard-summer-ipa/427147/,2.92,India Pale Ale (IPA)
North Rock Somers Amber Ale,/beer/north-rock-somers-amber-ale/4107/,2.91,Amber Ale
Dockyard Black Anchor Porter,/beer/dockyard-black-anchor-porter/126291/,2.90,Porter
Dockyard Somers Amber Ale,/beer/dockyard-somers-amber-ale/126289/,2.90,Premium Bitter/ESB
North Rock St Davids Light,/beer/north-rock-st-davids-light/74788/,2.89,Golden Ale/Blond Ale
Dockyard Trunk Island Pale Ale,/beer/dockyard-trunk-island-pale-ale/126290/,2.87,India Pale Ale (IPA)
Dockyard Frog Bock Winter Warmer ,/beer/dockyard-frog-bock-winter-warmer/126292/,2.85,Dunkler Bock
Dockyard Royal Bermuda Regiment 50th Anniversary ,/beer/dockyard-royal-bermuda-regiment-50th-anniversary/372453/,2.79,Amber Lager/Vienna
Dockyard Nathan's Brown Ale,/beer/dockyard-nathans-brown-ale/447902/,2.79,Brown Ale
Dockyard Raspberry Wheat,/beer/dockyard-raspberry-wheat/286967/,2.74,Fruit Beer
North Rock West India Pale Ale,/beer/north-rock-west-india-pale-ale/4105/,2.66,India Pale Ale (IPA)
Dockyard St David's Lager,/beer/dockyard-st-davids-lager/126288/,2.65,Pilsener
North Rock Island Pilsner,/beer/north-rock-island-pilsner/4103/,2.24,Pilsener
North Rock Johnnys Scotch Ale,/beer/north-rock-johnnys-scotch-ale/4106/,n/a,Scotch Ale
