beer,link,score,style
Kushaav El Salar,/beer/kushaav-el-salar/254677/,3.09,Specialty Grain
Stier Weizen,/beer/stier-weizen/329957/,3.07,German Hefeweizen
Reineke Lager,/beer/reineke-lager/196405/,3.06,Pale Lager
Reineke Br�u,/beer/reineke-brau/122988/,3.06,Pilsener
Niebla Barley Wine,/beer/niebla-barley-wine/531827/,3.02,Barley Wine
Taqui�a Stout (Cerveza Negra Especial),/beer/taquina-stout-cerveza-negra-especial/55228/,3.02,Stout
Teds Cerveceria Chala,/beer/teds-cerveceria-chala/71743/,3.02,Witbier
Kushaav Aleksandra ,/beer/kushaav-aleksandra/188996/,3.00,Golden Ale/Blond Ale
Kushaav Coqueta (Strong Porter),/beer/kushaav-coqueta-strong-porter/188997/,3.00,Porter
Vicos Chuqi,/beer/vicos-chuqi/254678/,3.00,Specialty Grain
Saya Ambar,/beer/saya-ambar/254683/,3.00,Amber Ale
Reineke Dunkel,/beer/reineke-dunkel/128695/,3.00,Dunkel/Tmav�
Teddybeer,/beer/teddybeer/45832/,3.00,Golden Ale/Blond Ale
Blumental Cerveza de Quinua ,/beer/blumental-cerveza-de-quinua/296197/,2.98,Specialty Grain
Corsa Dunkel,/beer/corsa-dunkel/339613/,2.97,Dunkel/Tmav�
Cerveza Lipe�a,/beer/cerveza-lipena/196420/,2.96,Specialty Grain
Saya Dorada,/beer/saya-dorada/155608/,2.96,K�lsch
Vicos Ch'ama,/beer/vicos-chama/212762/,2.95,Spice/Herb/Vegetable
Niebla Stout,/beer/niebla-stout/531834/,2.94,Stout
Brewcraft IPA (Eee-Pah),/beer/brewcraft-ipa-eee-pah/338215/,2.92,India Pale Ale (IPA)
Cerveza Real,/beer/cerveza-real/173221/,2.90,Premium Lager
Stier Honey Bier,/beer/stier-honey-bier/329953/,2.87,Spice/Herb/Vegetable
Platinum Cerveza De Lujo,/beer/platinum-cerveza-de-lujo/339823/,2.87,Pale Lager
Pace�a Porter,/beer/pacena-porter/197160/,2.87,Porter
Kropl's Bierhaus Schwarzbier,/beer/kropls-bierhaus-schwarzbier/329965/,2.84,Schwarzbier
Kropl's Bierhaus IPA,/beer/kropls-bierhaus-ipa/329967/,2.83,India Pale Ale (IPA)
Huari con Miel,/beer/huari-con-miel/531843/,2.83,Spice/Herb/Vegetable
Cruce�a Cerveza Tipo Pilsener,/beer/crucena-cerveza-tipo-pilsener/197159/,2.83,Pilsener
Sire�a Bicentenario,/beer/sirena-bicentenario/196419/,2.83,Pale Lager
Stier IPA,/beer/stier-ipa/346779/,2.83,India Pale Ale (IPA)
Sure�a Chanchito Obscura Tropicalizada ,/beer/surena-chanchito-obscura-tropicalizada/66703/,2.82,Dunkel/Tmav�
Saya Ale,/beer/saya-ale/79200/,2.82,Bitter
Stier Pilsener,/beer/stier-pilsener/329959/,2.81,Pilsener
Aut�ntica Pilsen Premium Exportaci�n,/beer/autentica-pilsen-premium-exportacion/148019/,2.79,Pilsener
Pace�a Black,/beer/pacena-black/66700/,2.71,Dunkel/Tmav�
Sure�a 33  ,/beer/surena-33/66702/,2.65,Pale Lager
Kropl's Bierhaus Pale Ale,/beer/kropls-bierhaus-pale-ale/329961/,2.65,American Pale Ale
Imperial (Bolivia),/beer/imperial-bolivia/195962/,2.64,Pale Lager
Sure�a Cerveza Especial Tropicalizada,/beer/surena-cerveza-especial-tropicalizada/20553/,2.62,Pale Lager
Stier Strong Ale,/beer/stier-strong-ale/329958/,2.61,American Strong Ale 
Cerveza Potosina Negra Malta,/beer/cerveza-potosina-negra-malta/20430/,2.52,Dunkler Bock
Pace�a Pico De Oro,/beer/pacena-pico-de-oro/470108/,2.50,Pale Lager
Judas Cerveza Fuerte,/beer/judas-cerveza-fuerte/148015/,2.47,Malt Liquor
Pace�a Red Lager,/beer/pacena-red-lager/78915/,2.47,Amber Lager/Vienna
Sure�a Stout Porter,/beer/surena-stout-porter/20552/,2.45,Stout
Stier Stout,/beer/stier-stout/329960/,2.42,Stout
Sure�a Sesquicentenario,/beer/surena-sesquicentenario/20554/,2.40,Pale Lager
Saya Negra,/beer/saya-negra/79201/,2.39,Dunkler Bock
Pace�a Tropical Extra,/beer/pacena-tropical-extra/21750/,2.39,Pilsener
Kropl's Bierhaus Dunkel,/beer/kropls-bierhaus-dunkel/329963/,2.37,Dunkel/Tmav�
