beer,link,score,style
Lovac Barrique 2015,/beer/lovac-barrique-2015/443785/,3.36,Old Ale
Castrum Gruit,/beer/castrum-gruit/424017/,3.26,Spice/Herb/Vegetable
Semizburg Karanđoloz,/beer/semizburg-karan273oloz/435204/,3.25,Black IPA
Oldbrid� Barleywine,/beer/oldbridz-barleywine/338640/,3.24,Barley Wine
Oldbrid� Nelson Session Pale Ale,/beer/oldbridz-nelson-session-pale-ale/342162/,3.24,Session IPA
Lovac Boroviti Stout,/beer/lovac-boroviti-stout/376107/,3.24,Spice/Herb/Vegetable
Oldbrid� Black Devil Russian Imperial Stout,/beer/oldbridz-black-devil-russian-imperial-stout/270467/,3.22,Imperial Stout
Nektar Bo�ićno,/beer/nektar-bozi263no/12282/,3.19,Pilsener
The Brew Pub Sarajevo IPA,/beer/the-brew-pub-sarajevo-ipa/321357/,3.18,India Pale Ale (IPA)
Prima Božićno,/beer/prima-bo382i263no/68387/,3.17,Premium Lager
Castrum Porter,/beer/castrum-porter/424023/,3.15,Porter
D�ud�an Mrgud Stout,/beer/dzudzan-mrgud-stout/483950/,3.14,Stout
Castrum Pale Ale,/beer/castrum-pale-ale/424018/,3.13,American Pale Ale
Cooltura IPA,/beer/cooltura-ipa/438160/,3.12,India Pale Ale (IPA)
Lovac Kofein Stout,/beer/lovac-kofein-stout/438930/,3.12,Stout
Gor�tak Pale Ale,/beer/gorstak-pale-ale/520210/,3.12,American Pale Ale
Kotromanićevo Domaće Pivo Gruit,/beer/kotromani263evo-doma263e-pivo-gruit/396628/,3.12,Spice/Herb/Vegetable
Crni Đorđe (-2006),/beer/crni-272or273e-2006/19463/,3.11,Dunkel/Tmav�
Oldbrid� Grodziskie,/beer/oldbridz-grodziskie/342157/,3.11,Grodziskie/Gose/Lichtenhainer
Cooltura APA,/beer/cooltura-apa/438156/,3.10,American Pale Ale
Lovac Dead Fish Pale Ale,/beer/lovac-dead-fish-pale-ale/438237/,3.09,American Pale Ale
Oldbrid� Oatmeal Cookie Brown Ale,/beer/oldbridz-oatmeal-cookie-brown-ale/342165/,3.09,Brown Ale
Kamen P�enično,/beer/kamen-pseni269no/440655/,3.09,German Hefeweizen
Cooltura Amber,/beer/cooltura-amber/438157/,3.07,Amber Ale
The Brew Pub Wit,/beer/the-brew-pub-wit/435221/,3.07,Witbier
Lovac Pale Ale,/beer/lovac-pale-ale/321352/,3.06,American Pale Ale
The Brew Pub Summer Wild Wit,/beer/the-brew-pub-summer-wild-wit/342161/,3.04,Witbier
Gor�tak Brown Ale,/beer/gorstak-brown-ale/520215/,3.04,Brown Ale
Semizburg Prikaza,/beer/semizburg-prikaza/435202/,3.04,India Pale Ale (IPA)
Oldbrid� Brown Ale,/beer/oldbridz-brown-ale/214003/,3.03,Brown Ale
Prva Fočanska Pivara No1 Porter,/beer/prva-fo269anska-pivara-no1-porter/440593/,3.02,Porter
Castrum Maksim Gorki Double IPA,/beer/castrum-maksim-gorki-double-ipa/438169/,3.02,Imperial IPA
Kaltenberg Hefe Weissbier (Banjalučka),/beer/kaltenberg-hefe-weissbier-banjalu269ka/470632/,3.01,German Hefeweizen
Gor�tak Hoppy Wheat,/beer/gorstak-hoppy-wheat/520209/,3.00,Wheat Ale
Lovac IPA,/beer/lovac-ipa/342164/,3.00,India Pale Ale (IPA)
BoMar Tamno Pivo,/beer/bomar-tamno-pivo/321359/,3.00,Dunkel/Tmav�
Castrum Ginger Ale,/beer/castrum-ginger-ale/424020/,2.99,Spice/Herb/Vegetable
Gelender Nonchalant,/beer/gelender-nonchalant/483952/,2.98,American Pale Ale
Livanjsko Svijetlo Pivo,/beer/livanjsko-svijetlo-pivo/183502/,2.97,Golden Ale/Blond Ale
Semizburg Stuha,/beer/semizburg-stuha/435205/,2.97,India Pale Ale (IPA)
Brew Craft Company Hefeweizen Maher,/beer/brew-craft-company-hefeweizen-maher/520026/,2.96,German Hefeweizen
Castrum IPA,/beer/castrum-ipa/424021/,2.96,India Pale Ale (IPA)
Semizburg Drekavac,/beer/semizburg-drekavac/435206/,2.96,American Pale Ale
�ersko,/beer/sersko/13418/,2.95,Pale Lager
Livanjsko dimljeno pivo,/beer/livanjsko-dimljeno-pivo/554550/,2.94,Smoked
Black Dog Tennessee Porter,/beer/black-dog-tennessee-porter/507983/,2.94,Porter
Silvertown Vidran,/beer/silvertown-vidran/537265/,2.94,Amber Ale
Kosača,/beer/kosa269a/127115/,2.92,Dunkel/Tmav�
Livanjsko pivo IPA,/beer/livanjsko-pivo-ipa/554547/,2.92,India Pale Ale (IPA)
Cooltura Brlja Pale Ale,/beer/cooltura-brlja-pale-ale/438159/,2.90,English Pale Ale
