beer,link,score,style
Tupiniquim Monjolo Imperial Porter,/beer/tupiniquim-monjolo-imperial-porter/280815/,3.81,Imperial Porter
Bodebrown Perigosa Imperial IPA ,/beer/bodebrown-perigosa-imperial-ipa/136156/,3.74,Imperial IPA
Evil Twin Brazil Metro Man Imperial Stout,/beer/evil-twin-brazil-metro-man-imperial-stout/279383/,3.73,Imperial Stout
DUM Petroleum Castanheira,/beer/dum-petroleum-castanheira/344038/,3.71,Imperial Stout
DUM Petroleum,/beer/dum-petroleum/236079/,3.70,Imperial Stout
Invicta 1000 IBU,/beer/invicta-1000-ibu/238120/,3.67,Imperial IPA
Vertigem,/beer/vertigem/274069/,3.67,India Pale Ale (IPA)
Tupiniquim / Omnipollo Polimango,/beer/tupiniquim-omnipollo-polimango/257438/,3.66,Imperial IPA
W�ls Petroleum,/beer/wals-petroleum/172122/,3.65,Imperial Stout
Dogma Orfeu Negro,/beer/dogma-orfeu-negro/219944/,3.65,Imperial Stout
W�ls Trippel,/beer/wals-trippel/90535/,3.65,Abbey Tripel
Tupiniquim Monjolo Floresta Negra,/beer/tupiniquim-monjolo-floresta-negra/330168/,3.63,Imperial Stout
Invicta 108,/beer/invicta-108/432750/,3.62,Imperial Stout
Tupiniquim Monjolo Imperial Porter Aged In Whiskey Barrels,/beer/tupiniquim-monjolo-imperial-porter-aged-in-whiskey-barrels/356124/,3.62,Imperial Porter
Dogma Cafuza,/beer/dogma-cafuza/199182/,3.62,Black IPA
Colorado Vintage Black Rapadura,/beer/colorado-vintage-black-rapadura/106189/,3.61,Imperial Stout
DUM Petroleum Carvalho Carvalho Franc�s,/beer/dum-petroleum-carvalho-carvalho-frances/344040/,3.60,Imperial Stout
Tupiniquim Anuncia��o IPA,/beer/tupiniquim-anunciacao-ipa/277059/,3.60,India Pale Ale (IPA)
Bodebrown / Stone Cacau IPA,/beer/bodebrown-stone-cacau-ipa/207763/,3.60,India Pale Ale (IPA)
Way Sour Me Not Goiaba + Gabiroba,/beer/way-sour-me-not-goiaba-gabiroba/502993/,3.58,Sour/Wild Ale
Invicta Imperial India Pale Ale,/beer/invicta-imperial-india-pale-ale/193584/,3.57,Imperial IPA
Bodebrown Wee Heavy,/beer/bodebrown-wee-heavy/139346/,3.57,Scotch Ale
DUM Petroleum Amburana,/beer/dum-petroleum-amburana/344039/,3.56,Imperial Stout
Cervejaria Dogma Citra Lover,/beer/cervejaria-dogma-citra-lover/447530/,3.56,Imperial IPA
Tupiniquim / N�gne � / Colorado O Grande Encontro,/beer/tupiniquim-nogne-o-colorado-o-grande-encontro/305208/,3.56,Abt/Quadrupel
Dogma / Modern Times Modern Dogma,/beer/dogma-modern-times-modern-dogma/371269/,3.56,Imperial Porter
Evil Twin Brazil Easy Come Easy Go IPA,/beer/evil-twin-brazil-easy-come-easy-go-ipa/301743/,3.56,Session IPA
W�ls Quadruppel,/beer/wals-quadruppel/113826/,3.55,Abt/Quadrupel
Bodebrown Atomga Cherry Wood Aged,/beer/bodebrown-atomga-cherry-wood-aged/419857/,3.55,Imperial Stout
Baden Baden Red Ale Especial,/beer/baden-baden-red-ale-especial/33334/,3.54,Barley Wine
Dogma Hop Lover,/beer/dogma-hop-lover/313201/,3.53,Imperial IPA
Eisenbahn Lust,/beer/eisenbahn-lust/67622/,3.53,Belgian Strong Ale
Invicta India Black Ale,/beer/invicta-india-black-ale/193585/,3.53,Black IPA
Noi Amara,/beer/noi-amara/251759/,3.53,Imperial IPA
Tupiniquim Dubbel,/beer/tupiniquim-dubbel/330162/,3.52,Abbey Dubbel
Cervejaria Hocus Pocus Overdrive,/beer/cervejaria-hocus-pocus-overdrive/455753/,3.51,Imperial IPA
Pagan Dragon's Blood Wine,/beer/pagan-dragons-blood-wine/217927/,3.50,Barley Wine
Way Sour Me Not Caju,/beer/way-sour-me-not-caju/398799/,3.50,Fruit Beer
Tupiniquim Funky & Sour,/beer/tupiniquim-funky-sour/330169/,3.49,Sour/Wild Ale
Cervejaria Dogma Mosaic Lover,/beer/cervejaria-dogma-mosaic-lover/449296/,3.49,Imperial IPA
3 Lobos Pele Vermelha,/beer/3-lobos-pele-vermelha/164902/,3.49,India Pale Ale (IPA)
Baden Baden Stout Dark Ale,/beer/baden-baden-stout-dark-ale/33335/,3.48,Stout
Way / Arizona Wilderness Purple High 5,/beer/way-arizona-wilderness-purple-high-5/329923/,3.48,Sour/Wild Ale
Eisenbahn Vigorosa (Weizenbock),/beer/eisenbahn-vigorosa-weizenbock/41866/,3.48,Weizen Bock
W�ls Bel� Petroleum,/beer/wals-belo-petroleum/309730/,3.48,Imperial Stout
Seasons Craft Green Cow IPA ,/beer/seasons-craft-green-cow-ipa/152775/,3.47,India Pale Ale (IPA)
Seasons Craft Vacas das Galaxias,/beer/seasons-craft-vacas-das-galaxias/407233/,3.46,Imperial IPA
W�ls Dubbel,/beer/wals-dubbel/85027/,3.46,Belgian Strong Ale
Dogma Rizoma,/beer/dogma-rizoma/418742/,3.46,Imperial IPA
W�ls Bel� Ip�,/beer/wals-belo-ipe/298296/,3.46,Abt/Quadrupel
