beer,link,score,style
White Stork Tropikalia IPA,/beer/white-stork-tropikalia-ipa/486473/,3.54,India Pale Ale (IPA)
Ailyak Mosaic Хмел IPA,/beer/ailyak-mosaic-1061108410771083-ipa/379630/,3.53,India Pale Ale (IPA)
Rhombus Imperial Porter (Barrel Aged),/beer/rhombus-imperial-porter-barrel-aged/501811/,3.47,Imperial Porter
White Stork White Stout,/beer/white-stork-white-stout/545688/,3.47,Stout
White Stork India Pale Ale,/beer/white-stork-india-pale-ale/416119/,3.45,India Pale Ale (IPA)
White Stork 1908 Stout,/beer/white-stork-1908-stout/468059/,3.42,Stout
Lucs Trevnensko,/beer/lucs-trevnensko/90542/,3.40,Spice/Herb/Vegetable
Rhombus Imperial Porter,/beer/rhombus-imperial-porter/461788/,3.40,Baltic Porter
Hills Weizen,/beer/hills-weizen/484903/,3.35,German Hefeweizen
Hills Helles Rauch,/beer/hills-helles-rauch/484904/,3.33,Smoked
White Stork Ra� Session IPA,/beer/white-stork-rai-session-ipa/545687/,3.30,Session IPA
Blek Pine Rauchbier With Cocoa And Blek Pepper,/beer/blek-pine-rauchbier-with-cocoa-and-blek-pepper/482867/,3.28,Smoked
Blek Pine Stout,/beer/blek-pine-stout/375902/,3.28,Foreign Stout
Rhombus Star Anise Stout,/beer/rhombus-star-anise-stout/512415/,3.25,Stout
Blek Pine Kokonut Porter,/beer/blek-pine-kokonut-porter/473269/,3.24,Imperial Porter
Blek Pine Summer Is Coming Amerikan Pale Ale Episode 2,/beer/blek-pine-summer-is-coming-amerikan-pale-ale-episode-2/508010/,3.22,American Pale Ale
Glarus Black Sea IPA,/beer/glarus-black-sea-ipa/470916/,3.21,India Pale Ale (IPA)
Rhombus Leipzig Gose,/beer/rhombus-leipzig-gose/512416/,3.20,Grodziskie/Gose/Lichtenhainer
Ah! Bulgarian Pale Ale 3,/beer/ah-bulgarian-pale-ale-3/385096/,3.19,American Pale Ale
Ailyak Orgy of the Dead,/beer/ailyak-orgy-of-the-dead/459702/,3.19,Foreign Stout
White Stork Dark Side,/beer/white-stork-dark-side/394791/,3.19,Stout
White Stork Pushing The Limets,/beer/white-stork-pushing-the-limets/446519/,3.16,Witbier
White Stork Original,/beer/white-stork-original/244299/,3.14,American Pale Ale
Beer Bastards Opasen Char IPA,/beer/beer-bastards-opasen-char-ipa/492301/,3.14,India Pale Ale (IPA)
Blek Pine IPA Limited Editon,/beer/blek-pine-ipa-limited-editon/404173/,3.13,India Pale Ale (IPA)
Blek Pine Seshъn (Session) IPA,/beer/blek-pine-sesh1098n-session-ipa/433837/,3.12,Session IPA
Ah! Bulgarian Pale Ale №3 - Би.Р.А.,/beer/ah-bulgarian-pale-ale-84703-1041108010561040/308608/,3.11,American Pale Ale
White Stork Sofiiski Weisse,/beer/white-stork-sofiiski-weisse/446520/,3.09,Berliner Weisse
Evo� Saison,/beer/evoe-saison/438250/,3.09,Saison
Blek Pine Summer Is Coming Amerikan Pale Ale,/beer/blek-pine-summer-is-coming-amerikan-pale-ale/402902/,3.09,American Pale Ale
Ariana Radler Lemon (Non Alcoholic),/beer/ariana-radler-lemon-non-alcoholic/528468/,3.09,Radler/Shandy
Ah! №7 - Mursalski Red Ale ,/beer/ah-84707-mursalski-red-ale/310930/,3.08,Spice/Herb/Vegetable
Rhombus Aloha IPA,/beer/rhombus-aloha-ipa/512417/,3.08,India Pale Ale (IPA)
Almus T'mno (Dark),/beer/almus-tmno-dark/55453/,3.08,Dunkel/Tmav�
Blek Pine R.I.П.a. Rye IPA,/beer/blek-pine-ri1055a-rye-ipa/416116/,3.07,India Pale Ale (IPA)
Ah! Indian Pale Ale №9 SoBAZAAR (Christmas Edition #3),/beer/ah-indian-pale-ale-84709-sobazaar-christmas-edition-3/385066/,3.07,India Pale Ale (IPA)
Rhombus Weizen IPA,/beer/rhombus-weizen-ipa/461787/,3.07,India Pale Ale (IPA)
Divo Pivo,/beer/divo-pivo/281322/,3.07,American Pale Ale
Blek Pine IPA,/beer/blek-pine-ipa/375901/,3.06,India Pale Ale (IPA)
Stolichno Bock,/beer/stolichno-bock/37568/,3.05,Dunkler Bock
Lucs Plum,/beer/lucs-plum/343498/,3.04,Fruit Beer
Rhombus Porter ,/beer/rhombus-porter/546745/,3.04,Porter
Divo Pivo Wei�,/beer/divo-pivo-weib/418792/,3.03,German Hefeweizen
HBH T'mna Jiva Bira,/beer/hbh-tmna-jiva-bira/243233/,3.03,Dunkel/Tmav�
Blek Pine / Divo Pivo Plum Ale,/beer/blek-pine-divo-pivo-plum-ale/461262/,3.03,Amber Ale
Rhombus Bitter Sweet Symphony,/beer/rhombus-bitter-sweet-symphony/564839/,3.02,Barley Wine
Glarus Porter,/beer/glarus-porter/396466/,3.01,Porter
Rhombus Imperial Ale,/beer/rhombus-imperial-ale/461789/,3.00,American Strong Ale 
Stolichno Weiss,/beer/stolichno-weiss/262583/,3.00,German Hefeweizen
Blek Pine Pumpking Ale,/beer/blek-pine-pumpking-ale/461261/,2.99,Spice/Herb/Vegetable
