beer,link,score,style
Artisanale De Ouagadougou Ouaga 3000,/beer/artisanale-de-ouagadougou-ouaga-3000/508730/,3.15,Imperial IPA
Artisanale De Ouagadougou ZDB Ale,/beer/artisanale-de-ouagadougou-zdb-ale/508733/,3.09,American Pale Ale
Flag Sp�ciale (Burkina Faso),/beer/flag-speciale-burkina-faso/39291/,2.33,Pale Lager
Castel Beer (Burkina Faso),/beer/castel-beer-burkina-faso/99841/,2.32,Pale Lager
Beaufort (Burkina Faso),/beer/beaufort-burkina-faso/109170/,2.13,Pale Lager
So.B.Bra,/beer/sobbra/110798/,2.12,Pale Lager
Brakina Bi�re du Burkina,/beer/brakina-biere-du-burkina/19446/,1.95,Pale Lager
Guinness Foreign Extra Stout (Burkina Faso),/beer/guinness-foreign-extra-stout-burkina-faso/423683/,n/a,Foreign Stout
Artisanale De Ouagadougou Almost Here,/beer/artisanale-de-ouagadougou-almost-here/508729/,n/a,English Pale Ale
Artisanale De Ouagadougou Black Dolo,/beer/artisanale-de-ouagadougou-black-dolo/508732/,n/a,Porter
Artisanale De Ouagadougou I Kiss You!,/beer/artisanale-de-ouagadougou-i-kiss-you/517007/,n/a,India Pale Ale (IPA)
Artisanale De Ouagadougou Make beer not cars,/beer/artisanale-de-ouagadougou-make-beer-not-cars/508602/,n/a,Imperial IPA
Artisanale De Ouagadougou The Water of Volta 2,/beer/artisanale-de-ouagadougou-the-water-of-volta-2/508734/,n/a,India Pale Ale (IPA)
Artisanale De Ouagadougou Ouaga Dry Saison,/beer/artisanale-de-ouagadougou-ouaga-dry-saison/508728/,n/a,Saison
Artisanale De Ouagadougou Session Ale,/beer/artisanale-de-ouagadougou-session-ale/508736/,n/a,Session IPA
Artisanale De Ouagadougou Single in Sapone,/beer/artisanale-de-ouagadougou-single-in-sapone/508724/,n/a,India Pale Ale (IPA)
Artisanale De Ouagadougou The Mad Dolotiere,/beer/artisanale-de-ouagadougou-the-mad-dolotiere/508727/,n/a,German Hefeweizen
Artisanale De Ouagadougou The Water of Volta,/beer/artisanale-de-ouagadougou-the-water-of-volta/508725/,n/a,Imperial IPA
"Artisanale De Ouagadougou, Ouagadougou, Acid House",/beer/artisanale-de-ouagadougou-ouagadougou-acid-house/513735/,n/a,India Pale Ale (IPA)
Artisanale De Ouagadougou Mum i wanna be a Bogan,/beer/artisanale-de-ouagadougou-mum-i-wanna-be-a-bogan/508604/,n/a,Porter
