beer,link,score,style
Stone Head The Dark Side,/beer/stone-head-the-dark-side/481787/,3.27,Imperial Stout
Stone Head Hazelnut Chocolate Stout,/beer/stone-head-hazelnut-chocolate-stout/480645/,3.22,Sweet Stout
Siem Reap Amber Ale,/beer/siem-reap-amber-ale/364599/,3.21,Amber Ale
Phnom Penh Stout,/beer/phnom-penh-stout/212630/,3.20,Foreign Stout
Himawari Apsara Gold,/beer/himawari-apsara-gold/255984/,3.17,Golden Ale/Blond Ale
Riel Toasted Coconut Dark Brown Ale,/beer/riel-toasted-coconut-dark-brown-ale/515664/,3.15,Brown Ale
Stone Head Gancore IPA,/beer/stone-head-gancore-ipa/490963/,3.13,India Pale Ale (IPA)
Cerevisia Princeps IPA,/beer/cerevisia-princeps-ipa/338816/,3.12,India Pale Ale (IPA)
Riel Grapefruit Pale Ale,/beer/riel-grapefruit-pale-ale/515663/,3.11,Fruit Beer
Cerevisia Dark Star Porter,/beer/cerevisia-dark-star-porter/465590/,3.10,Porter
Siem Reap Dark Ale,/beer/siem-reap-dark-ale/364603/,3.10,Brown Ale
Bruntys Pear,/beer/bruntys-pear/220589/,3.09,Perry
Cerevisia Irish Red Ale (Priteni),/beer/cerevisia-irish-red-ale-priteni/334197/,3.09,Irish Ale
Riel India Pale Ale,/beer/riel-india-pale-ale/515662/,3.09,India Pale Ale (IPA)
Himawari OatS,/beer/himawari-oats/219581/,3.07,Sweet Stout
Gold Crown Stout,/beer/gold-crown-stout/395997/,3.07,Foreign Stout
Stone Head Coconut Cream Ale,/beer/stone-head-coconut-cream-ale/480978/,3.07,Cream Ale
Stone Head TKO DIPA,/beer/stone-head-tko-dipa/483199/,3.06,Imperial IPA
Cerevisia Mandarin American Pale Ale,/beer/cerevisia-mandarin-american-pale-ale/338817/,3.03,American Pale Ale
Kingdom Tommy Brown,/beer/kingdom-tommy-brown/486469/,3.02,Brown Ale
Barrley Black Extra Stout,/beer/barrley-black-extra-stout/533264/,3.02,Foreign Stout
Stone Head Smiling Evil,/beer/stone-head-smiling-evil/541465/,3.02,English Pale Ale
Cerevisia Amber Ale,/beer/cerevisia-amber-ale/398662/,3.02,Amber Ale
Black Panther Stout,/beer/black-panther-stout/41375/,3.01,Foreign Stout
Stone Head Seven Days,/beer/stone-head-seven-days/453550/,3.01,Witbier
Hops Smokey Porter,/beer/hops-smokey-porter/532873/,3.00,Porter
Stone Head Butterfly Pea Wheat,/beer/stone-head-butterfly-pea-wheat/455939/,2.98,Witbier
Himawari Gem & Jade,/beer/himawari-gem-jade/215280/,2.98,Golden Ale/Blond Ale
Siem Reap Blonde Ale,/beer/siem-reap-blonde-ale/364597/,2.98,Golden Ale/Blond Ale
Himawari New Year's Lager,/beer/himawari-new-years-lager/388994/,2.98,Premium Lager
Cerevisia Farm House Ale,/beer/cerevisia-farm-house-ale/487233/,2.98,Saison
Cerevisia Rattanak ESB,/beer/cerevisia-rattanak-esb/487239/,2.98,Premium Bitter/ESB
Kingdom Liger,/beer/kingdom-liger/428498/,2.97,Dunkel/Tmav�
Cerevisia Catcher Rye Ale,/beer/cerevisia-catcher-rye-ale/398660/,2.96,Specialty Grain
Hops Gold Angel,/beer/hops-gold-angel/465771/,2.95,Premium Lager
Hops Red Fury,/beer/hops-red-fury/465769/,2.95,American Strong Ale 
Hops Mango Cider,/beer/hops-mango-cider/532875/,2.94,Cider
Stone Head Red Bus Amber,/beer/stone-head-red-bus-amber/535216/,2.94,Amber Ale
Black Cat Extra Stout,/beer/black-cat-extra-stout/395279/,2.94,Foreign Stout
Cerevisia Roman Spark,/beer/cerevisia-roman-spark/398306/,2.94,Smoked
Cerevisia American Pale Ale (Centurion) ,/beer/cerevisia-american-pale-ale-centurion/334196/,2.94,American Pale Ale
Stone Head Lemongrass Kolsch,/beer/stone-head-lemongrass-kolsch/480646/,2.93,K�lsch
Kingdom Allemand Pilsner,/beer/kingdom-allemand-pilsner/558020/,2.92,Pilsener
Hops IPA,/beer/hops-ipa/465772/,2.91,India Pale Ale (IPA)
Man Han Lou Black,/beer/man-han-lou-black/105938/,2.91,Stout
Bruntys Apple,/beer/bruntys-apple/220588/,2.90,Cider
Himawari CentenniALE,/beer/himawari-centenniale/255985/,2.89,India Pale Ale (IPA)
Cerevisia Brewlander Hope Summer Ale,/beer/cerevisia-brewlander-hope-summer-ale/532883/,2.87,Golden Ale/Blond Ale
Munich Beer Restaurant Stout,/beer/munich-beer-restaurant-stout/105940/,2.87,Stout
Angkor Extra Stout,/beer/angkor-extra-stout/6413/,2.86,Foreign Stout
