beer,link,score,style
Harp (Cameroon),/beer/harp-cameroon/458606/,2.85,Premium Lager
Satzenbrau,/beer/satzenbrau/201685/,2.69,Pale Lager
Beaufort Light (Cameroon)  ,/beer/beaufort-light-cameroon/275436/,2.59,Low Alcohol
Beaufort 8.9,/beer/beaufort-89/103035/,2.55,Imperial Pils/Strong Pale Lager
M�tzig (Cameroon),/beer/mutzig-cameroon/23341/,2.42,Pale Lager
Beaufort (Cameroon),/beer/beaufort-cameroon/13238/,2.32,Pale Lager
Kadji Beer Blonde,/beer/kadji-beer-blonde/204046/,2.30,Pale Lager
33 Export (Cameroon),/beer/33-export-cameroon/220696/,2.21,Pale Lager
Isenbeck Premium (Cameroon),/beer/isenbeck-premium-cameroon/180262/,2.15,Czech Pilsner (Světl�)
Castel Beer (Cameroon),/beer/castel-beer-cameroon/38845/,1.93,Pale Lager
Guinness Foreign Extra Stout (Cameroon),/beer/guinness-foreign-extra-stout-cameroon/272062/,n/a,Foreign Stout
