beer,link,score,style
La Face Cach�e de la Pomme Neige R�colte D'Hiver,/beer/la-face-cachee-de-la-pomme-neige-recolte-dhiver/125813/,4.32,Ice Cider/Ice Perry
La Face Cach�e de la Pomme Neige R�serve,/beer/la-face-cachee-de-la-pomme-neige-reserve/125814/,4.23,Ice Cider/Ice Perry
Dieu du Ciel P�ch� Mortel Bourbon ,/beer/dieu-du-ciel-peche-mortel-bourbon/104410/,4.19,Imperial Stout
Dieu du Ciel P�ch� Mortel ,/beer/dieu-du-ciel-peche-mortel/11461/,4.14,Imperial Stout
La Face Cach�e de la Pomme Neige Premi�re,/beer/la-face-cachee-de-la-pomme-neige-premiere/125815/,4.14,Ice Cider/Ice Perry
Auval Nordet IPA,/beer/auval-nordet-ipa/434685/,4.10,India Pale Ale (IPA)
Cidrerie du Minot des Glaces R�colte d'Hiver,/beer/cidrerie-du-minot-des-glaces-recolte-dhiver/211977/,4.09,Ice Cider/Ice Perry
Les Trois Mousquetaires G.C. Porter Baltique (Bourbon & Brandy),/beer/les-trois-mousquetaires-gc-porter-baltique-bourbon-brandy/230352/,4.07,Baltic Porter
Auval Ribes Nigrum (Cassis),/beer/auval-ribes-nigrum-cassis/471600/,4.06,Sour/Wild Ale
Auval Super A Double IPA,/beer/auval-super-a-double-ipa/384097/,4.06,Imperial IPA
La Face Cach�e de la Pomme Inspiration 2005,/beer/la-face-cachee-de-la-pomme-inspiration-2005/83665/,4.06,Ice Cider/Ice Perry
Clos Saint-Denis Fine Pomme de Glace,/beer/clos-saint-denis-fine-pomme-de-glace/57719/,4.06,Ice Cider/Ice Perry
Domaine Pinnacle Signature R�serve Speciale,/beer/domaine-pinnacle-signature-reserve-speciale/35276/,4.06,Ice Cider/Ice Perry
Clos Saragnat L'Original,/beer/clos-saragnat-loriginal/55980/,4.05,Ice Cider/Ice Perry
La Face Cach�e de la Pomme Neige M�thode Traditionnelle,/beer/la-face-cachee-de-la-pomme-neige-methode-traditionnelle/139133/,4.04,Ice Cider/Ice Perry
Dieu du Ciel Aphrodisiaque,/beer/dieu-du-ciel-aphrodisiaque/24350/,4.04,Stout
Dieu du Ciel P�ch� Mortel Brandy/Cognac,/beer/dieu-du-ciel-peche-mortel-brandy-cognac/392478/,4.04,Imperial Stout
Les Vergers Lafrance Bouquet sur Glace,/beer/les-vergers-lafrance-bouquet-sur-glace/59144/,4.04,Ice Cider/Ice Perry
Maltstrom I.X.P.L. des Prairies,/beer/maltstrom-ixpl-des-prairies/461169/,4.03,India Style Lager
Dieu du Ciel P�ch� Mortel �dition Sp�ciale 2016 - 2017,/beer/dieu-du-ciel-peche-mortel-edition-speciale-2016-2017/398026/,4.02,Imperial Stout
Archibald Orchards Spiced Winter Apple,/beer/archibald-orchards-spiced-winter-apple/86384/,4.02,Ice Cider/Ice Perry
Bor�ale �pisode 4 - IPA du Nord-Est,/beer/boreale-episode-4-ipa-du-nord-est/475183/,4.02,India Pale Ale (IPA)
Charlevoix Dominus Vobiscum Lupulus,/beer/charlevoix-dominus-vobiscum-lupulus/82225/,4.01,Belgian Strong Ale
Clos Saragnat Avalanche,/beer/clos-saragnat-avalanche/138892/,4.01,Ice Cider/Ice Perry
La Face Cach�e de la Pomme Neige sur Lie,/beer/la-face-cachee-de-la-pomme-neige-sur-lie/125818/,3.99,Ice Cider/Ice Perry
St-Ambroise Stout Imp�riale Russe,/beer/st-ambroise-stout-imperiale-russe/114499/,3.99,Imperial Stout
Half Pints Le Temps Noir,/beer/half-pints-le-temps-noir/178579/,3.98,Imperial Stout
Les Trois Mousquetaires G.C. D�jeuner Imp�rial,/beer/les-trois-mousquetaires-gc-dejeuner-imperial/456064/,3.98,Imperial Stout
