beer,link,score,style
345 Stout,/beer/345-stout/264293/,3.36,Foreign Stout
Stingray Dark,/beer/stingray-dark/13344/,3.18,Dunkler Bock
Ironshore Bock,/beer/ironshore-bock/131265/,2.95,Dunkler Bock
Hammerheads Cali Light,/beer/hammerheads-cali-light/67962/,2.86,Pale Lager
Hammerheads Pelican Pilsener,/beer/hammerheads-pelican-pilsener/105984/,2.83,Pilsener
CIB Twisted Citrus,/beer/cib-twisted-citrus/242076/,2.83,Fruit Beer
CIB Mango Tango,/beer/cib-mango-tango/424112/,2.77,Fruit Beer
Old Dutch,/beer/old-dutch/13342/,2.77,Pale Lager
Hammerheads IPA,/beer/hammerheads-ipa/67963/,2.64,India Pale Ale (IPA)
Pirates Gold,/beer/pirates-gold/245319/,2.62,Pale Lager
White Tip Lager,/beer/white-tip-lager/158994/,2.60,Premium Lager
Stingray Light,/beer/stingray-light/55718/,2.58,Pale Lager
Hammerheads Hefe Weizen,/beer/hammerheads-hefe-weizen/67964/,2.34,Wheat Ale
345 Lager,/beer/345-lager/250844/,2.33,Pale Lager
CayLight,/beer/caylight/132973/,2.31,Pale Lager
Stingray Beer,/beer/stingray-beer/1450/,2.29,Pale Lager
Caybrew,/beer/caybrew/72873/,2.29,Pale Lager
Cayman Islands Brewery Shell Shock IPA,/beer/cayman-islands-brewery-shell-shock-ipa/558255/,n/a,India Pale Ale (IPA)
