beer,link,score,style
Szot Strong Ale 12%,/beer/szot-strong-ale-12/65193/,3.69,Barley Wine
Granizo Tue-Tue Imperial Black IPA,/beer/granizo-tue-tue-imperial-black-ipa/230094/,3.60,Black IPA
Cuello Negro Stout,/beer/cuello-negro-stout/206124/,3.51,Foreign Stout
Szot Colaborativa #4 Imperial Brown Ale,/beer/szot-colaborativa-4-imperial-brown-ale/455528/,3.48,Brown Ale
Kross 5,/beer/kross-5/103764/,3.48,English Strong Ale
Kross Kuad,/beer/kross-kuad/344978/,3.46,Abt/Quadrupel
Ruberg Russian Imperial Stout,/beer/ruberg-russian-imperial-stout/195329/,3.45,Imperial Stout
Szot Negra Stout,/beer/szot-negra-stout/65191/,3.42,Stout
Granizo Gran IPA,/beer/granizo-gran-ipa/356949/,3.42,Imperial IPA
Quimera Imperial Stout,/beer/quimera-imperial-stout/133883/,3.40,Imperial Stout
Kross Stout,/beer/kross-stout/73561/,3.39,Stout
Granizo IRA! (Indian Red Ale),/beer/granizo-ira-indian-red-ale/230084/,3.38,India Pale Ale (IPA)
Rothhammer Rebel Imperial Pilsner,/beer/rothhammer-rebel-imperial-pilsner/198059/,3.35,Imperial Pils/Strong Pale Lager
Spoh Animal IPA,/beer/spoh-animal-ipa/314610/,3.34,Imperial IPA
Granizo Imperial Stout,/beer/granizo-imperial-stout/230105/,3.33,Imperial Stout
T�binger Hoppiness  IPA,/beer/tubinger-hoppiness-ipa/434564/,3.33,India Pale Ale (IPA)
Capital Indian Pale Ale,/beer/capital-indian-pale-ale/113557/,3.32,India Pale Ale (IPA)
Jester Luptopia West Coast Imperial IPA,/beer/jester-luptopia-west-coast-imperial-ipa/314604/,3.32,Imperial IPA
Szot Stout Fuerte,/beer/szot-stout-fuerte/83751/,3.31,Imperial Stout
Kunstmann Gran Torobayo,/beer/kunstmann-gran-torobayo/68206/,3.30,Doppelbock
Rothhammer Epic Barley Wine,/beer/rothhammer-epic-barley-wine/159262/,3.29,Barley Wine
Quimera Barley Wine,/beer/quimera-barley-wine/260381/,3.28,Barley Wine
Jester Manitoba American Pale Ale,/beer/jester-manitoba-american-pale-ale/233886/,3.27,American Pale Ale
T�binger T�binator,/beer/tubinger-tubinator/73314/,3.26,English Strong Ale
Rothhammer Brutal Hops IPA,/beer/rothhammer-brutal-hops-ipa/158347/,3.25,India Pale Ale (IPA)
Rothhammer Loud Oak Stout,/beer/rothhammer-loud-oak-stout/159265/,3.25,Stout
Granizo Bohemian Lager,/beer/granizo-bohemian-lager/230103/,3.25,Czech Pilsner (Světl�)
Cerveza Grassau Bock,/beer/cerveza-grassau-bock/132626/,3.25,Dunkler Bock
Kross IPA,/beer/kross-ipa/360027/,3.25,India Pale Ale (IPA)
Guayac�n Stout,/beer/guayacan-stout/197504/,3.25,Stout
Nomade Blonde Ale,/beer/nomade-blonde-ale/196690/,3.23,Golden Ale/Blond Ale
Jester Cosmonauta Russian Imperial Stout,/beer/jester-cosmonauta-russian-imperial-stout/314601/,3.23,Imperial Stout
Del Puerto Barba Negra Robust Porter,/beer/del-puerto-barba-negra-robust-porter/96400/,3.22,Porter
Quimera Amber Ale,/beer/quimera-amber-ale/80269/,3.21,Amber Ale
Siraku Amber Ale,/beer/siraku-amber-ale/73325/,3.21,Amber Ale
Mestiza Deutsches Alt Bier,/beer/mestiza-deutsches-alt-bier/199079/,3.21,Altbier
Cuello Negro �mbar,/beer/cuello-negro-ambar/206127/,3.21,Golden Ale/Blond Ale
Altamira Pale Ale,/beer/altamira-pale-ale/173592/,3.21,American Pale Ale
Kross / Evil Twin Huesillos Saison,/beer/kross-evil-twin-huesillos-saison/378958/,3.21,Saison
Kross 110 Minutos,/beer/kross-110-minutos/163814/,3.21,Scotch Ale
Altamira Stout,/beer/altamira-stout/160142/,3.21,Stout
Del Puerto Dunkel Weisen,/beer/del-puerto-dunkel-weisen/159767/,3.21,Dunkelweizen
Kross Grand Cru,/beer/kross-grand-cru/189568/,3.21,Belgian Strong Ale
Szot Stout,/beer/szot-stout/406853/,3.19,Stout
Kudell Oktopus Ink. Black IPA,/beer/kudell-oktopus-ink-black-ipa/418027/,3.19,Black IPA
Granizo Foxy Lady,/beer/granizo-foxy-lady/358152/,3.19,Imperial Stout
Cerveza +56 Oatmeal Stout,/beer/cerveza-56-oatmeal-stout/344167/,3.18,Stout
Cruzana Quinoa,/beer/cruzana-quinoa/160856/,3.18,Specialty Grain
Spoh IPA,/beer/spoh-ipa/314609/,3.18,India Pale Ale (IPA)
Zigurat American Pale Ale,/beer/zigurat-american-pale-ale/389563/,3.18,American Pale Ale
