beer,link,score,style
Boxing Cat King Louie Imperial Stout,/beer/boxing-cat-king-louie-imperial-stout/163464/,3.62,Imperial Stout
Boxing Cat Bourbon King Louie Imperial Stout,/beer/boxing-cat-bourbon-king-louie-imperial-stout/174120/,3.56,Imperial Stout
Jing A Flying Fist IPA,/beer/jing-a-flying-fist-ipa/234484/,3.52,India Pale Ale (IPA)
Boxing Cat Sugar Daddy,/beer/boxing-cat-sugar-daddy/306759/,3.48,Imperial Porter
Boxing Cat Bare Knuckle Barleywine,/beer/boxing-cat-bare-knuckle-barleywine/199031/,3.47,Barley Wine
Boxing Cat Suckerpunch Pale,/beer/boxing-cat-suckerpunch-pale/113817/,3.46,American Pale Ale
Boxing Cat Big Boy Double IPA,/beer/boxing-cat-big-boy-double-ipa/144510/,3.45,Imperial IPA
Slow Boat The First Immortal DIPA,/beer/slow-boat-the-first-immortal-dipa/249692/,3.45,Imperial IPA
Boxing Cat TKO India Pale Ale,/beer/boxing-cat-tko-india-pale-ale/113816/,3.45,India Pale Ale (IPA)
Jing-A (京A) Lychee Xanadu,/beer/jing-a-20140a-lychee-xanadu/529471/,3.43,Berliner Weisse
Boxing Cat Sugar Daddy (Cognac Barrel Aged),/beer/boxing-cat-sugar-daddy-cognac-barrel-aged/392930/,3.42,Imperial Porter
Great Leap Negrito Generalissimo Black IPA,/beer/great-leap-negrito-generalissimo-black-ipa/179405/,3.42,Black IPA
Boxing Cat Bare Knuckle Barleywine (Cognac Barrel Aged),/beer/boxing-cat-bare-knuckle-barleywine-cognac-barrel-aged/419612/,3.41,Barley Wine
Great Leap Liu the Brave Stout,/beer/great-leap-liu-the-brave-stout/264101/,3.41,Stout
Boxing Cat Contender Extra Pale Ale,/beer/boxing-cat-contender-extra-pale-ale/199024/,3.41,American Pale Ale
Boxing Cat Tripel Threat,/beer/boxing-cat-tripel-threat/144508/,3.40,Abbey Tripel
Great Leap Hop God 120 Imperial IPA,/beer/great-leap-hop-god-120-imperial-ipa/150170/,3.40,Imperial IPA
Boxing Cat Full Nelson Saison,/beer/boxing-cat-full-nelson-saison/394505/,3.38,Saison
Boxing Cat Donkey Punch Porter,/beer/boxing-cat-donkey-punch-porter/199026/,3.38,Porter
Boxing Cat Nose Breaking Red IPA,/beer/boxing-cat-nose-breaking-red-ipa/394507/,3.38,India Pale Ale (IPA)
Tipsy Face Black IPA,/beer/tipsy-face-black-ipa/260728/,3.38,Black IPA
