beer,link,score,style
3 Cordilleras Mestiza,/beer/3-cordilleras-mestiza/101434/,3.29,American Pale Ale
Bogot� Beer Company (BBC) Septimazo IPA,/beer/bogota-beer-company-bbc-septimazo-ipa/125908/,3.25,India Pale Ale (IPA)
Bogot� Beer Company (BBC) Chia Tipo Weiss,/beer/bogota-beer-company-bbc-chia-tipo-weiss/41118/,3.19,German Hefeweizen
Chelarte Pamela Summer Ale,/beer/chelarte-pamela-summer-ale/204711/,3.15,Wheat Ale
Statua Rota Lymantria,/beer/statua-rota-lymantria/222400/,3.12,Witbier
Ragnar�K Porter,/beer/ragnarok-porter/475561/,3.12,Porter
3 Cordilleras Negra,/beer/3-cordilleras-negra/162782/,3.11,Stout
Bogot� Beer Company (BBC) Chapinero Porter,/beer/bogota-beer-company-bbc-chapinero-porter/41117/,3.10,Porter
Statua Rota  AK-47,/beer/statua-rota-ak-47/505164/,3.09,Imperial Stout
Bogot� Beer Company (BBC) Bacat� Blanca,/beer/bogota-beer-company-bbc-bacata-blanca/125909/,3.07,Witbier
Club Colombia Reserva Especial,/beer/club-colombia-reserva-especial/321915/,3.07,Amber Lager/Vienna
Statua Rota Piernas de Fuego,/beer/statua-rota-piernas-de-fuego/486863/,3.07,Imperial IPA
Ragnar�K Marzen Oktoberfest,/beer/ragnarok-marzen-oktoberfest/486899/,3.06,Oktoberfest/M�rzen
Manigua Mohan Strong Ale,/beer/manigua-mohan-strong-ale/431521/,3.06,American Strong Ale 
Bogot� Beer Company (BBC) Policarpa La Fuerte,/beer/bogota-beer-company-bbc-policarpa-la-fuerte/103859/,3.06,Belgian Strong Ale
Manigua Llorona,/beer/manigua-llorona/431519/,3.04,Saison
Tres Marias Malta Negra,/beer/tres-marias-malta-negra/355487/,3.04,Foreign Stout
Manigua Bola,/beer/manigua-bola/486900/,3.04,Golden Ale/Blond Ale
Golden Lion Colombian Cider ,/beer/golden-lion-colombian-cider/505554/,3.04,Cider
Ragnar�K Kranium Red,/beer/ragnarok-kranium-red/497963/,3.04,Abbey Dubbel
Chelarte Shakti IPA,/beer/chelarte-shakti-ipa/505544/,3.02,India Pale Ale (IPA)
Moonshine Apolo Witbier,/beer/moonshine-apolo-witbier/231130/,3.02,Witbier
Tierra Santa Ishtana IRA,/beer/tierra-santa-ishtana-ira/501624/,3.00,Amber Ale
Fierabr�s Juana de Arco,/beer/fierabras-juana-de-arco/338102/,3.00,Porter
3 Cordilleras 6.47 Especial Negra,/beer/3-cordilleras-647-especial-negra/162780/,3.00,Sweet Stout
Chelarte Carmela Brown Ale,/beer/chelarte-carmela-brown-ale/204713/,3.00,Brown Ale
3 Cordilleras Mulata,/beer/3-cordilleras-mulata/101435/,2.99,Amber Ale
Ap�stol Bock,/beer/apostol-bock/164414/,2.98,Dunkler Bock
Bogot� Beer Company (BBC) Triqui Triqui,/beer/bogota-beer-company-bbc-triqui-triqui/488780/,2.98,Spice/Herb/Vegetable
Tierra Alta Hefeweissbier,/beer/tierra-alta-hefeweissbier/511962/,2.98,German Hefeweizen
Fierabr�s Mar�a Antonieta,/beer/fierabras-marya-antonieta/338101/,2.98,American Pale Ale
Tierra Santa Alpa Golden Ale,/beer/tierra-santa-alpa-golden-ale/501625/,2.98,Golden Ale/Blond Ale
Chelarte Violeta,/beer/chelarte-violeta/485799/,2.98,American Pale Ale
Manigua Muelona,/beer/manigua-muelona/486889/,2.98,Premium Bitter/ESB
Tierra Santa �uja IPA,/beer/tierra-santa-euja-ipa/501623/,2.98,India Pale Ale (IPA)
Colon Roja (Red),/beer/colon-roja-red/40332/,2.97,American Pale Ale
Tierra Alta Porter,/beer/tierra-alta-porter/505952/,2.96,Porter
Tomahawk American Pale Ale,/beer/tomahawk-american-pale-ale/482102/,2.96,American Pale Ale
Fierabr�s Dulcinea,/beer/fierabras-dulcinea/338103/,2.96,Brown Ale
Ap�stol M�rzen,/beer/apostol-marzen/104467/,2.95,Oktoberfest/M�rzen
Tierra Santa Ba�k Stout,/beer/tierra-santa-baak-stout/501622/,2.94,Stout
Tomahawk American IPA,/beer/tomahawk-american-ipa/505962/,2.94,India Pale Ale (IPA)
Tomahawk Black IPA,/beer/tomahawk-black-ipa/505963/,2.94,Black IPA
B�rbaros / Rustica Session White IPA,/beer/barbaros-rustica-session-white-ipa/505973/,2.94,Witbier
3C�rites American Pale Ale,/beer/3carites-american-pale-ale/431485/,2.93,American Pale Ale
Gigante Citra Pale Ale,/beer/gigante-citra-pale-ale/506381/,2.92,American Pale Ale
Chelarte Zenaida Oatmeal Stout,/beer/chelarte-zenaida-oatmeal-stout/204712/,2.91,Stout
Moonshine Zipa IPA,/beer/moonshine-zipa-ipa/361906/,2.90,India Pale Ale (IPA)
Chelarte Raquel Pale Ale,/beer/chelarte-raquel-pale-ale/204710/,2.89,American Pale Ale
Master Beer Irish Red Ruby,/beer/master-beer-irish-red-ruby/431523/,2.89,Irish Ale
