beer,link,score,style
La Chimbilaca Lapa Verde,/beer/la-chimbilaca-lapa-verde/393197/,3.26,Porter
Costa Rica's Segua Red Ale,/beer/costa-ricas-segua-red-ale/136438/,3.25,Irish Ale
O.S. Beer Uran,/beer/os-beer-uran/279451/,3.23,India Pale Ale (IPA)
Belmar Nubosa Tropical Stout,/beer/belmar-nubosa-tropical-stout/337860/,3.23,Foreign Stout
Belmar Dos Mares India Pale Ale,/beer/belmar-dos-mares-india-pale-ale/337859/,3.21,India Pale Ale (IPA)
Costa Rica's Malacrianza Scottish Ale,/beer/costa-ricas-malacrianza-scottish-ale/161104/,3.21,Scottish Ale
Treintaycinco Ensayo #10 Citric DIPA,/beer/treintaycinco-ensayo-10-citric-dipa/393183/,3.19,Imperial IPA
O.S. Beer Nikkos,/beer/os-beer-nikkos/358638/,3.16,Amber Ale
Treintaycinco La Pelona,/beer/treintaycinco-la-pelona/250006/,3.15,India Pale Ale (IPA)
PerroVida Diogenes,/beer/perrovida-diogenes/265580/,3.15,Imperial IPA
O.S. Beer Golden Stout,/beer/os-beer-golden-stout/339482/,3.15,Stout
La Micro Domingo Mano Roja Red Ale,/beer/la-micro-domingo-mano-roja-red-ale/395354/,3.14,Amber Ale
Treintaycinco Tumba Calzones,/beer/treintaycinco-tumba-calzones/237621/,3.12,Saison
Tamarindo Witch's Rock Pale Ale,/beer/tamarindo-witchs-rock-pale-ale/248970/,3.12,American Pale Ale
La Micro Domingo Lagarta Fruity Ale,/beer/la-micro-domingo-lagarta-fruity-ale/398714/,3.12,Fruit Beer
Costa Rica's DOTA,/beer/costa-ricas-dota/453686/,3.11,Fruit Beer
Treintaycinco TreintayC,/beer/treintaycinco-treintayc/237628/,3.11,India Pale Ale (IPA)
K&S; Chivo Blanco,/beer/ks-chivo-blanco/9340/,3.09,Dunkler Bock
Treintaycinco Maldita Vida,/beer/treintaycinco-maldita-vida/237629/,3.09,Barley Wine
Treintaycinco Majadera Pale Ale,/beer/treintaycinco-majadera-pale-ale/531630/,3.09,American Pale Ale
Treintaycinco Mamacandela,/beer/treintaycinco-mamacandela/249886/,3.09,Sweet Stout
Sin Corbata Gallina De Palo,/beer/sin-corbata-gallina-de-palo/337867/,3.09,Golden Ale/Blond Ale
Costa Rica's Libertas Tropical Golden Ale,/beer/costa-ricas-libertas-tropical-golden-ale/136391/,3.08,Golden Ale/Blond Ale
K&S; Pilsner,/beer/ks-pilsner/9339/,3.07,Pilsener
Primate Sabotage,/beer/primate-sabotage/511934/,3.06,Session IPA
Primate San Jose IPA,/beer/primate-san-jose-ipa/393190/,3.06,India Pale Ale (IPA)
Costa Rica's Wheat Beer With Cas,/beer/costa-ricas-wheat-beer-with-cas/163238/,3.03,Wheat Ale
Tierra Fertil Elfica,/beer/tierra-fertil-elfica/364984/,3.02,Amber Ale
O.S. Beer San Diego IPA,/beer/os-beer-san-diego-ipa/311329/,3.02,Imperial IPA
K&S; Dunkel,/beer/ks-dunkel/41357/,3.02,Dunkel/Tmav�
Calle Cimarrona Diablito,/beer/calle-cimarrona-diablito/512158/,3.02,India Pale Ale (IPA)
Lake Arenal Black Ash Stout,/beer/lake-arenal-black-ash-stout/396875/,3.02,Stout
Domingo 7 Conejo Mago IPA,/beer/domingo-7-conejo-mago-ipa/539380/,3.00,India Pale Ale (IPA)
Arboleda Caoba,/beer/arboleda-caoba/512159/,3.00,Black IPA
Treintaycinco 212 IPA,/beer/treintaycinco-212-ipa/291000/,3.00,India Pale Ale (IPA)
Belmar Aurorae Pale Ale,/beer/belmar-aurorae-pale-ale/337858/,3.00,American Pale Ale
Treintaycinco Lora,/beer/treintaycinco-lora/249883/,3.00,Belgian Strong Ale
La Cofrad�a San Pamela,/beer/la-cofradya-san-pamela/358522/,2.98,India Pale Ale (IPA)
Uno Cero Uno IPA,/beer/uno-cero-uno-ipa/337864/,2.98,India Pale Ale (IPA)
Calle Cimarrona Botanica Tamarindo ,/beer/calle-cimarrona-botanica-tamarindo/436428/,2.98,Saison
Uno Cero Uno Toro Sentado,/beer/uno-cero-uno-toro-sentado/511971/,2.98,India Pale Ale (IPA)
Lake Arenal Jungle Dunkel,/beer/lake-arenal-jungle-dunkel/278906/,2.97,Dunkel/Tmav�
Cervecera del Centro Onix,/beer/cervecera-del-centro-onix/515936/,2.96,Dunkelweizen
Tierra y Libertad Petra,/beer/tierra-y-libertad-petra/418542/,2.96,Belgian Ale
Primate Propaganda,/beer/primate-propaganda/511935/,2.96,American Pale Ale
Be�che Centennial Single Hop IPA,/beer/beeche-centennial-single-hop-ipa/395670/,2.96,India Pale Ale (IPA)
Treintaycinco Caribe�o,/beer/treintaycinco-caribeno/415992/,2.95,Golden Ale/Blond Ale
Lake Arenal Paradise Pale Ale,/beer/lake-arenal-paradise-pale-ale/278899/,2.94,American Pale Ale
Be�che Session IPA Citra Amarillo ,/beer/beeche-session-ipa-citra-amarillo/436435/,2.94,Session IPA
Gallo Tapao Brumosa Pale Ale,/beer/gallo-tapao-brumosa-pale-ale/396569/,2.94,American Pale Ale
