beer,link,score,style
Nova Runda C4,/beer/nova-runda-c4/409275/,3.88,India Pale Ale (IPA)
Zmajska Pivovara RIS Barrel Aged,/beer/zmajska-pivovara-ris-barrel-aged/550021/,3.82,Imperial Stout
Zmajska Pivovara RIS,/beer/zmajska-pivovara-ris/550020/,3.80,Imperial Stout
The Garden Vanilla & Chocolate Porter - Christmas Special,/beer/the-garden-vanilla-chocolate-porter-christmas-special/470654/,3.77,Porter
Vunetovo Alja�ki Mrgud,/beer/vunetovo-aljaski-mrgud/384475/,3.76,Black IPA
Nova Runda ThroaTTwisteR,/beer/nova-runda-throattwister/519518/,3.72,Imperial IPA
Pivovara Medvedgrad Pivo Svetog Martina,/beer/pivovara-medvedgrad-pivo-svetog-martina/462921/,3.67,Barley Wine
Zmajska Pivovara Pozoj IPA,/beer/zmajska-pivovara-pozoj-ipa/335833/,3.66,India Pale Ale (IPA)
Zmajska Pivovara Porter,/beer/zmajska-pivovara-porter/285532/,3.64,Porter
Nova Runda FIREBALL,/beer/nova-runda-fireball/465929/,3.63,India Pale Ale (IPA)
Nova Runda APA,/beer/nova-runda-apa/272131/,3.61,American Pale Ale
Pivovara Medvedgrad Baltazar,/beer/pivovara-medvedgrad-baltazar/413732/,3.60,India Style Lager
Crafter's Spirit,/beer/crafters-spirit/471228/,3.59,Spice/Herb/Vegetable
5th Element Beer Imperial India Pale Ale (IIPA),/beer/5th-element-beer-imperial-india-pale-ale-iipa/507868/,3.58,Imperial IPA
Prvo Vi�ko Pivo Porter,/beer/prvo-visko-pivo-porter/431804/,3.56,Porter
Pivovara Medvedgrad Crni Jack,/beer/pivovara-medvedgrad-crni-jack/379031/,3.53,Black IPA
Zmajska Pivovara Pale Ale,/beer/zmajska-pivovara-pale-ale/285531/,3.53,American Pale Ale
Pivovara Medvedgrad Rođendansko Pivo,/beer/pivovara-medvedgrad-ro273endansko-pivo/302424/,3.51,Belgian Strong Ale
Nova Runda BRALE,/beer/nova-runda-brale/282821/,3.49,Brown Ale
The Garden NEIPA 01,/beer/the-garden-neipa-01/499031/,3.48,India Pale Ale (IPA)
Varionica B-day Stout,/beer/varionica-b-day-stout/393693/,3.47,Stout
Pivovara Medvedgrad Vragec,/beer/pivovara-medvedgrad-vragec/446106/,3.46,Session IPA
Pivovara Medvedgrad Agram Stout,/beer/pivovara-medvedgrad-agram-stout/255156/,3.45,Stout
Pivovara Medvedgrad Fakin IPA,/beer/pivovara-medvedgrad-fakin-ipa/289527/,3.45,India Pale Ale (IPA)
Varionica B-Day IPA,/beer/varionica-b-day-ipa/484549/,3.44,India Pale Ale (IPA)
The Garden DIPA,/beer/the-garden-dipa/451702/,3.43,Imperial IPA
Vunetovo Hvarska Medicina,/beer/vunetovo-hvarska-medicina/290237/,3.43,Spice/Herb/Vegetable
The Garden India Pale Ale,/beer/the-garden-india-pale-ale/456060/,3.43,India Pale Ale (IPA)
Prvo Vi�ko Pivo Imperial Brown Ale,/beer/prvo-visko-pivo-imperial-brown-ale/471233/,3.43,Brown Ale
Varionica Into The Rye,/beer/varionica-into-the-rye/505895/,3.43,India Pale Ale (IPA)
The Garden 96 IPA,/beer/the-garden-96-ipa/531334/,3.43,India Pale Ale (IPA)
The Garden NEIPA 02,/beer/the-garden-neipa-02/550023/,3.43,India Pale Ale (IPA)
Pulfer Hoppy Saison,/beer/pulfer-hoppy-saison/540806/,3.42,Saison
Visibaba Pivo Oat Dirty Bastard,/beer/visibaba-pivo-oat-dirty-bastard/519307/,3.42,American Pale Ale
Pulfer Black IPA,/beer/pulfer-black-ipa/564530/,3.41,Black IPA
The Garden Imperial Adriatic Ale,/beer/the-garden-imperial-adriatic-ale/561221/,3.41,Imperial IPA
Varionica Neon Stout,/beer/varionica-neon-stout/402250/,3.40,Stout
Nova Runda HLADOVINA,/beer/nova-runda-hladovina/526823/,3.40,Session IPA
The Garden Stout,/beer/the-garden-stout/424986/,3.40,Sweet Stout
Kri�evačko Tamno Pivo,/beer/krizeva269ko-tamno-pivo/303255/,3.39,Dunkel/Tmav�
Pivovara Medvedgrad Novi Val IPA,/beer/pivovara-medvedgrad-novi-val-ipa/547073/,3.39,India Pale Ale (IPA)
Pulfer Stout,/beer/pulfer-stout/478482/,3.39,Stout
San Servolo Tamno Pivo,/beer/san-servolo-tamno-pivo/259094/,3.39,Schwarzbier
The Garden CRIPA,/beer/the-garden-cripa/459021/,3.37,India Pale Ale (IPA)
LAB Barba Pale Ale,/beer/lab-barba-pale-ale/403474/,3.36,American Pale Ale
Tomislav Crno Pivo,/beer/tomislav-crno-pivo/11904/,3.36,Baltic Porter
The Garden Citrus IPA,/beer/the-garden-citrus-ipa/436592/,3.36,India Pale Ale (IPA)
The Garden Simcoe Pale,/beer/the-garden-simcoe-pale/552717/,3.36,American Pale Ale
Pivovara Medvedgrad Cug Majstor,/beer/pivovara-medvedgrad-cug-majstor/423429/,3.36,Pilsener
Zmajska Pivovara Hoppy Wheat,/beer/zmajska-pivovara-hoppy-wheat/435309/,3.36,Wheat Ale
