beer,link,score,style
Puerto del Rey Negra,/beer/puerto-del-rey-negra/397979/,3.04,Schwarzbier
Puerto del Rey Obscura,/beer/puerto-del-rey-obscura/397978/,2.90,Dunkel/Tmav�
Taberna de la Muralla Negra,/beer/taberna-de-la-muralla-negra/309018/,2.89,Schwarzbier
Tinima Cerveza Clara,/beer/tinima-cerveza-clara/422411/,2.87,Pale Lager
Mayabe Cerveza Fuerte,/beer/mayabe-cerveza-fuerte/12084/,2.73,Pale Lager
Puerto del Rey Clara,/beer/puerto-del-rey-clara/397977/,2.70,Pale Lager
Taberna de la Muralla Pielsen,/beer/taberna-de-la-muralla-pielsen/41660/,2.62,Pilsener
Taberna de la Muralla Munich (Oscura),/beer/taberna-de-la-muralla-munich-oscura/41661/,2.59,Dunkel/Tmav�
Antillana Cerveza Clara,/beer/antillana-cerveza-clara/42021/,2.54,Pale Lager
Bucanero Premium,/beer/bucanero-premium/12055/,2.51,Pale Lager
Antiguo Almacen Negra,/beer/antiguo-almacen-negra/397968/,2.48,Schwarzbier
Tinima Especial Fuerte,/beer/tinima-especial-fuerte/190749/,2.42,Premium Lager
Antiguo Almacen Obscura,/beer/antiguo-almacen-obscura/397969/,2.42,Dunkel/Tmav�
Taberna de la Muralla Plaza Vieja Light (Claro),/beer/taberna-de-la-muralla-plaza-vieja-light-claro/62852/,2.41,Pale Lager
Antiguo Almacen Clara,/beer/antiguo-almacen-clara/397967/,2.32,Pale Lager
Cacique,/beer/cacique/132740/,2.22,Pale Lager
Cerveja Bruja Cl�sica,/beer/cerveja-bruja-clasica/195295/,2.17,Pale Lager
Bucanero Max,/beer/bucanero-max/62851/,2.14,Imperial Pils/Strong Pale Lager
Bucanero Fuerte,/beer/bucanero-fuerte/12085/,2.08,Pale Lager
Varadero Clara Classic,/beer/varadero-clara-classic/114804/,1.97,Pale Lager
Tinima Superior,/beer/tinima-superior/18521/,1.93,Pale Lager
Hatuey (Cuba),/beer/hatuey-cuba/66906/,1.91,Pale Lager
Tinima Cubay Clasica,/beer/tinima-cubay-clasica/60572/,1.86,Pale Lager
Cristal ,/beer/cristal/254534/,1.79,Pale Lager
Mayabe Cerveza Clara,/beer/mayabe-cerveza-clara/12054/,1.69,Pale Lager
Cubanero Fuerte,/beer/cubanero-fuerte/234507/,n/a,Pale Lager
Palma Cristal,/beer/palma-cristal/12457/,n/a,Pale Lager
