beer,link,score,style
Curacao Brown Eyed Girl,/beer/curacao-brown-eyed-girl/477084/,3.14,Brown Ale
Curacao Hopi Hops,/beer/curacao-hopi-hops/477083/,3.07,India Pale Ale (IPA)
Curacao White Goat,/beer/curacao-white-goat/477082/,2.98,Witbier
Curacao Skinny Blonde,/beer/curacao-skinny-blonde/477085/,2.97,Golden Ale/Blond Ale
diNos Pilsener,/beer/dinos-pilsener/299269/,2.61,Pilsener
Montana Curacao Red Lager,/beer/montana-curacao-red-lager/299270/,2.34,Amber Lager/Vienna
Coral Pilsner,/beer/coral-pilsner/35212/,2.12,Pilsener
Amstel Bright,/beer/amstel-bright/10524/,1.98,Pale Lager
Captain Blighs Canadian Light,/beer/captain-blighs-canadian-light/42080/,n/a,Pale Lager
Captain Blighs Munich Helles,/beer/captain-blighs-munich-helles/42149/,n/a,Dortmunder/Helles
