beer,link,score,style
Hula Hops Cyprus Citrus IPA,/beer/hula-hops-cyprus-citrus-ipa/335987/,3.65,India Pale Ale (IPA)
Hula Hops Cyprus Summer Wit,/beer/hula-hops-cyprus-summer-wit/424934/,3.46,Witbier
Prime White,/beer/prime-white/253418/,3.23,Witbier
Pivo Blondie,/beer/pivo-blondie/374629/,3.21,Czech Pilsner (Světl�)
Aphrodite's Rock London Porter,/beer/aphrodites-rock-london-porter/229659/,3.12,Porter
Prime Odette Saison,/beer/prime-odette-saison/321811/,3.10,Saison
Mad Pan Hihon Mouslera,/beer/mad-pan-hihon-mouslera/336792/,3.08,Abbey Dubbel
Aphrodite's Rock Premium,/beer/aphrodites-rock-premium/295066/,3.02,Pilsener
The Brewery (Larnaca) Oyster Stout,/beer/the-brewery-larnaca-oyster-stout/416191/,3.02,Stout
The Brewery (Larnaca) Dark Wheat,/beer/the-brewery-larnaca-dark-wheat/139595/,3.02,Dunkelweizen
Mad Pan Barrel House Pale Ale,/beer/mad-pan-barrel-house-pale-ale/462594/,3.00,English Pale Ale
The Brewery (Larnaca) Dark Lager,/beer/the-brewery-larnaca-dark-lager/139593/,2.98,Dunkel/Tmav�
The Brewery (Larnaca) Premium Dark,/beer/the-brewery-larnaca-premium-dark/416207/,2.98,Dunkel/Tmav�
The Brewery (Larnaca) Lager,/beer/the-brewery-larnaca-lager/413272/,2.96,Pale Lager
Prime Napa Elite,/beer/prime-napa-elite/442657/,2.96,Pilsener
Five Beer,/beer/five-beer/33240/,2.95,Pale Lager
Aphrodite's Rock ESB,/beer/aphrodites-rock-esb/272073/,2.88,Premium Bitter/ESB
Carlsberg Classic,/beer/carlsberg-classic/532302/,2.87,Pale Lager
The Brewery (Larnaca) Wheat,/beer/the-brewery-larnaca-wheat/413271/,2.87,German Hefeweizen
True Ale Cyprus Porter,/beer/true-ale-cyprus-porter/533027/,2.87,Porter
True Ale Cyprus Pale Ale,/beer/true-ale-cyprus-pale-ale/533022/,2.85,English Pale Ale
The Brewery (Larnaca) Pilsner,/beer/the-brewery-larnaca-pilsner/139594/,2.85,Czech Pilsner (Světl�)
Aphrodite's Rock West Coast,/beer/aphrodites-rock-west-coast/229660/,2.85,India Pale Ale (IPA)
The Brewery (Larnaca) Brown Ale,/beer/the-brewery-larnaca-brown-ale/139592/,2.84,Brown Ale
Aphrodite's Rock Stratford Gold,/beer/aphrodites-rock-stratford-gold/229654/,2.84,Golden Ale/Blond Ale
Aphrodite's Rock Zoigl Star,/beer/aphrodites-rock-zoigl-star/229657/,2.82,Zwickel/Keller/Landbier
Prime Pale,/beer/prime-pale/222959/,2.82,English Pale Ale
Prime Golden,/beer/prime-golden/222958/,2.81,Golden Ale/Blond Ale
Draught Bar & Grill Buster Ale,/beer/draught-bar-grill-buster-ale/99691/,2.81,English Pale Ale
Draught Bar & Grill Lager,/beer/draught-bar-grill-lager/72080/,2.79,Pale Lager
Aphrodite�s Rock Yorkshire Rose,/beer/aphrodites-rock-yorkshire-rose/227185/,2.78,Bitter
True Ale Cyprus Blonde Ale,/beer/true-ale-cyprus-blonde-ale/533023/,2.75,Mild Ale
Aphrodite's Rock Hobnob,/beer/aphrodites-rock-hobnob/229658/,2.74,Brown Ale
Aphrodite's Rock Lian Shee,/beer/aphrodites-rock-lian-shee/229656/,2.72,Irish Ale
Aphrodite's Rock Oktoberfest,/beer/aphrodites-rock-oktoberfest/350259/,2.71,Oktoberfest/M�rzen
Prime Black,/beer/prime-black/285454/,2.69,Sweet Stout
Aphrodite's Rock Midas Gold,/beer/aphrodites-rock-midas-gold/284194/,2.69,Premium Lager
Prime Amber,/beer/prime-amber/222960/,2.68,Amber Ale
Sorella Orchard Apple and Pear,/beer/sorella-orchard-apple-and-pear/284195/,2.67,Cider
Kappa ,/beer/kappa/415173/,2.65,Premium Lager
Ins�lberg Beer,/beer/inselberg-beer/414245/,2.60,Pale Lager
Prime Cyprus Pils,/beer/prime-cyprus-pils/413199/,2.52,Pilsener
KEO Light,/beer/keo-light/336932/,2.37,Pale Lager
Krauzer Br�u Echtes Lagerbier,/beer/krauzer-brau-echtes-lagerbier/156576/,2.24,Pale Lager
Leon,/beer/leon/33242/,2.15,Pale Lager
KEO,/beer/keo/10508/,2.05,Pale Lager
Draught Bar & Grill Pilsner,/beer/draught-bar-grill-pilsner/72081/,n/a,Czech Pilsner (Světl�)
Draught Bar & Grill Wheat,/beer/draught-bar-grill-wheat/72082/,n/a,German Hefeweizen
Mad Pan 9,/beer/mad-pan-9/336798/,n/a,American Pale Ale
Mad Pan Aged Pale Ale,/beer/mad-pan-aged-pale-ale/336795/,n/a,American Pale Ale
