beer,link,score,style
Legend Extra Stout (D.R. Congo),/beer/legend-extra-stout-dr-congo/269810/,3.00,Foreign Stout
Bracongo Doppel Munich,/beer/bracongo-doppel-munich/73066/,2.73,Dunkel/Tmav�
Simba Tembo Bi�re,/beer/simba-tembo-biere/32072/,2.67,Amber Lager/Vienna
Simba Bi�re du Lion,/beer/simba-biere-du-lion/13583/,2.64,Pale Lager
Turbo King (DRC),/beer/turbo-king-drc/73063/,2.59,Dunkel/Tmav�
Nkoyi Black,/beer/nkoyi-black/180910/,2.58,Dunkel/Tmav�
Beaufort (Congo DR),/beer/beaufort-congo-dr/363596/,2.34,Premium Lager
M�tzig Lager Beer Speciale Export,/beer/mutzig-lager-beer-speciale-export/136668/,2.32,Pale Lager
N'Tay,/beer/ntay/488334/,2.04,Premium Lager
Primus (Congo DR),/beer/primus-congo-dr/56208/,1.96,Pale Lager
Nkoyi,/beer/nkoyi/180909/,1.95,Pale Lager
Skol (Congo DR),/beer/skol-congo-dr/59432/,n/a,Pale Lager
