beer,link,score,style
Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),/beer/mikkeller-beer-geek-vanilla-shake-bourbon-edition/248755/,4.23,Imperial Stout
Mikkeller Beer Geek Brunch Weasel,/beer/mikkeller-beer-geek-brunch-weasel/97034/,4.23,Imperial Stout
Mikkeller George! Barrel Aged (Bourbon Edition),/beer/mikkeller-george-barrel-aged-bourbon-edition/132951/,4.18,Imperial Stout
Mikkeller X Imperial Stout,/beer/mikkeller-x-imperial-stout/59390/,4.16,Imperial Stout
Mikkeller SpontanPentadrupelBlueberry,/beer/mikkeller-spontanpentadrupelblueberry/512884/,4.16,Lambic Style - Fruit
Mikkeller Beer Geek Brunch Weasel BA Slyrs,/beer/mikkeller-beer-geek-brunch-weasel-ba-slyrs/316841/,4.15,Imperial Stout
�lfabrikken Porter ,/beer/olfabrikken-porter/52649/,4.12,Baltic Porter
Mikkeller George! Barrel Aged (Cognac Edition),/beer/mikkeller-george-barrel-aged-cognac-edition/190858/,4.12,Imperial Stout
Mikkeller Brian BA Bourbon,/beer/mikkeller-brian-ba-bourbon/324121/,4.10,Imperial Porter
N�rrebro SEVEN Imperial Stout (Bordeaux Barrel),/beer/norrebro-seven-imperial-stout-bordeaux-barrel/106625/,4.10,Imperial Stout
Mikkeller Beer Geek Breakfast,/beer/mikkeller-beer-geek-breakfast/53853/,4.08,Stout
Mikkeller George vs Brian Tequila,/beer/mikkeller-george-vs-brian-tequila/272152/,4.08,Imperial Stout
Mikkeller Beer Geek Brunch Weasel (Cognac Edition),/beer/mikkeller-beer-geek-brunch-weasel-cognac-edition/166407/,4.08,Imperial Stout
Mikkeller Beer Geek Vanilla Shake,/beer/mikkeller-beer-geek-vanilla-shake/214195/,4.07,Imperial Stout
Warpigs Smoldering Holes Eagle Rare Barrel Aged,/beer/warpigs-smoldering-holes-eagle-rare-barrel-aged/478050/,4.07,Imperial Stout
Mikkeller George! Barrel Aged (Calvados Edition),/beer/mikkeller-george-barrel-aged-calvados-edition/192282/,4.06,Imperial Stout
N�rrebro SEVEN Imperial Stout (Niepoort Barrel),/beer/norrebro-seven-imperial-stout-niepoort-barrel/103138/,4.06,Imperial Stout
Mikkeller George vs Brian Cherry,/beer/mikkeller-george-vs-brian-cherry/272156/,4.06,Imperial Stout
Mikkeller Beer Geek Brunch Weasel (Bourbon Edition) ,/beer/mikkeller-beer-geek-brunch-weasel-bourbon-edition/117706/,4.06,Imperial Stout
Mikkeller SpontanQuadruppelRaspberry,/beer/mikkeller-spontanquadruppelraspberry/496270/,4.05,Lambic Style - Fruit
Mikkeller George!,/beer/mikkeller-george/122090/,4.05,Imperial Stout
Warpigs / Alesmith Speedway Stout,/beer/warpigs-alesmith-speedway-stout/338784/,4.05,Imperial Stout
To �l Sort M�lk,/beer/to-ol-sort-maelk/172758/,4.04,Imperial Stout
�lfabrikken Gammel Ekstra Porter,/beer/olfabrikken-gammel-ekstra-porter/61379/,4.04,Imperial Porter
Mikkeller C�'t C� Ph� Bia,/beer/mikkeller-cut-ca-phe-bia/180756/,4.03,Imperial Stout
Mikkeller Beer Geek Brunch Weasel (Brandy Edition),/beer/mikkeller-beer-geek-brunch-weasel-brandy-edition/305318/,4.03,Imperial Stout
To �l Liquid Confidential (Confidence Rhum Barrel Aged) ,/beer/to-ol-liquid-confidential-confidence-rhum-barrel-aged/369724/,4.03,Imperial Stout
Mikkeller X Imperial Stout Calvados Barrel Aged ,/beer/mikkeller-x-imperial-stout-calvados-barrel-aged/93058/,4.03,Imperial Stout
Mikkeller Beer Geek Vanilla Maple Shake,/beer/mikkeller-beer-geek-vanilla-maple-shake/524314/,4.03,Imperial Stout
To �l Black Malts & Body Salts Black Coffee IIPA,/beer/to-ol-black-malts-body-salts-black-coffee-iipa/216961/,4.03,Black IPA
To �l Yule M�lk,/beer/to-ol-yule-maelk/302914/,4.02,Imperial Stout
"Amager / Jameson Green, Green Banshee",/beer/amager-jameson-green-green-banshee/417324/,4.02,Imperial Stout
Mikkeller Beer Geek Brunch Weasel (Calvados Edition),/beer/mikkeller-beer-geek-brunch-weasel-calvados-edition/167391/,4.02,Imperial Stout
Mikkeller BA Beer Geek Cookie Shake Bourbon Ed.,/beer/mikkeller-ba-beer-geek-cookie-shake-bourbon-ed/263821/,4.02,Imperial Stout
Fan� Gorm (Kunstner �l No. 4),/beer/fano-gorm-kunstner-ol-no-4/171478/,4.01,Imperial Stout
Mikkeller Nelson Sauvignon,/beer/mikkeller-nelson-sauvignon/115037/,4.01,Belgian Strong Ale
Mikkeller 40 Smaragd,/beer/mikkeller-40-smaragd/287979/,4.00,Barley Wine
Amager Hr. Frederiksen,/beer/amager-hr-frederiksen/71568/,3.99,Imperial Stout
Mikkeller Black As The Night,/beer/mikkeller-black-as-the-night/93251/,3.98,Imperial Stout
Mikkeller Beer Geek Brunch One-for-One,/beer/mikkeller-beer-geek-brunch-one-for-one/86801/,3.98,Imperial Stout
Mikkeller Festival Special Edition 2012 - Stella 3,/beer/mikkeller-festival-special-edition-2012-stella-3/173886/,3.98,Imperial Stout
To �l Goliat Imperial Coffee Stout,/beer/to-ol-goliat-imperial-coffee-stout/164496/,3.98,Imperial Stout
Det Lille Bryggeri 100,/beer/det-lille-bryggeri-100/122508/,3.98,Imperial Stout
Amager / Mikkeller Hr. Frederiksens V�sel Brunch,/beer/amager-mikkeller-hr-frederiksens-vaesel-brunch/122197/,3.97,Imperial Stout
Mikkeller Beer Geek Dessert,/beer/mikkeller-beer-geek-dessert/290994/,3.97,Imperial Stout
To �l Liquid Confidence,/beer/to-ol-liquid-confidence/212181/,3.97,Imperial Stout
Mikkeller 黑 / Black (Cognac Edition),/beer/mikkeller-40657-black-cognac-edition/135841/,3.97,Imperial Stout
Mikkeller X Imperial Stout 2007 Barrel Aged ,/beer/mikkeller-x-imperial-stout-2007-barrel-aged/84629/,3.97,Imperial Stout
N�rrebro SEVEN Imperial Stout,/beer/norrebro-seven-imperial-stout/97666/,3.97,Imperial Stout
Amager Hr. Frederiksen (Port Wine Edition),/beer/amager-hr-frederiksen-port-wine-edition/119598/,3.97,Imperial Stout
