beer,link,score,style
Santo Domingo Montesinos India Session Red,/beer/santo-domingo-montesinos-india-session-red/337965/,3.14,Session IPA
Santo Domingo Quita Espuela,/beer/santo-domingo-quita-espuela/337960/,3.11,Porter
Santo Domingo Catalina,/beer/santo-domingo-catalina/337959/,3.06,German Hefeweizen
Ambar Cerveza Oscura ,/beer/ambar-cerveza-oscura/28189/,2.78,Amber Lager/Vienna
La Benedicta Sidra,/beer/la-benedicta-sidra/554176/,2.64,Cider
The One Cerveza,/beer/the-one-cerveza/70660/,2.54,Pale Lager
Presidente BLACK ,/beer/presidente-black/327475/,2.31,Pilsener
Bohemia Light,/beer/bohemia-light/147054/,2.22,Pilsener
Cerveza Quisqueya Light,/beer/cerveza-quisqueya-light/282437/,2.16,Low Alcohol
Bohemia Especial (Dominican Republic),/beer/bohemia-especial-dominican-republic/12261/,1.99,Pale Lager
Presidente,/beer/presidente/7624/,1.96,Pale Lager
Cerveza Quisqueya,/beer/cerveza-quisqueya/12262/,1.85,Pale Lager
Presidente Light,/beer/presidente-light/45135/,1.85,Pale Lager
Cerveza Soberana,/beer/cerveza-soberana/12263/,1.79,Pale Lager
Quisqueya Extra,/beer/quisqueya-extra/337172/,1.70,Malt Liquor
Republica Tina Bazuca,/beer/republica-tina-bazuca/521323/,n/a,India Pale Ale (IPA)
