beer,link,score,style
Doggerlander Belgian Dark Ale,/beer/doggerlander-belgian-dark-ale/244684/,3.64,Belgian Strong Ale
Doggerlander Esus B-Shot,/beer/doggerlander-esus-b-shot/244703/,3.61,Belgian Strong Ale
Doggerlander Colapso Black IPA,/beer/doggerlander-colapso-black-ipa/353210/,3.58,Black IPA
Doggerlander Smoked Merk�n Porter,/beer/doggerlander-smoked-merken-porter/354762/,3.56,Porter
Doggerlander Gose,/beer/doggerlander-gose/293315/,3.54,Grodziskie/Gose/Lichtenhainer
Doggerlander California,/beer/doggerlander-california/244577/,3.54,California Common
Doggerlander Russian Imperial Stout,/beer/doggerlander-russian-imperial-stout/244580/,3.52,Imperial Stout
Doggerlander Jack's IPA,/beer/doggerlander-jacks-ipa/244576/,3.48,India Pale Ale (IPA)
Doggerlander Bi�re de Garde,/beer/doggerlander-biere-de-garde/244579/,3.48,Bi�re de Garde
Doggerlander Porter,/beer/doggerlander-porter/244578/,3.46,Porter
Doggerlander 3 Diablos Porter,/beer/doggerlander-3-diablos-porter/373485/,3.42,Spice/Herb/Vegetable
Bandido Hop-Rey IPA,/beer/bandido-hop-rey-ipa/292212/,3.40,India Pale Ale (IPA)
Doggerlander American Pale Ale,/beer/doggerlander-american-pale-ale/367239/,3.32,American Pale Ale
Doggerlander Rex IPA,/beer/doggerlander-rex-ipa/244697/,3.32,Imperial IPA
Doggerlander Framboise,/beer/doggerlander-framboise/357672/,3.30,Fruit Beer
Doggerlander Los Chillos Old Red,/beer/doggerlander-los-chillos-old-red/305425/,3.29,Sour Red/Brown
Doggerlander Alacr�n Amber Ale (AAA),/beer/doggerlander-alacran-amber-ale-aaa/415858/,3.28,Amber Ale
Doggerlander / Cervecer�a Gourmet Mitad del Mundo Sour,/beer/doggerlander-cervecerya-gourmet-mitad-del-mundo-sour/305420/,3.27,Sour/Wild Ale
Quite�a Abbey Ale,/beer/quitena-abbey-ale/406848/,3.26,Belgian Ale
Cerveceria Gourmet Ecuatoriana Munay,/beer/cerveceria-gourmet-ecuatoriana-munay/407309/,3.26,Spice/Herb/Vegetable
Doggerlander Dubbel,/beer/doggerlander-dubbel/244687/,3.26,Abbey Dubbel
Bandido Alta Amber,/beer/bandido-alta-amber/272982/,3.24,Amber Ale
Quite�a Pale Ale,/beer/quitena-pale-ale/406844/,3.24,American Pale Ale
Doggerlander Raspberry Cider,/beer/doggerlander-raspberry-cider/353206/,3.23,Cider
Bandido Cuckoo Chocolate Stout,/beer/bandido-cuckoo-chocolate-stout/292224/,3.21,Stout
Bandido Guayusa Pale Ale,/beer/bandido-guayusa-pale-ale/272983/,3.17,American Pale Ale
Doggerlander Berliner Weisse,/beer/doggerlander-berliner-weisse/323999/,3.17,Berliner Weisse
Bandido Rio Negro Stout,/beer/bandido-rio-negro-stout/406131/,3.13,Stout
RAGNAR�K English Mild Ale,/beer/ragnarok-english-mild-ale/409026/,3.13,Mild Ale
RAGNAR�K English Brown Ale,/beer/ragnarok-english-brown-ale/408098/,3.11,Brown Ale
Quite�a IPA,/beer/quitena-ipa/408646/,3.11,India Pale Ale (IPA)
Bandido Honey Ginger Saison,/beer/bandido-honey-ginger-saison/272984/,3.07,Saison
Santana Chulla Chela,/beer/santana-chulla-chela/407064/,3.04,Abbey Tripel
Kimo's Barba Negra,/beer/kimos-barba-negra/452310/,3.04,Porter
Doggerlander Pumpkin Ale,/beer/doggerlander-pumpkin-ale/305426/,3.04,Spice/Herb/Vegetable
Los 3 Monjes Dark Strong Ale,/beer/los-3-monjes-dark-strong-ale/407093/,2.98,Belgian Strong Ale
La Morena Porter,/beer/la-morena-porter/406860/,2.98,Porter
Nativa Cuicocha Ale (Negra),/beer/nativa-cuicocha-ale-negra/407092/,2.98,Stout
Kimo's Diabla,/beer/kimos-diabla/452307/,2.98,Irish Ale
Sabai Llangantes Golden Ale,/beer/sabai-llangantes-golden-ale/446507/,2.98,Golden Ale/Blond Ale
Doggerlander Dunkelweizen,/beer/doggerlander-dunkelweizen/244691/,2.97,Dunkelweizen
P�ramo Brauhaus Weissbier,/beer/paramo-brauhaus-weissbier/353190/,2.97,German Hefeweizen
Sabai Chaqui��n IPA,/beer/sabai-chaquinan-ipa/440955/,2.97,India Pale Ale (IPA)
Nativa San Pablo Ale (Rubia),/beer/nativa-san-pablo-ale-rubia/407067/,2.96,Golden Ale/Blond Ale
Cherusker B�vara,/beer/cherusker-bavara/451989/,2.96,Wheat Ale
Sinners Coco Ginger IPA,/beer/sinners-coco-ginger-ipa/240696/,2.95,India Pale Ale (IPA)
Cherusker Super Doble,/beer/cherusker-super-doble/214021/,2.95,Imperial Pils/Strong Pale Lager
P�ramo Brauhaus Pale Ale,/beer/paramo-brauhaus-pale-ale/407494/,2.94,American Pale Ale
Nativa Yahuarcocha Ale (Roja),/beer/nativa-yahuarcocha-ale-roja/406838/,2.94,Amber Ale
Santa Rosa Cerveza Artesanal Turbulenta,/beer/santa-rosa-cerveza-artesanal-turbulenta/514644/,2.94,India Pale Ale (IPA)
