beer,link,score,style
Stella Marzen,/beer/stella-marzen/54710/,3.07,Oktoberfest/M�rzen
Sakara Classic,/beer/sakara-classic/22342/,2.83,Pilsener
Sakara Weizen,/beer/sakara-weizen/165963/,2.79,German Hefeweizen
Al Ahram Meister Max Tangerine,/beer/al-ahram-meister-max-tangerine/479486/,2.77,Fruit Beer
Al Ahram Meister Max Pineapple,/beer/al-ahram-meister-max-pineapple/480028/,2.76,Fruit Beer
Sakara 7 Stars,/beer/sakara-7-stars/9442/,2.74,Imperial Pils/Strong Pale Lager
Luxor Weizen,/beer/luxor-weizen/74725/,2.63,German Hefeweizen
Sakara Premium ,/beer/sakara-premium/9444/,2.58,Pale Lager
Sakara Red,/beer/sakara-red/54709/,2.56,Amber Lager/Vienna
Oro Eight Stars,/beer/oro-eight-stars/86339/,2.56,Malt Liquor
Castelo Hard (Blue Label),/beer/castelo-hard-blue-label/196935/,2.54,Imperial Pils/Strong Pale Lager
Castello High (Red Label),/beer/castello-high-red-label/196934/,2.50,Imperial Pils/Strong Pale Lager
Luxor Nubia,/beer/luxor-nubia/71661/,2.42,Foreign Stout
Stella Export,/beer/stella-export/3064/,2.39,Pale Lager
Luxor XXX,/beer/luxor-xxx/71662/,2.37,Malt Liquor
Stella Premium,/beer/stella-premium/3057/,2.36,Imperial Pils/Strong Pale Lager
Pharaoh Lager,/beer/pharaoh-lager/209979/,2.29,Pale Lager
Gold Berg Gold,/beer/gold-berg-gold/196936/,2.27,Imperial Pils/Strong Pale Lager
Sphinx Classic,/beer/sphinx-classic/196855/,2.20,Pale Lager
Egyptian Pilsener,/beer/egyptian-pilsener/10942/,2.17,Pilsener
Luxor Classic Lager,/beer/luxor-classic-lager/54711/,2.17,Pale Lager
Luxor Special Gold,/beer/luxor-special-gold/54712/,2.09,Pale Lager
Meister Lager,/beer/meister-lager/3058/,1.97,Pale Lager
Stella Lager,/beer/stella-lager/3056/,1.97,Pale Lager
Sakara Gold ,/beer/sakara-gold/9443/,1.86,Pale Lager
Meister Max,/beer/meister-max/9441/,1.83,Malt Liquor
Sakara King,/beer/sakara-king/74955/,1.70,Malt Liquor
Santana,/beer/santana/70290/,1.48,Low Alcohol
Al Ahram Birell,/beer/al-ahram-birell/7996/,1.46,Low Alcohol
Birra Maraska,/beer/birra-maraska/350207/,n/a,Pale Lager
