beer,link,score,style
Cadejo Negra,/beer/cadejo-negra/219586/,3.21,Stout
Cadejo WAPA,/beer/cadejo-wapa/205232/,2.99,American Pale Ale
Cadejo Roja (Red) Ale,/beer/cadejo-roja-red-ale/205231/,2.98,American Pale Ale
Cadejo Suegra IPA,/beer/cadejo-suegra-ipa/526140/,2.96,India Pale Ale (IPA)
Cadejo Mera Belga,/beer/cadejo-mera-belga/259383/,2.92,Witbier
Cadejo Lupe Reyes,/beer/cadejo-lupe-reyes/242930/,2.86,Spice/Herb/Vegetable
Brew Revolution Mercurio IPA,/beer/brew-revolution-mercurio-ipa/176435/,2.86,India Pale Ale (IPA)
Brew Revolution Nyx Black Ale,/beer/brew-revolution-nyx-black-ale/183608/,2.83,Brown Ale
Sivar Brewing Company Premio,/beer/sivar-brewing-company-premio/526141/,2.81,Amber Lager/Vienna
Brew Revolution Maupihaa,/beer/brew-revolution-maupihaa/182915/,2.79,Belgian Ale
Cadejo La Calabaza,/beer/cadejo-la-calabaza/235728/,2.79,Spice/Herb/Vegetable
Caminito Chocos La Rosa,/beer/caminito-chocos-la-rosa/222363/,2.77,Spice/Herb/Vegetable
Brew Revolution Los Titanes Double Chocolate Stout,/beer/brew-revolution-los-titanes-double-chocolate-stout/195748/,2.74,Stout
Cadejo Oktoberfest,/beer/cadejo-oktoberfest/229750/,2.74,Oktoberfest/M�rzen
Suprema Roja,/beer/suprema-roja/159150/,2.74,Amber Lager/Vienna
Cadejo Hija de Pooh,/beer/cadejo-hija-de-pooh/282119/,2.73,Golden Ale/Blond Ale
Brew Revolution Venus Wit,/beer/brew-revolution-venus-wit/176437/,2.71,Witbier
Suprema Negra,/beer/suprema-negra/352906/,2.66,Dunkel/Tmav�
Suprema Royale,/beer/suprema-royale/387820/,2.63,Amber Lager/Vienna
Caminito Chocos Cerveza De La Casa,/beer/caminito-chocos-cerveza-de-la-casa/222360/,2.62,Brown Ale
Brew Revolution La Odisea Salted Lime IPA,/beer/brew-revolution-la-odisea-salted-lime-ipa/184338/,2.57,India Pale Ale (IPA)
Del Mar Light,/beer/del-mar-light/27187/,2.57,Pale Lager
Caminito Chocos Belgian Wit,/beer/caminito-chocos-belgian-wit/233990/,2.50,Witbier
Caminito Chocos German Wheat Beer,/beer/caminito-chocos-german-wheat-beer/250369/,2.48,German Hefeweizen
Caminito Chocos American Brown Ale,/beer/caminito-chocos-american-brown-ale/233989/,2.43,Brown Ale
Suprema Champale,/beer/suprema-champale/113149/,2.42,Malt Liquor
Barrilito (El Salvador),/beer/barrilito-el-salvador/50031/,2.40,Pale Lager
Bahia (El Salvador),/beer/bahia-el-salvador/43450/,2.37,Pale Lager
El Gran Campeon Light,/beer/el-gran-campeon-light/23809/,2.35,Pale Lager
Rialto Special Lager,/beer/rialto-special-lager/47862/,2.34,Pale Lager
Tocayo,/beer/tocayo/76142/,2.32,Pale Lager
Pilsener 100,/beer/pilsener-100/196786/,2.32,Pilsener
Buffalo Beer Jamaican Tropical Ale,/beer/buffalo-beer-jamaican-tropical-ale/269796/,2.31,Fruit Beer
Buffalo Beer German Wheat,/beer/buffalo-beer-german-wheat/269797/,2.31,German Hefeweizen
Buffalo Beer American Brown,/beer/buffalo-beer-american-brown/269800/,2.31,Amber Ale
Pilsener Lite,/beer/pilsener-lite/132183/,2.29,Pale Lager
Rialto Light Lager,/beer/rialto-light-lager/37598/,2.18,Pale Lager
Leyenda Americana,/beer/leyenda-americana/71272/,2.17,Pale Lager
Taurino Maximo,/beer/taurino-maximo/12518/,2.14,Pale Lager
Golden,/beer/golden/132184/,2.14,Pale Lager
San Lucas Special Lager,/beer/san-lucas-special-lager/22886/,1.99,Pale Lager
Caguama Special Export,/beer/caguama-special-export/81161/,1.98,Pale Lager
Suprema,/beer/suprema/3435/,1.97,Pale Lager
Golden Light,/beer/golden-light/49550/,1.97,Pale Lager
Regia Extra,/beer/regia-extra/9177/,1.96,Pale Lager
Caguama Light,/beer/caguama-light/10541/,1.94,Pilsener
Pilsener of El Salvador ,/beer/pilsener-of-el-salvador/3371/,1.93,Pale Lager
El Gran Campeon,/beer/el-gran-campeon/8875/,1.87,Pale Lager
Arriba Light,/beer/arriba-light/36308/,1.84,Pale Lager
San Lucas,/beer/san-lucas/9180/,1.77,Pale Lager
