beer,link,score,style
Old Chimneys Good King Henry Special Reserve,/beer/old-chimneys-good-king-henry-special-reserve/67522/,4.19,Imperial Stout
Shepherd Neame / Stone California Double IPA,/beer/shepherd-neame-stone-california-double-ipa/85733/,4.16,India Pale Ale (IPA)
Cloudwater NW DIPA Citra,/beer/cloudwater-nw-dipa-citra/508820/,4.15,Imperial IPA
Cloudwater DIPA - v13,/beer/cloudwater-dipa-v13/497779/,4.12,Imperial IPA
Cloudwater DIPA - v3,/beer/cloudwater-dipa-v3/409648/,4.11,Imperial IPA
Magic Rock Bourbon Barrel Bearded Lady Dessert Edition,/beer/magic-rock-bourbon-barrel-bearded-lady-dessert-edition/328908/,4.10,Imperial Stout
Siren / Evil Twin Bourbon Barrel Even More Jesus VIII Coffee,/beer/siren-evil-twin-bourbon-barrel-even-more-jesus-viii-coffee/248429/,4.09,Imperial Stout
Buxton / Omnipollo Yellow Belly Sundae,/beer/buxton-omnipollo-yellow-belly-sundae/306806/,4.09,Imperial Stout
Cloudwater Birthday DIPA,/beer/cloudwater-birthday-dipa/487165/,4.08,Imperial IPA
Northern Monk / Wylam I Like To Moob It Moob It,/beer/northern-monk-wylam-i-like-to-moob-it-moob-it/560910/,4.07,Imperial IPA
Buxton Single Barrel Rain Shadow (Bourbon),/beer/buxton-single-barrel-rain-shadow-bourbon/417916/,4.06,Imperial Stout
Cloudwater NW DIPA Citra Amarillo,/beer/cloudwater-nw-dipa-citra-amarillo/537851/,4.04,Imperial IPA
Thornbridge Hall Bracia,/beer/thornbridge-hall-bracia/97342/,4.04,Traditional Ale
Beavertown / Caravan Coffee Spresso 2016 Edition,/beer/beavertown-caravan-coffee-spresso-2016-edition/397770/,4.04,Imperial Stout
Cloudwater DIPA - v11,/beer/cloudwater-dipa-v11/480544/,4.04,Imperial IPA
Fuller's Vintage Ale 1999,/beer/fullers-vintage-ale-1999/1038/,4.03,English Strong Ale
Cloudwater NW DIPA Ekuanot,/beer/cloudwater-nw-dipa-ekuanot/531580/,4.03,Imperial IPA
Cloudwater / The Veil Chubbles,/beer/cloudwater-the-veil-chubbles/545984/,4.02,Imperial IPA
Magic Rock Bourbon Barrel Bearded Lady Hazelnut Dessert Edition ,/beer/magic-rock-bourbon-barrel-bearded-lady-hazelnut-dessert-edition/418137/,4.02,Imperial Stout
Cloudwater DDH IPA Citra ,/beer/cloudwater-ddh-ipa-citra/522951/,4.02,India Pale Ale (IPA)
Cloudwater / Other Half Tremendous Ideas,/beer/cloudwater-other-half-tremendous-ideas/514912/,4.02,Imperial IPA
Cloudwater DIPA - v6,/beer/cloudwater-dipa-v6/441009/,4.01,Imperial IPA
Cloudwater DIPA - v8,/beer/cloudwater-dipa-v8/455619/,4.00,Imperial IPA
Cloudwater DIPA - v10,/beer/cloudwater-dipa-v10/472443/,4.00,Imperial IPA
Cloudwater NE DIPA Citra Mosaic,/beer/cloudwater-ne-dipa-citra-mosaic/512179/,4.00,Imperial IPA
Buxton Rain Shadow 11.8% ABV,/beer/buxton-rain-shadow-118-abv/292078/,3.99,Imperial Stout
The Kernel India Pale Ale Double Citra,/beer/the-kernel-india-pale-ale-double-citra/164717/,3.99,Imperial IPA
Cloudwater Imperial Stout Pedro Ximenez BA ,/beer/cloudwater-imperial-stout-pedro-ximenez-ba/455694/,3.98,Imperial Stout
