beer,link,score,style
Garden Br�u Ebony,/beer/garden-brau-ebony/138060/,2.82,Dunkel/Tmav�
Garden Br�u Blondy,/beer/garden-brau-blondy/138059/,2.77,Dortmunder/Helles
Hakim Stout,/beer/hakim-stout/13725/,2.72,Foreign Stout
St George Amber Beer (Ethiopia),/beer/st-george-amber-beer-ethiopia/231313/,2.70,Amber Lager/Vienna
Raya Beer,/beer/raya-beer/389048/,2.69,Pale Lager
Bedele Beer,/beer/bedele-beer/13427/,2.61,Pale Lager
Walia,/beer/walia/389757/,2.46,Pale Lager
Habesha Cold Gold,/beer/habesha-cold-gold/389049/,2.46,Pale Lager
Harar,/beer/harar/8840/,2.38,Pale Lager
Meta Premium,/beer/meta-premium/120271/,2.27,Premium Lager
Bedele Special Beer,/beer/bedele-special-beer/54516/,2.27,Pale Lager
Meta Beer Export Lager,/beer/meta-beer-export-lager/71125/,2.18,Pale Lager
Castel Beer (Ethiopia),/beer/castel-beer-ethiopia/42896/,2.18,Pale Lager
St. George Beer,/beer/st-george-beer/42895/,2.16,Pale Lager
Dashen Beer,/beer/dashen-beer/99283/,2.07,Pale Lager
Bati Beer,/beer/bati-beer/12969/,2.07,Pale Lager
St. George Panach',/beer/st-george-panach/561459/,n/a,Radler/Shandy
Dashen Beer Unfiltered,/beer/dashen-beer-unfiltered/386342/,n/a,Zwickel/Keller/Landbier
Zemen,/beer/zemen/389046/,n/a,Pale Lager
