beer,link,score,style
Fiji Malt House Premium Lager,/beer/fiji-malt-house-premium-lager/55963/,2.96,Dortmunder/Helles
Fiji Malt House Dons Dark,/beer/fiji-malt-house-dons-dark/55968/,2.88,Porter
Fiji Malt House 7% Lager,/beer/fiji-malt-house-7-lager/55966/,2.88,Imperial Pils/Strong Pale Lager
Fiji Malt House Classic Ale,/beer/fiji-malt-house-classic-ale/55967/,2.81,Amber Ale
Fiji Malt House Pilsener,/beer/fiji-malt-house-pilsener/55965/,2.69,Pilsener
Fiji Draught,/beer/fiji-draught/106599/,2.57,Pale Lager
Vonu Pure Lager,/beer/vonu-pure-lager/117276/,2.53,Premium Lager
Fiji Taki Beer,/beer/fiji-taki-beer/209824/,2.52,Pale Lager
Vonu Eight,/beer/vonu-eight/165355/,2.47,Malt Liquor
Fiji Bitter,/beer/fiji-bitter/13561/,2.12,Pale Lager
Fiji Gold,/beer/fiji-gold/7276/,1.95,Pale Lager
Fiji Premium,/beer/fiji-premium/97580/,1.93,Premium Lager
Fiji Export Bitter,/beer/fiji-export-bitter/7275/,1.76,Pale Lager
