beer,link,score,style
Plevnan Siperia Imperial Stout,/beer/plevnan-siperia-imperial-stout/53188/,3.90,Imperial Stout
Plevnan Siperia Imperial Stout 2010 Hanniku,/beer/plevnan-siperia-imperial-stout-2010-hanniku/124734/,3.88,Imperial Stout
Sinebrychoff Koff Porter,/beer/sinebrychoff-koff-porter/7231/,3.86,Baltic Porter
Pyynikin Bourbon Barrel Aged Imperial Stout,/beer/pyynikin-bourbon-barrel-aged-imperial-stout/485927/,3.85,Imperial Stout
Huvila Pes�puu Stout #1,/beer/huvila-pesapuu-stout-1/92319/,3.76,Imperial Stout
Bryggeri Helsinki Sofia,/beer/bryggeri-helsinki-sofia/371268/,3.75,Imperial Stout
Beer Hunters �k�pukki Imperial Stout 2008 Pori 450 Year Edition,/beer/beer-hunters-akapukki-imperial-stout-2008-pori-450-year-edition/93007/,3.72,Imperial Stout
Beer Hunters Mufloni Imperial Stout,/beer/beer-hunters-mufloni-imperial-stout/389831/,3.71,Imperial Stout
Malmg�rd Barley Wine,/beer/malmgard-barley-wine/313186/,3.70,Barley Wine
Hiisi Iku-Turso Imperial Stout,/beer/hiisi-iku-turso-imperial-stout/296671/,3.70,Imperial Stout
Beer Hunters Mufloni CCCCC,/beer/beer-hunters-mufloni-ccccc/138096/,3.69,India Pale Ale (IPA)
Huvila X-Porter,/beer/huvila-x-porter/515966/,3.68,Baltic Porter
Laitilan Kievari Imperiaali,/beer/laitilan-kievari-imperiaali/118794/,3.68,Imperial Stout
Malmg�rd Oak Porter,/beer/malmgard-oak-porter/200293/,3.67,Porter
Malmg�rd X-Porter (Huvila X-Porter),/beer/malmgard-x-porter-huvila-x-porter/86280/,3.66,Baltic Porter
Beer Hunters Nasty Suicide Imperial Stout,/beer/beer-hunters-nasty-suicide-imperial-stout/147441/,3.65,Imperial Stout
Huvila Pes�puu Stout #2,/beer/huvila-pesapuu-stout-2/100784/,3.65,Imperial Stout
Hiisi Ikiiurso,/beer/hiisi-ikiiurso/460290/,3.65,Imperial Stout
Pyynikin Post Mortem Imperial Stout,/beer/pyynikin-post-mortem-imperial-stout/461298/,3.65,Imperial Stout
Maistila Musta Jaska,/beer/maistila-musta-jaska/406363/,3.64,Imperial Stout
Ruosniemen Vuorineuvos Barrel Edition (Tullibardine barrel),/beer/ruosniemen-vuorineuvos-barrel-edition-tullibardine-barrel/436484/,3.63,Imperial Stout
Vakka-Suomen Prykmestar Savu Kataja,/beer/vakka-suomen-prykmestar-savu-kataja/103498/,3.63,Smoked
Humalove Dakrness Absorbrs,/beer/humalove-dakrness-absorbrs/527325/,3.63,Imperial Stout
Pyynikin Oak Imperial Stout,/beer/pyynikin-oak-imperial-stout/479810/,3.63,Imperial Stout
Plevnan Barley Wine (Sherry Aged),/beer/plevnan-barley-wine-sherry-aged/185992/,3.63,Barley Wine
Sinebrychoff / Brooklyn Two Tree Porter,/beer/sinebrychoff-brooklyn-two-tree-porter/225943/,3.62,Baltic Porter
Plevnan Siperia 100,/beer/plevnan-siperia-100/564777/,3.62,Smoked
Pyynikin Imperial Stout,/beer/pyynikin-imperial-stout/410002/,3.62,Imperial Stout
Hiisi Nikulator,/beer/hiisi-nikulator/417523/,3.62,Doppelbock
Hiisi Pohjoisen J�ttil�inen,/beer/hiisi-pohjoisen-jattilainen/266925/,3.62,Barley Wine
Hollolan Hirvi Kivisahti,/beer/hollolan-hirvi-kivisahti/34201/,3.61,Sahti/Gotlandsdricke/Kodu�lu
Lammin Ruisr��kk� (Barrel Aged),/beer/lammin-ruisraakka-barrel-aged/421527/,3.60,Specialty Grain
Stadin American Imperial Porter,/beer/stadin-american-imperial-porter/308854/,3.60,Imperial Porter
Plevnan Stout,/beer/plevnan-stout/6010/,3.59,Stout
Maistila / Olari Suburbanned Porter,/beer/maistila-olari-suburbanned-porter/499359/,3.59,Imperial Porter
Hiisi Pl�kki,/beer/hiisi-plakki/249627/,3.59,Black IPA
Beer Hunters Mufloni Saison de Randonneur Kataja Edition,/beer/beer-hunters-mufloni-saison-de-randonneur-kataja-edition/201058/,3.59,Saison
Teerenpeli Hullujussi Viskiportteri,/beer/teerenpeli-hullujussi-viskiportteri/117947/,3.59,Porter
The Flying Dutchman Nomad More Complicated Than Your Girlfriend Stout,/beer/the-flying-dutchman-nomad-more-complicated-than-your-girlfriend-stout/393005/,3.58,Stout
Laitilan Imperiaali Bourbon Oak,/beer/laitilan-imperiaali-bourbon-oak/409467/,3.57,Imperial Stout
Stadin Vintage Ale,/beer/stadin-vintage-ale/74167/,3.57,Barley Wine
Hiisi Kuusikko Sahti,/beer/hiisi-kuusikko-sahti/398324/,3.57,Sahti/Gotlandsdricke/Kodu�lu
Stadin Polarisportteri,/beer/stadin-polarisportteri/258904/,3.57,Imperial Porter
Stadin Katariina Imperial Stout,/beer/stadin-katariina-imperial-stout/183939/,3.57,Imperial Stout
Beer Hunters Mufloni Savuportteri,/beer/beer-hunters-mufloni-savuportteri/370459/,3.56,Smoked
Cool Head Brew Summer In Vermont,/beer/cool-head-brew-summer-in-vermont/510473/,3.56,Imperial IPA
Maku Imperial Stout,/beer/maku-imperial-stout/466364/,3.56,Imperial Stout
Hiisi Tynnyriss� kypsynyt Iku-Turso,/beer/hiisi-tynnyrissa-kypsynyt-iku-turso/369684/,3.55,Imperial Stout
Malmg�rd H�ijy Markku,/beer/malmgard-haijy-markku/121119/,3.55,Barley Wine
Bryggeri Helsinki Rum Barrel Aged Barley Wine,/beer/bryggeri-helsinki-rum-barrel-aged-barley-wine/434852/,3.55,Barley Wine
