beer,link,score,style
Number 8 Zulu Ruin IPA,/beer/number-8-zulu-ruin-ipa/567949/,3.06,India Pale Ale (IPA)
Argo Dark,/beer/argo-dark/17692/,3.05,Dunkel/Tmav�
Krik USA India Pale Ale,/beer/krik-usa-india-pale-ale/536397/,3.04,India Pale Ale (IPA)
NaturAle Stout,/beer/naturale-stout/534082/,3.00,Stout
NaturAle Cherry Ale,/beer/naturale-cherry-ale/545377/,3.00,Fruit Beer
Black Lion IPA,/beer/black-lion-ipa/560234/,2.98,India Pale Ale (IPA)
Krik Irish Dry Stout,/beer/krik-irish-dry-stout/536403/,2.98,Dry Stout
Bunt Red Button,/beer/bunt-red-button/483528/,2.98,India Pale Ale (IPA)
NaturAle Pub,/beer/naturale-pub/533640/,2.96,Bitter
Black Lion White,/beer/black-lion-white/527547/,2.91,Premium Lager
Number 8 Flanker's APA,/beer/number-8-flankers-apa/526016/,2.90,American Pale Ale
Krik Golden Ale,/beer/krik-golden-ale/533337/,2.89,Golden Ale/Blond Ale
Krik All Day IPA,/beer/krik-all-day-ipa/536401/,2.89,India Pale Ale (IPA)
Kazbegi Hunter,/beer/kazbegi-hunter/27794/,2.89,Pale Lager
NaturAle APA,/beer/naturale-apa/526056/,2.88,American Pale Ale
Kozlovichi Zolotoe (Gold),/beer/kozlovichi-zolotoe-gold/399693/,2.88,Zwickel/Keller/Landbier
Tower Black,/beer/tower-black/526998/,2.87,Dunkel/Tmav�
Mirzaani Black Beer,/beer/mirzaani-black-beer/218763/,2.86,Schwarzbier
Krik Brown Ale,/beer/krik-brown-ale/533338/,2.85,Brown Ale
Krik Bavarian Wheat,/beer/krik-bavarian-wheat/536402/,2.85,German Hefeweizen
Number 8 English Bitter Ale,/beer/number-8-english-bitter-ale/526028/,2.85,Premium Bitter/ESB
NaturAle IPA,/beer/naturale-ipa/526053/,2.85,India Pale Ale (IPA)
Tower Svetloe,/beer/tower-svetloe/399701/,2.85,Zwickel/Keller/Landbier
Bagrati Svetloe,/beer/bagrati-svetloe/367777/,2.84,Pale Lager
Natakhtari Kub�ček Pivo 12% ,/beer/natakhtari-kuby269ek-pivo-12/80802/,2.84,Czech Pilsner (Světl�)
Lomisi Dsharane,/beer/lomisi-dsharane/80798/,2.84,Pale Lager
Castel Zolotoe Pivo ,/beer/castel-zolotoe-pivo/38557/,2.84,Imperial Pils/Strong Pale Lager
MacLaren's Lager,/beer/maclarens-lager/533207/,2.83,Pale Lager
NaturAle Lager,/beer/naturale-lager/533301/,2.83,Premium Lager
Krik Black Sour,/beer/krik-black-sour/536408/,2.83,Sour/Wild Ale
Creator Bar White,/beer/creator-bar-white/537228/,2.83,Premium Lager
Krik American Pale Ale,/beer/krik-american-pale-ale/536399/,2.83,American Pale Ale
Ananuri White Filtered,/beer/ananuri-white-filtered/566068/,2.83,Pale Lager
Mirzaani Smoked Beer,/beer/mirzaani-smoked-beer/218762/,2.81,Smoked
Lomisi Dobře,/beer/lomisi-dob345e/80875/,2.81,Czech Pilsner (Světl�)
Mirzaani Barley Lager,/beer/mirzaani-barley-lager/215465/,2.80,Pale Lager
Mirzaani Wheat Beer,/beer/mirzaani-wheat-beer/218500/,2.77,German Hefeweizen
Kaiser Weissbier (Georgia),/beer/kaiser-weissbier-georgia/289187/,2.77,German Hefeweizen
Mirzaani Black Lion,/beer/mirzaani-black-lion/483223/,2.75,Pale Lager
Natakhtari Unfiltered,/beer/natakhtari-unfiltered/220123/,2.74,Pale Lager
Kazbegi Porter,/beer/kazbegi-porter/27790/,2.72,Porter
Natakhari 34,/beer/natakhari-34/355086/,2.71,Pilsener
Zedazeni Legion,/beer/zedazeni-legion/526861/,2.68,Pale Lager
Number 8 American Blonde Ale,/beer/number-8-american-blonde-ale/525691/,2.67,Golden Ale/Blond Ale
Lomisi Harale,/beer/lomisi-harale/80876/,2.66,Pale Lager
Argo Export (4.8%),/beer/argo-export-48/327782/,2.66,Pale Lager
Belgium Standard Pale Lager,/beer/belgium-standard-pale-lager/527017/,2.66,Pale Lager
Castel 15,/beer/castel-15/220129/,2.66,Pale Lager
Kazbegi Dariali,/beer/kazbegi-dariali/220121/,2.66,Pale Lager
Batumi Batumuri,/beer/batumi-batumuri/527287/,2.65,Pale Lager
