beer,link,score,style
Freigeist / h.ertie Eszett Geuze,/beer/freigeist-hertie-eszett-geuze/175540/,4.09,Lambic Style - Gueuze
Ayinger Celebrator Doppelbock,/beer/ayinger-celebrator-doppelbock/1090/,4.03,Doppelbock
Schneider Weisse Aventinus,/beer/schneider-weisse-aventinus/2224/,3.99,Weizen Bock
Freigeist / h.ertie Lambik Ohrwal,/beer/freigeist-hertie-lambik-ohrwal/274183/,3.91,Sour/Wild Ale
Sch�nramer Barrel Aged Imperial Stout - Kentucky Bourbon,/beer/schonramer-barrel-aged-imperial-stout-kentucky-bourbon/313039/,3.90,Imperial Stout
Aecht Schlenkerla Fastenbier,/beer/aecht-schlenkerla-fastenbier/43277/,3.88,Smoked
Schneider Aventinus Weizen-Eisbock,/beer/schneider-aventinus-weizen-eisbock/10514/,3.88,Eisbock
G�nstaller Br�u Affumicator,/beer/ganstaller-brau-affumicator/106788/,3.87,Smoked
Aecht Schlenkerla Rauchbier Urbock,/beer/aecht-schlenkerla-rauchbier-urbock/6349/,3.87,Smoked
Aecht Schlenkerla Eiche Doppelbock,/beer/aecht-schlenkerla-eiche-doppelbock/110514/,3.84,Smoked
Andechser Doppelbock Dunkel,/beer/andechser-doppelbock-dunkel/1147/,3.83,Doppelbock
Seinsheimer Dunkles Kellerbier,/beer/seinsheimer-dunkles-kellerbier/45862/,3.83,Zwickel/Keller/Landbier
Weihenstephaner Hefeweissbier,/beer/weihenstephaner-hefeweissbier/1156/,3.82,German Hefeweizen
Sch�nramer Barrel Aged Imperial Stout - Fino Sherry,/beer/schonramer-barrel-aged-imperial-stout-fino-sherry/313044/,3.82,Imperial Stout
G�nstaller Br�u Green Gold IPA (104 Germany Meets USA),/beer/ganstaller-brau-green-gold-ipa-104-germany-meets-usa/178002/,3.81,India Style Lager
Weltenburger Kloster Asam Bock,/beer/weltenburger-kloster-asam-bock/4025/,3.80,Doppelbock
Schneider Weisse Tap 5 Meine Hopfen-Weisse,/beer/schneider-weisse-tap-5-meine-hopfen-weisse/75466/,3.80,Weizen Bock
Kulmbacher Eisbock,/beer/kulmbacher-eisbock/14367/,3.80,Eisbock
Celery Beer,/beer/celery-beer/51923/,3.79,Spice/Herb/Vegetable
Seinsheimer Sasemer Danzbier Hell,/beer/seinsheimer-sasemer-danzbier-hell/203926/,3.77,Zwickel/Keller/Landbier
Hacker-Pschorr Weisse Bock,/beer/hacker-pschorr-weisse-bock/5534/,3.77,Weizen Bock
Weihenstephaner Korbinian,/beer/weihenstephaner-korbinian/7823/,3.77,Doppelbock
BrauKunstKeller Imperial Stout Single Barrel Aged - Rum,/beer/braukunstkeller-imperial-stout-single-barrel-aged-rum/304001/,3.76,Imperial Stout
Weihenstephaner Vitus,/beer/weihenstephaner-vitus/70791/,3.76,Weizen Bock
Uerige Doppel Sticke,/beer/uerige-doppel-sticke/46158/,3.76,Altbier
Freigeist / Oxbow / Pizza Port Poltergeist,/beer/freigeist-oxbow-pizza-port-poltergeist/399506/,3.76,Foreign Stout
G�nstaller Br�u ROCKS Steinbeir Mk.2,/beer/ganstaller-brau-rocks-steinbeir-mk2/232309/,3.76,Traditional Ale
Stone (Berlin) Collab 01/14 / Maui Aloha Imperial Coconut Porter,/beer/stone-berlin-collab-01-14-maui-aloha-imperial-coconut-porter/452442/,3.75,Imperial Porter
G�nstaller Br�u Schwarze 90,/beer/ganstaller-brau-schwarze-90/424576/,3.75,Imperial Stout
Ayinger Weizen-Bock,/beer/ayinger-weizen-bock/56837/,3.75,Weizen Bock
BrauKunstKeller Imperial Stout Single Barrel Aged - Bordeaux,/beer/braukunstkeller-imperial-stout-single-barrel-aged-bordeaux/304003/,3.74,Imperial Stout
Witzgall Landbier,/beer/witzgall-landbier/59535/,3.74,Zwickel/Keller/Landbier
Hoppebr�u Slyrs,/beer/hoppebrau-slyrs/467155/,3.73,Imperial Stout
Camba Bavaria Black Shark,/beer/camba-bavaria-black-shark/330391/,3.73,Black IPA
CREW Republic Roundhouse Kick,/beer/crew-republic-roundhouse-kick/204590/,3.73,Imperial Stout
Schneider Weisse Tap X Mathilda Soleil,/beer/schneider-weisse-tap-x-mathilda-soleil/319360/,3.72,Weizen Bock
Sch�nramer Barrel Aged Imperial Stout - Ruby Port,/beer/schonramer-barrel-aged-imperial-stout-ruby-port/313043/,3.72,Imperial Stout
Schneider Weisse Tap X Mein Cuv�e Barrique,/beer/schneider-weisse-tap-x-mein-cuvee-barrique/180392/,3.72,Weizen Bock
CREW Republic X 3.0 Sour Black,/beer/crew-republic-x-30-sour-black/272071/,3.71,Sour/Wild Ale
Stone (Berlin) Collab 03/14 / BrewDog Super Bashah,/beer/stone-berlin-collab-03-14-brewdog-super-bashah/485975/,3.71,Black IPA
Schneider Weisse Tap X Mein Nelson Sauvin,/beer/schneider-weisse-tap-x-mein-nelson-sauvin/148420/,3.71,Weizen Bock
Kehrwieder SHIPA 2015 Mosaic,/beer/kehrwieder-shipa-2015-mosaic/356518/,3.71,India Pale Ale (IPA)
Ettaler Curator Doppelbock,/beer/ettaler-curator-doppelbock/10585/,3.70,Doppelbock
Kehrwieder Weltmeister Weisse - Framboise 2014,/beer/kehrwieder-weltmeister-weisse-framboise-2014/266132/,3.70,Berliner Weisse
Schumacher 1838er,/beer/schumacher-1838er/211568/,3.70,Altbier
G�nstaller Br�u / N�rke / De Molen B&H; MeGa Schwarzer Bock,/beer/ganstaller-brau-narke-de-molen-bh-mega-schwarzer-bock/198377/,3.70,Baltic Porter
Mosterei Reusch Eismost,/beer/mosterei-reusch-eismost/323505/,3.69,Ice Cider/Ice Perry
Hanscraft & Co. Backbone Splitter,/beer/hanscraft-co-backbone-splitter/279651/,3.69,India Pale Ale (IPA)
Ayinger Br�u-Weisse,/beer/ayinger-brau-weisse/2716/,3.69,German Hefeweizen
Rupp-Br�u Dunkler Doppelbock,/beer/rupp-brau-dunkler-doppelbock/42972/,3.69,Doppelbock
