beer,link,score,style
Guinness Foreign Extra Stout (Ghana),/beer/guinness-foreign-extra-stout-ghana/102959/,2.92,Foreign Stout
Guinness Africa Special,/beer/guinness-africa-special/464732/,2.89,Sweet Stout
Guinness Extra Smooth Stout (Ghana),/beer/guinness-extra-smooth-stout-ghana/38105/,2.65,Foreign Stout
Club Gold Export Lager,/beer/club-gold-export-lager/123828/,2.49,Pale Lager
Accra Chairman,/beer/accra-chairman/120904/,2.46,Spice/Herb/Vegetable
Gold Arrow Premium Lager,/beer/gold-arrow-premium-lager/86296/,2.35,Pale Lager
ABC Golden Lager,/beer/abc-golden-lager/14080/,2.26,Pale Lager
Gulder Lager (Ghana),/beer/gulder-lager-ghana/17980/,2.03,Pale Lager
Accra Club Shandy,/beer/accra-club-shandy/120902/,1.99,Radler/Shandy
Stone Strong Lager,/beer/stone-strong-lager/86258/,1.95,Pale Lager
Club Premium Lager (Ghana),/beer/club-premium-lager-ghana/14079/,1.85,Pale Lager
Star Lager (Ghana),/beer/star-lager-ghana/35467/,1.77,Pale Lager
Inland Pito,/beer/inland-pito/435796/,n/a,Traditional Ale
Inland Sorghum Lager Beer,/beer/inland-sorghum-lager-beer/435795/,n/a,Specialty Grain
