beer,link,score,style
Seven Island Brewery Citra Blast IPA,/beer/seven-island-brewery-citra-blast-ipa/560759/,4.09,India Pale Ale (IPA)
Satyr Brews Menace IPA,/beer/satyr-brews-menace-ipa/460001/,3.99,India Pale Ale (IPA)
Satyr Brews x Vodka Juniors Pubriot IPA,/beer/satyr-brews-x-vodka-juniors-pubriot-ipa/491758/,3.84,India Pale Ale (IPA)
Satyr Brews Menace IPA (v1),/beer/satyr-brews-menace-ipa-v1/411036/,3.82,India Pale Ale (IPA)
Seven Island Brewery / Epirus Brewery Seven Drops Saison,/beer/seven-island-brewery-epirus-brewery-seven-drops-saison/514292/,3.79,Saison
Dark Crops India Pale Ale,/beer/dark-crops-india-pale-ale/456719/,3.77,India Pale Ale (IPA)
Solo Skotidi [Το σκοτιδι],/beer/solo-skotidi-932959-963954959964953948953/401860/,3.74,Imperial Stout
Septem A.C.E.,/beer/septem-ace/206846/,3.68,Imperial IPA
Chaos Charma (Χαρμα) IPA,/beer/chaos-charma-935945961956945-ipa/470774/,3.67,India Pale Ale (IPA)
Noctua Night Vision Black IPA,/beer/noctua-night-vision-black-ipa/454155/,3.62,Black IPA
Solo Askianos [Ο ασκιανος],/beer/solo-askianos-927-945963954953945957959962/402238/,3.61,Porter
Solo Protagonist,/beer/solo-protagonist/487021/,3.61,Imperial Stout
Solo Fouriaris [Φουριαρης],/beer/solo-fouriaris-934959965961953945961951962/401379/,3.59,Imperial IPA
Septem 8th Day [8η μερα],/beer/septem-8th-day-8951-956949961945/314274/,3.59,India Pale Ale (IPA)
Septem Citra Single Hop IPA,/beer/septem-citra-single-hop-ipa/237698/,3.55,India Pale Ale (IPA)
Septem Wet Hop,/beer/septem-wet-hop/297184/,3.53,American Pale Ale
Santorini Crazy Donkey Cascade (Unfiltered) ,/beer/santorini-crazy-donkey-cascade-unfiltered/166618/,3.52,India Pale Ale (IPA)
"Dark Crops, Darkness Descends",/beer/dark-crops-darkness-descends/484566/,3.52,Stout
Chios Beer Smoked Robust Porter,/beer/chios-beer-smoked-robust-porter/240213/,3.51,Smoked
Flaros IPA,/beer/flaros-ipa/553729/,3.51,India Pale Ale (IPA)
Flaros Session Ale,/beer/flaros-session-ale/492884/,3.50,American Pale Ale
Strange Brew Uncle Jam's Tale #1 Double IPA,/beer/strange-brew-uncle-jams-tale-1-double-ipa/551533/,3.49,Imperial IPA
Voreia Stout Beer,/beer/voreia-stout-beer/303919/,3.47,Stout
Strange Brew Jasmine IPA,/beer/strange-brew-jasmine-ipa/511960/,3.44,India Pale Ale (IPA)
Santorini Crazy Donkey,/beer/santorini-crazy-donkey/161124/,3.44,India Pale Ale (IPA)
Septem Lava,/beer/septem-lava/367984/,3.44,Imperial IPA
Voreia Smoked Amber Ale,/beer/voreia-smoked-amber-ale/416355/,3.44,Smoked
Ora Stout,/beer/ora-stout/401601/,3.43,Stout
Solo / Satyr Brews Dini [Δίνη],/beer/solo-satyr-brews-dini-916943957951/502025/,3.43,India Pale Ale (IPA)
Septem Wednesday Wheat IPA (W-Day),/beer/septem-wednesday-wheat-ipa-w-day/424976/,3.41,India Pale Ale (IPA)
Solo Ηoriatiki [Χωριατικη],/beer/solo-919oriatiki-935969961953945964953954951/402237/,3.41,Saison
Septem Winterdays Seasonal Porter,/beer/septem-winterdays-seasonal-porter/162604/,3.40,Porter
Septem Friday's Pale Ale,/beer/septem-fridays-pale-ale/109723/,3.38,American Pale Ale
Solo / Wuhan No.18 Meso?e?o? Tiao Dong Hu Cretan IPA,/beer/solo-wuhan-no18-meso?e?o?-tiao-dong-hu-cretan-ipa/505415/,3.37,India Pale Ale (IPA)
Solo Psaki [Ψακι],/beer/solo-psaki-936945954953/400176/,3.37,India Pale Ale (IPA)
Septem Galaxy Single Hop IPA,/beer/septem-galaxy-single-hop-ipa/341108/,3.36,India Pale Ale (IPA)
Septem Sunday's Honey Golden Ale,/beer/septem-sundays-honey-golden-ale/124628/,3.36,Golden Ale/Blond Ale
Sknipa PRIME BATCH,/beer/sknipa-prime-batch/520933/,3.34,India Pale Ale (IPA)
Ora India Pale Ale (IPA),/beer/ora-india-pale-ale-ipa/401600/,3.34,India Pale Ale (IPA)
Sknipa Strong Ale,/beer/sknipa-strong-ale/391530/,3.33,American Strong Ale 
Ali (Αλη) Stout,/beer/ali-913955951-stout/479974/,3.33,Stout
Sknipa bold,/beer/sknipa-bold/475294/,3.32,Session IPA
Solo Americana [Αμερικανα],/beer/solo-americana-913956949961953954945957945/401974/,3.31,American Pale Ale
Charma (Χαρμα) Dunkel,/beer/charma-935945961956945-dunkel/109115/,3.31,Dunkel/Tmav�
Charma (Χαρμα) Pale Lager,/beer/charma-935945961956945-pale-lager/358023/,3.31,Pale Lager
Satyr Brews Nyx Dry Stout,/beer/satyr-brews-nyx-dry-stout/473879/,3.31,Dry Stout
Dark Crops American Pale Ale,/beer/dark-crops-american-pale-ale/442653/,3.30,American Pale Ale
Solo Hoppy Summer,/beer/solo-hoppy-summer/424724/,3.30,Session IPA
"Dark Crops, Feel Like... More!",/beer/dark-crops-feel-like-more/534446/,3.30,American Pale Ale
Zeos Pilsner (Unpasteurized),/beer/zeos-pilsner-unpasteurized/60824/,3.29,Zwickel/Keller/Landbier
