beer,link,score,style
Greenland Easter Bock,/beer/greenland-easter-bock/69987/,3.12,Weizen Bock
Greenland Northern Light,/beer/greenland-northern-light/73105/,3.11,American Strong Ale 
Qajaq Kolsch,/beer/qajaq-kolsch/516773/,3.09,K�lsch
Greenland Iced Flower,/beer/greenland-iced-flower/99246/,3.09,American Pale Ale
Godthaab Coco Porter,/beer/godthaab-coco-porter/478827/,3.07,Porter
Greenland Arctic Ale,/beer/greenland-arctic-ale/73089/,3.06,Barley Wine
Immiaq Vllorissat Black Crowberry,/beer/immiaq-vllorissat-black-crowberry/366287/,3.02,Fruit Beer
Greenland Christmas Ale,/beer/greenland-christmas-ale/66003/,3.00,Belgian Ale
Icefiord Angelica Ale,/beer/icefiord-angelica-ale/74501/,2.96,Spice/Herb/Vegetable
Qajaq Classic,/beer/qajaq-classic/518248/,2.96,Premium Lager
Nanoq Polaris Julebryg,/beer/nanoq-polaris-julebryg/143178/,2.94,English Strong Ale
Godthaab Irish Porter,/beer/godthaab-irish-porter/129739/,2.91,Dry Stout
Godthaab M�rzen,/beer/godthaab-marzen/165676/,2.90,Oktoberfest/M�rzen
69�N Isfjord Brown Ale,/beer/69n-isfjord-brown-ale/422191/,2.89,Brown Ale
Godthaab Pilsner (Immiaaraq),/beer/godthaab-pilsner-immiaaraq/69639/,2.89,Pilsener
Icefiord Cloudberry Ale,/beer/icefiord-cloudberry-ale/74500/,2.88,Fruit Beer
Godthaab Crowberry,/beer/godthaab-crowberry/183573/,2.88,Stout
Qajaq Weiss,/beer/qajaq-weiss/548507/,2.87,German Hefeweizen
Greenland Mountain Ale,/beer/greenland-mountain-ale/90039/,2.86,Brown Ale
Godthaab Eric the Red,/beer/godthaab-eric-the-red/131800/,2.86,Traditional Ale
Godthaab Amaroq,/beer/godthaab-amaroq/170052/,2.86,Premium Lager
Qajaq Dopplebock,/beer/qajaq-dopplebock/516778/,2.85,Doppelbock
Nanoq Mammut Pale Ale,/beer/nanoq-mammut-pale-ale/150488/,2.85,English Strong Ale
Immiaq Qaammat Classic,/beer/immiaq-qaammat-classic/366285/,2.83,Pilsener
Godthaab Kapisilik,/beer/godthaab-kapisilik/183566/,2.81,Golden Ale/Blond Ale
Godthaab Julebryg,/beer/godthaab-julebryg/137181/,2.80,Belgian Ale
Godthaab Ferdinand,/beer/godthaab-ferdinand/183569/,2.80,Amber Ale
Godthaab Moskus (Um�mak B�ja),/beer/godthaab-moskus-umymak-baja/90040/,2.77,Golden Ale/Blond Ale
Nanoq Sedna Brown Ale,/beer/nanoq-sedna-brown-ale/143177/,2.76,Brown Ale
Godthaab Qimuttoq,/beer/godthaab-qimuttoq/232874/,2.73,Amber Lager/Vienna
69�N Isfjord Dark Lager,/beer/69n-isfjord-dark-lager/298931/,2.73,Amber Lager/Vienna
Godthaab Classic,/beer/godthaab-classic/69640/,2.67,Amber Lager/Vienna
69�N Isfjord Hvede�l,/beer/69n-isfjord-hvedeol/339789/,2.66,Wheat Ale
Gr�nland Ice Cap Beer Ice Fjord Lager,/beer/gronland-ice-cap-beer-ice-fjord-lager/131327/,2.65,Spice/Herb/Vegetable
Gr�nland Ice Cap Beer Jule�l (Christmas Brew),/beer/gronland-ice-cap-beer-juleol-christmas-brew/95385/,2.62,Dunkler Bock
69�N Isfjord Classic,/beer/69n-isfjord-classic/298932/,2.56,Amber Lager/Vienna
Nanoq Nanook Pilsner,/beer/nanoq-nanook-pilsner/143176/,2.56,Pilsener
Gr�nland Ice Cap Beer Dark Lager,/beer/gronland-ice-cap-beer-dark-lager/91866/,2.53,Amber Lager/Vienna
Gr�nland Ice Cap Beer Amber Lager,/beer/gronland-ice-cap-beer-amber-lager/91864/,2.46,Amber Lager/Vienna
Greenland Cave Beer,/beer/greenland-cave-beer/90038/,2.44,Premium Lager
Godthaab Classic Unplugged,/beer/godthaab-classic-unplugged/85400/,n/a,Amber Ale
Godthaab Det Sorte F�r,/beer/godthaab-det-sorte-far/137180/,n/a,Amber Lager/Vienna
Godthaab Greenland Pale Ale,/beer/godthaab-greenland-pale-ale/137182/,n/a,American Pale Ale
Godthaab Hvalros (Aaveq),/beer/godthaab-hvalros-aaveq/165679/,n/a,Amber Lager/Vienna
Godthaab Ravn (Tulagaq),/beer/godthaab-ravn-tulagaq/165677/,n/a,Stout
Godthaab Scottish Ale,/beer/godthaab-scottish-ale/137184/,n/a,Scottish Ale
Godthaab Snowfox,/beer/godthaab-snowfox/165680/,n/a,Czech Pilsner (Světl�)
Godthaab St Patrick's Day,/beer/godthaab-st-patricks-day/170053/,n/a,Irish Ale
Godthaab M�nchner Dunkel,/beer/godthaab-munchner-dunkel/165682/,n/a,Dunkel/Tmav�
Godthaab Nordlys (Arsarnerit),/beer/godthaab-nordlys-arsarnerit/165681/,n/a,Witbier
