beer,link,score,style
West Indies Windward IPA,/beer/west-indies-windward-ipa/281621/,3.18,India Pale Ale (IPA)
West Indies Lazy Pelican Summer Ale,/beer/west-indies-lazy-pelican-summer-ale/281616/,3.17,Amber Ale
West Indies Old Mongoose Porter,/beer/west-indies-old-mongoose-porter/281619/,3.16,Porter
West Indies Drunken Coat,/beer/west-indies-drunken-coat/480288/,3.15,Wheat Ale
West Indies Bucaneer,/beer/west-indies-bucaneer/480292/,3.13,Belgian Ale
West Indies Humdinger,/beer/west-indies-humdinger/480285/,3.11,Pale Lager
West Indies Dockside ESB,/beer/west-indies-dockside-esb/281622/,3.04,Premium Bitter/ESB
West Indies Black Rock IPA,/beer/west-indies-black-rock-ipa/480280/,2.96,Black IPA
West Indies Rogue Pirate IPA,/beer/west-indies-rogue-pirate-ipa/281625/,2.96,India Pale Ale (IPA)
West Indies Hawk Tripel,/beer/west-indies-hawk-tripel/477234/,2.73,Abbey Tripel
West Indies Dodgy Dark Ale,/beer/west-indies-dodgy-dark-ale/281618/,n/a,Stout
Carib Lager (Grenada),/beer/carib-lager-grenada/387787/,n/a,Pale Lager
Stag Lager Beer (Grenada),/beer/stag-lager-beer-grenada/281890/,n/a,Premium Lager
West Indies Sundown Cider,/beer/west-indies-sundown-cider/281624/,n/a,Cider
