beer,link,score,style
Great Deep Oatmeal Stout,/beer/great-deep-oatmeal-stout/38228/,3.37,Sweet Stout
Ishii Minagof Green Tea IPA,/beer/ishii-minagof-green-tea-ipa/401831/,3.34,India Pale Ale (IPA)
Ishii Minagof White IPA,/beer/ishii-minagof-white-ipa/564031/,3.32,Session IPA
The Great Deep Passion Fruit Wheat Ale,/beer/the-great-deep-passion-fruit-wheat-ale/564471/,3.28,Wheat Ale
Ishii Minagof Smoked Porter,/beer/ishii-minagof-smoked-porter/564034/,3.25,Smoked
Great Deep Sirena Pale Ale,/beer/great-deep-sirena-pale-ale/16323/,3.12,American Pale Ale
Ishii Minagof India Pale Ale,/beer/ishii-minagof-india-pale-ale/161078/,3.12,India Pale Ale (IPA)
Great Deep Maga'lahi Oatmeal Stout,/beer/great-deep-magalahi-oatmeal-stout/16325/,3.09,Dry Stout
Great Deep Manhita Scottish Ale,/beer/great-deep-manhita-scottish-ale/16066/,3.08,Scottish Ale
Great Deep Oktoberfest,/beer/great-deep-oktoberfest/39361/,3.05,Oktoberfest/M�rzen
Great Deep Che'lu Honey Rye Brown Ale,/beer/great-deep-chelu-honey-rye-brown-ale/39360/,3.03,Brown Ale
Great Deep Man'hita India Pale Ale,/beer/great-deep-manhita-india-pale-ale/97625/,3.01,India Pale Ale (IPA)
Great Deep Dos Amantes Irish Red Ale,/beer/great-deep-dos-amantes-irish-red-ale/16324/,2.99,Irish Ale
Ishii Minagof Pale Ale,/beer/ishii-minagof-pale-ale/132411/,2.97,American Pale Ale
Great Deep Classic American Pilzen,/beer/great-deep-classic-american-pilzen/258736/,2.95,Specialty Grain
Great Deep Vanilla Porter,/beer/great-deep-vanilla-porter/117770/,2.95,Porter
Great Deep Imperial IPA,/beer/great-deep-imperial-ipa/97624/,2.93,Imperial IPA
Great Deep Saison de Ron,/beer/great-deep-saison-de-ron/118098/,2.88,Saison
Great Deep Winter Ale,/beer/great-deep-winter-ale/137815/,2.86,English Strong Ale
Great Deep Knapstein Pilzen Ale,/beer/great-deep-knapstein-pilzen-ale/16322/,2.80,Golden Ale/Blond Ale
Great Deep Belgian Tripel,/beer/great-deep-belgian-tripel/83131/,2.20,Abbey Tripel
