beer,link,score,style
Utz Pin Pin Caf�,/beer/utz-pin-pin-cafe/377950/,3.05,Spice/Herb/Vegetable
Antigua Brewing Company Fuego Ipa,/beer/antigua-brewing-company-fuego-ipa/511931/,3.02,India Pale Ale (IPA)
Antigua Brewing company Coffee Stout,/beer/antigua-brewing-company-coffee-stout/511932/,3.00,Stout
Utz Pin Pin Chocolate,/beer/utz-pin-pin-chocolate/377951/,2.97,Spice/Herb/Vegetable
El G�in IPA,/beer/el-guin-ipa/524815/,2.94,India Pale Ale (IPA)
Antigua Brewing company Imperial Stout,/beer/antigua-brewing-company-imperial-stout/511771/,2.94,Imperial Stout
Utz Pin Pin Especias,/beer/utz-pin-pin-especias/377949/,2.91,Spice/Herb/Vegetable
Antigua Brewing Company Citra Session,/beer/antigua-brewing-company-citra-session/511761/,2.89,Session IPA
Gallo Dark Lager,/beer/gallo-dark-lager/251302/,2.84,Dunkel/Tmav�
Gallo Ice,/beer/gallo-ice/72128/,2.82,Pale Lager
Monte Carlo Bock,/beer/monte-carlo-bock/223728/,2.78,Dunkler Bock
Dorada Premium,/beer/dorada-premium/398542/,2.75,Pale Lager
Gallo Red Lager,/beer/gallo-red-lager/251293/,2.74,Amber Lager/Vienna
Dorada Azul Especial,/beer/dorada-azul-especial/175489/,2.71,Pale Lager
Dorado Oro Especial,/beer/dorado-oro-especial/175978/,2.70,Pale Lager
Moza Bock,/beer/moza-bock/6975/,2.63,Dunkler Bock
Brahva Gold,/beer/brahva-gold/316410/,2.63,Pale Lager
Del Cabo,/beer/del-cabo/213076/,2.62,Pale Lager
Cerveza Navide�a,/beer/cerveza-navidena/44625/,2.61,Pale Lager
Furo Toro,/beer/furo-toro/276307/,2.59,Pale Lager
Lupita ,/beer/lupita/39334/,2.57,Pale Lager
Dorada Ice Limon,/beer/dorada-ice-limon/279372/,2.55,Pale Lager
Tikal Light,/beer/tikal-light/176843/,2.54,Pale Lager
Dorada Negra Especial,/beer/dorada-negra-especial/175504/,2.53,Amber Lager/Vienna
Cerveza Sol Tres XXX,/beer/cerveza-sol-tres-xxx/316399/,2.49,American Pale Ale
Brahva Light,/beer/brahva-light/136343/,2.49,Pale Lager
Moza Gold,/beer/moza-gold/137406/,2.48,Pale Lager
Social Light,/beer/social-light/337169/,2.47,Pale Lager
Stats,/beer/stats/101943/,2.43,Fruit Beer
Cabro Reserva,/beer/cabro-reserva/281408/,2.39,Pale Lager
Lupita Durango,/beer/lupita-durango/38190/,2.32,Pale Lager
Dorada Draft High Gravity,/beer/dorada-draft-high-gravity/254908/,2.27,Premium Lager
Cabro Extra,/beer/cabro-extra/180646/,2.26,Pale Lager
Gallo Dark,/beer/gallo-dark/75216/,2.22,Schwarzbier
Dorada Michelado,/beer/dorada-michelado/72492/,2.20,Pilsener
Cerveza Monterrey Light,/beer/cerveza-monterrey-light/47967/,2.19,Pale Lager
Cerveza Victoria (Guatemala),/beer/cerveza-victoria-guatemala/42628/,2.16,Pale Lager
Monte Carlo Bajo Cero,/beer/monte-carlo-bajo-cero/256638/,2.15,Pale Lager
Cerveza Social,/beer/cerveza-social/176850/,2.14,Pale Lager
Playa De La Cruz,/beer/playa-de-la-cruz/153868/,2.13,Pale Lager
Rio Claro Premium Lager,/beer/rio-claro-premium-lager/8554/,2.10,Pale Lager
Dorada Draft Michelada Marinero,/beer/dorada-draft-michelada-marinero/285811/,2.09,Spice/Herb/Vegetable
Brahva Beats,/beer/brahva-beats/67610/,2.09,Pilsener
Dorada Mix,/beer/dorada-mix/58100/,2.09,Pale Lager
Extra de Brahva,/beer/extra-de-brahva/79380/,2.05,Pale Lager
El Loco Cerveza Especial,/beer/el-loco-cerveza-especial/167598/,2.00,Pale Lager
Dorada Ice,/beer/dorada-ice/42626/,2.00,Pale Lager
Mariachi (Guatemala),/beer/mariachi-guatemala/159444/,1.99,Pale Lager
Cabro,/beer/cabro/12880/,1.96,Pale Lager
Nautica Especial,/beer/nautica-especial/16572/,1.94,Pale Lager
