beer,link,score,style
Rocquette Draft Cider (Draught),/beer/rocquette-draft-cider-draught/278598/,3.32,Cider
White Rock Wonkey Donkey,/beer/white-rock-wonkey-donkey/280724/,3.27,Premium Bitter/ESB
White Rock Pushang,/beer/white-rock-pushang/280726/,3.22,Golden Ale/Blond Ale
Rocquette XC Exceptional Cider (Bottle),/beer/rocquette-xc-exceptional-cider-bottle/278597/,3.18,Cider
Randalls Guilty ,/beer/randalls-guilty/46959/,3.14,Stout
Rocquette Fauxquets Valley Cider,/beer/rocquette-fauxquets-valley-cider/362996/,3.09,Cider
White Rock Pa's Stout,/beer/white-rock-pas-stout/510772/,3.07,Stout
Randalls Cream Stout,/beer/randalls-cream-stout/30105/,3.05,Sweet Stout
Randalls Cynful (Cask),/beer/randalls-cynful-cask/47567/,3.05,Mild Ale
Randalls Monty's 65,/beer/randalls-montys-65/135477/,3.04,Bitter
Randalls Collymochon,/beer/randalls-collymochon/363005/,3.02,Bitter
Randalls Mild,/beer/randalls-mild/30102/,3.02,Mild Ale
Rocquette Traditional Cider (Bottle),/beer/rocquette-traditional-cider-bottle/76028/,3.01,Cider
Randalls Envy,/beer/randalls-envy/47495/,3.01,Premium Bitter/ESB
Randalls Original VB Best Mild,/beer/randalls-original-vb-best-mild/135480/,3.00,Mild Ale
Randalls Patois (Bottle),/beer/randalls-patois-bottle/282285/,2.99,Premium Bitter/ESB
White Rock Project X,/beer/white-rock-project-x/510776/,2.99,Session IPA
White Rock Witch Hunter,/beer/white-rock-witch-hunter/514266/,2.98,Irish Ale
Isle of Sark 1516 Settlers,/beer/isle-of-sark-1516-settlers/490537/,2.98,Golden Ale/Blond Ale
Randalls Wycked,/beer/randalls-wycked/49752/,2.97,Bitter
Randalls Hanois Island Stout,/beer/randalls-hanois-island-stout/280803/,2.97,Dry Stout
Rocquette Scallywag Cider (Draught),/beer/rocquette-scallywag-cider-draught/281077/,2.95,Cider
Randalls Patois (Cask),/beer/randalls-patois-cask/30104/,2.95,Premium Bitter/ESB
Randalls HMS Bulldog Ale,/beer/randalls-hms-bulldog-ale/338304/,2.94,Golden Ale/Blond Ale
Liberation Bailiwick Best,/beer/liberation-bailiwick-best/126644/,2.90,Bitter
Rocquette Bec Du Nez Cider (Draught),/beer/rocquette-bec-du-nez-cider-draught/281039/,2.83,Cider
Randalls Reunion,/beer/randalls-reunion/303034/,2.81,Bitter
Randalls Premium Bitter,/beer/randalls-premium-bitter/281245/,2.77,Premium Bitter/ESB
Randalls Golden Guernsey,/beer/randalls-golden-guernsey/278846/,2.75,Golden Ale/Blond Ale
Randalls Cynful ,/beer/randalls-cynful/37958/,2.75,Mild Ale
Randalls Sipping Bull,/beer/randalls-sipping-bull/34685/,2.70,Bitter
Randalls Clameur de Haro,/beer/randalls-clameur-de-haro/13175/,2.56,Mild Ale
Randalls Island Gold,/beer/randalls-island-gold/35089/,2.34,Golden Ale/Blond Ale
White Rock Lost Tourist,/beer/white-rock-lost-tourist/280725/,n/a,Premium Bitter/ESB
