beer,link,score,style
Young Master Hak Mo Sheung Stout Imperial Con Chile Ancho Y Panca,/beer/young-master-hak-mo-sheung-stout-imperial-con-chile-ancho-y-panca/537798/,3.68,Imperial Stout
Moonzen Yama Sichuan Porter,/beer/moonzen-yama-sichuan-porter/372005/,3.62,Spice/Herb/Vegetable
Young Master Rye�,/beer/young-master-ryeo/304422/,3.62,Specialty Grain
Moonzen 1st anniversary Yang Porterwine,/beer/moonzen-1st-anniversary-yang-porterwine/343841/,3.59,Spice/Herb/Vegetable
Moonzen Mango Milk IPA,/beer/moonzen-mango-milk-ipa/519581/,3.56,India Pale Ale (IPA)
Young Master Yat Cheen ??,/beer/young-master-yat-cheen-??/512888/,3.55,Imperial IPA
Young Master 1842 Island Imperial IPA,/beer/young-master-1842-island-imperial-ipa/241549/,3.52,Imperial IPA
Young Master Taisui,/beer/young-master-taisui/383489/,3.51,Sour Red/Brown
Young Master GaLactic Passion Sour IPA,/beer/young-master-galactic-passion-sour-ipa/436221/,3.50,Sour/Wild Ale
Young Master Days Of Being Wild,/beer/young-master-days-of-being-wild/515775/,3.50,Sour/Wild Ale
Black Kite Porter,/beer/black-kite-porter/372511/,3.48,Porter
Kowloon Bay American IPA,/beer/kowloon-bay-american-ipa/423908/,3.46,India Pale Ale (IPA)
Young Master Mo' Mo' Wit 夏日麼麼啤,/beer/young-master-mo-mo-wit-2279926085406364063621860/264621/,3.43,Witbier
Heroes Beer Co Cereusly +50dB IPA,/beer/heroes-beer-co-cereusly-50db-ipa/491746/,3.43,India Pale Ale (IPA)
Heroes Beer Co Hunk Sir Milffee Porter,/beer/heroes-beer-co-hunk-sir-milffee-porter/515407/,3.43,Porter
Moonzen 1st Anniversary Yin Wheatwine,/beer/moonzen-1st-anniversary-yin-wheatwine/343840/,3.43,Spice/Herb/Vegetable
Young Master Hak Mo Sheung Raspberry Imperial Stout,/beer/young-master-hak-mo-sheung-raspberry-imperial-stout/537800/,3.38,Imperial Stout
Young Master Cha Chaan Teng 茶餐廳 Gose,/beer/young-master-cha-chaan-teng-335903918424307-gose/340899/,3.38,Grodziskie/Gose/Lichtenhainer
Heroes Beer Co Hangry Donut Hopiscus Wheat,/beer/heroes-beer-co-hangry-donut-hopiscus-wheat/498073/,3.36,Wheat Ale
Moonzen Moon Goddess Chocolate Stout,/beer/moonzen-moon-goddess-chocolate-stout/320586/,3.35,Stout
Young Master Classic,/beer/young-master-classic/241547/,3.35,American Pale Ale
Moonzen Thundergod Pale Ale,/beer/moonzen-thundergod-pale-ale/330156/,3.32,American Pale Ale
Heroes Beer Co AP-09 One Star Scotch Ale,/beer/heroes-beer-co-ap-09-one-star-scotch-ale/499826/,3.32,Scotch Ale
"Black Kite Oh, Bacon!",/beer/black-kite-oh-bacon/386173/,3.31,Smoked
Moonzen Kitchen God Honey Porter,/beer/moonzen-kitchen-god-honey-porter/334859/,3.30,Porter
Lion Rock Oriental Pearl Oatmeal Stout,/beer/lion-rock-oriental-pearl-oatmeal-stout/425373/,3.28,Sweet Stout
Moonzen Jade Emperor IPA,/beer/moonzen-jade-emperor-ipa/320582/,3.28,India Pale Ale (IPA)
Moonzen Sweet Potato Ginger (番薯糖水啤),/beer/moonzen-sweet-potato-ginger-3005834223319582770021860/474076/,3.28,Spice/Herb/Vegetable
