beer,link,score,style
armando_otchoa's Freaky Wheaty Gribanc,/beer/armando-otchoas-freaky-wheaty-gribanc/228290/,3.80,India Pale Ale (IPA)
armando_otchoa's Grabanc Imperial Fantomt�p ,/beer/armando-otchoas-grabanc-imperial-fantomtap/477364/,3.80,Imperial IPA
armando_otchoa's Hopaholic IPA,/beer/armando-otchoas-hopaholic-ipa/269939/,3.79,India Pale Ale (IPA)
armando_otchoa's Freaky Wheaty Grabanc,/beer/armando-otchoas-freaky-wheaty-grabanc/185554/,3.77,India Pale Ale (IPA)
armando_otchoa's Grabanc HOPaoCOLYPSE,/beer/armando-otchoas-grabanc-hopaocolypse/216250/,3.75,India Pale Ale (IPA)
armando_otchoa's Grabanc Citra+,/beer/armando-otchoas-grabanc-citra/194849/,3.74,India Pale Ale (IPA)
armando_otchoa's Allied Forces - Hangover D.S.O.T.G. Rasta,/beer/armando-otchoas-allied-forces-hangover-dsotg-rasta/262013/,3.73,India Pale Ale (IPA)
armando_otchoa's Grabanc IPA,/beer/armando-otchoas-grabanc-ipa/144884/,3.73,India Pale Ale (IPA)
Hopfanatic / Nils Hansen IMPORTER,/beer/hopfanatic-nils-hansen-importer/218593/,3.69,Imperial Porter
Csupor / armando_otchoa  CCCP,/beer/csupor-armando-otchoa-cccp/360823/,3.69,Imperial IPA
Marschall Amplify Ale,/beer/marschall-amplify-ale/297713/,3.69,Irish Ale
MONYO Boris the Blade,/beer/monyo-boris-the-blade/381416/,3.68,Imperial Stout
Green Sheep Hot Road,/beer/green-sheep-hot-road/380786/,3.68,Imperial Stout
armando_otchoa's Deep Throat - Irish Bitches,/beer/armando-otchoas-deep-throat-irish-bitches/511424/,3.67,Foreign Stout
Brew Your Mind Peach Please,/beer/brew-your-mind-peach-please/425375/,3.66,India Pale Ale (IPA)
armando_otchoa's OCSOA Summer Sunrise APA,/beer/armando-otchoas-ocsoa-summer-sunrise-apa/217646/,3.66,American Pale Ale
armando_otchoa's Hangover Rasta,/beer/armando-otchoas-hangover-rasta/254030/,3.65,India Pale Ale (IPA)
armando_otchoa's D.S.O.T.G.(Dark Side Of The Grabanc),/beer/armando-otchoas-dsotgdark-side-of-the-grabanc/175708/,3.65,Black IPA
Tibeer D�h�s,/beer/tibeer-duhos/213591/,3.64,Belgian Strong Ale
Hopfanatic Angry Beast,/beer/hopfanatic-angry-beast/183790/,3.63,Imperial Stout
Rizmajer Maibock,/beer/rizmajer-maibock/213018/,3.63,Heller Bock
Brew Your Mind Evermind,/beer/brew-your-mind-evermind/512231/,3.63,Imperial IPA
Hopfanatic / Kaltenecker No Limit Imperial Double IPA 22�,/beer/hopfanatic-kaltenecker-no-limit-imperial-double-ipa-22/194147/,3.62,Imperial IPA
Hara'Punk Son Of A Bitch,/beer/harapunk-son-of-a-bitch/472984/,3.61,Imperial IPA
Mad Scientist Liquid Cocaine,/beer/mad-scientist-liquid-cocaine/465406/,3.61,Imperial IPA
