beer,link,score,style
Borg Surtur Nr. 8,/beer/borg-surtur-nr-8/164091/,3.82,Imperial Stout
�lvisholt Lava,/beer/olvisholt-lava/98129/,3.79,Smoked
Borg Gar�n Icelandic Stout Nr. 19,/beer/borg-garun-icelandic-stout-nr-19/232747/,3.77,Imperial Stout
Borg Surtur Nr. 38,/beer/borg-surtur-nr-38/398979/,3.77,Imperial Stout
Borg Surtur Nr. 30,/beer/borg-surtur-nr-30/318231/,3.73,Imperial Stout
Borg Surtur Nr. 47,/beer/borg-surtur-nr-47/486332/,3.65,Imperial Stout
Borg Gar�n Icelandic Stout Nr. 19.1,/beer/borg-garun-icelandic-stout-nr-191/391931/,3.65,Imperial Stout
Borg �lfur �lfur Double IPA Nr. 17,/beer/borg-ulfur-ulfur-double-ipa-nr-17/210166/,3.60,Imperial IPA
Borg Surtur Nr. 8.2,/beer/borg-surtur-nr-82/313612/,3.58,Imperial Stout
Borg Giljagaur Nr. 14,/beer/borg-giljagaur-nr-14/191102/,3.57,Barley Wine
Borg Surtur Nr. 8.4,/beer/borg-surtur-nr-84/400688/,3.54,Imperial Stout
Borg Surtur Nr. 8.6,/beer/borg-surtur-nr-86/479519/,3.54,Imperial Stout
Borg Surtur Nr. 23,/beer/borg-surtur-nr-23/247864/,3.54,Imperial Stout
Einst�k Icelandic Toasted Porter ,/beer/einstok-icelandic-toasted-porter/147169/,3.54,Porter
Borg Surtur Nr. 8.5,/beer/borg-surtur-nr-85/479493/,3.53,Imperial Stout
G��ingur Tumi Humall IPA,/beer/gaeoingur-tumi-humall-ipa/175635/,3.53,India Pale Ale (IPA)
Borg Surtur Nr. 30.1,/beer/borg-surtur-nr-301/400686/,3.51,Imperial Stout
Borg / Cigar City Aycayia Nr. C4,/beer/borg-cigar-city-aycayia-nr-c4/449725/,3.46,India Pale Ale (IPA)
�lvisholt R��ull India Pale Ale,/beer/olvisholt-rooull-india-pale-ale/215297/,3.45,India Pale Ale (IPA)
Kex Jesus is coming,/beer/kex-jesus-is-coming/547860/,3.44,Imperial Stout
Borg / B�din L�an New Nordic DIPA Nr. C7,/beer/borg-badin-loan-new-nordic-dipa-nr-c7/488771/,3.44,Imperial IPA
G��ingur MIB,/beer/gaeoingur-mib/323917/,3.43,Imperial IPA
Borg �lfur India Pale Ale Nr. 3,/beer/borg-ulfur-india-pale-ale-nr-3/138492/,3.43,India Pale Ale (IPA)
Borg Myrkvi Nr. 13,/beer/borg-myrkvi-nr-13/191168/,3.43,Porter
G��ingur Stout ,/beer/gaeoingur-stout/147172/,3.42,Stout
Einst�k Icelandic Wee Heavy,/beer/einstok-icelandic-wee-heavy/456745/,3.42,Scotch Ale
Kex Perfect Stranger,/beer/kex-perfect-stranger/491305/,3.42,Imperial IPA
Borg �v�rusleikir Nr. 28,/beer/borg-pvorusleikir-nr-28/299040/,3.40,Amber Ale
Borg J�das Nr. 16,/beer/borg-judas-nr-16/200793/,3.40,Abt/Quadrupel
Borg J�das Nr. 16.1,/beer/borg-judas-nr-161/488725/,3.39,Abt/Quadrupel
Bryggjan Pale Ale,/beer/bryggjan-pale-ale/385462/,3.38,American Pale Ale
Einst�k Icelandic Doppelbock,/beer/einstok-icelandic-doppelbock/147174/,3.37,Doppelbock
Bruggsmidjan Kaldi IPA,/beer/bruggsmidjan-kaldi-ipa/317801/,3.37,India Pale Ale (IPA)
G��ingur Barleywine,/beer/gaeoingur-barleywine/242509/,3.37,Barley Wine
�lvisholt Ship-O-Hoj Hoppy Wheat Beer,/beer/olvisholt-ship-o-hoj-hoppy-wheat-beer/267842/,3.37,Wheat Ale
G��ingur / Evil Twin / Two Roads Skyrgosi ,/beer/gaeoingur-evil-twin-two-roads-skyrgosi/337824/,3.37,Grodziskie/Gose/Lichtenhainer
Borg S�mundur Nr. 49,/beer/borg-saemundur-nr-49/492467/,3.36,American Pale Ale
Borg Gr�ta Baltic Porter Nr. 27,/beer/borg-greta-baltic-porter-nr-27/287287/,3.36,Baltic Porter
Viking �slenskur �rvals Stout,/beer/viking-yslenskur-urvals-stout/86488/,3.36,Stout
Borg Surtur Nr. 8.1,/beer/borg-surtur-nr-81/198863/,3.35,Imperial Stout
Borg Surtur Nr. 15,/beer/borg-surtur-nr-15/198862/,3.35,Imperial Stout
Black Death Beer,/beer/black-death-beer/158101/,3.34,Baltic Porter
Borg Hans Nr.44,/beer/borg-hans-nr44/463141/,3.33,Smoked
Borg Giljagaur Nr. 14.1,/beer/borg-giljagaur-nr-141/238056/,3.33,Barley Wine
Borg Freki Nr. 33,/beer/borg-freki-nr-33/341734/,3.33,India Pale Ale (IPA)
Borg �orl�kur Nr. 31 Saison Brett,/beer/borg-porlakur-nr-31-saison-brett/318177/,3.33,Saison
�lvisholt Ska�i,/beer/olvisholt-skaoi/229815/,3.32,Saison
G��ingur Pale Ale,/beer/gaeoingur-pale-ale/159425/,3.32,American Pale Ale
Borg / 7 Fjell Smugan,/beer/borg-7-fjell-smugan/406556/,3.32,Spice/Herb/Vegetable
Borg S�lveig Nr. 25,/beer/borg-solveig-nr-25/268097/,3.32,Wheat Ale
