beer,link,score,style
Windmills Craftworks Stout,/beer/windmills-craftworks-stout/228654/,3.35,Stout
Windmills Craftworks IPA India Pale Ale,/beer/windmills-craftworks-ipa-india-pale-ale/228655/,3.30,India Pale Ale (IPA)
Arbor India Raging Elephant IPA,/beer/arbor-india-raging-elephant-ipa/280989/,3.26,India Pale Ale (IPA)
Arbor India Michael Faricy's Irish Stout,/beer/arbor-india-michael-faricys-irish-stout/280991/,3.26,Dry Stout
Windmills Craftworks American Pale Ale,/beer/windmills-craftworks-american-pale-ale/362588/,3.21,American Pale Ale
Arbor India Buzzsaw American I.P.A.,/beer/arbor-india-buzzsaw-american-ipa/329179/,3.18,India Pale Ale (IPA)
Gateway White Zen,/beer/gateway-white-zen/249165/,3.16,German Hefeweizen
Murphy's Blackbeard,/beer/murphys-blackbeard/361644/,3.15,Imperial Porter
The Biere Club All Malt Stout,/beer/the-biere-club-all-malt-stout/179948/,3.14,Stout
Arbor India Hoptoberfest,/beer/arbor-india-hoptoberfest/362091/,3.12,Oktoberfest/M�rzen
Toit Colonial,/beer/toit-colonial/182663/,3.09,English Pale Ale
Arbor India No Parking Pilsner,/beer/arbor-india-no-parking-pilsner/303106/,3.09,Pilsener
Arbor India Smooth Criminal,/beer/arbor-india-smooth-criminal/280993/,3.09,Specialty Grain
Bangalore Brew Works Brigade Lager,/beer/bangalore-brew-works-brigade-lager/362436/,3.07,Dunkler Bock
Prost Burnt Stone,/beer/prost-burnt-stone/362167/,3.06,Stout
Arbor India Batch 400,/beer/arbor-india-batch-400/361233/,3.06,Baltic Porter
The Clock Tower IPA,/beer/the-clock-tower-ipa/523609/,3.06,India Pale Ale (IPA)
Arbor India Beach Shack IPA,/beer/arbor-india-beach-shack-ipa/553721/,3.06,Session IPA
The Biere Club Irish Dry,/beer/the-biere-club-irish-dry/493540/,3.06,Dry Stout
Toit Red,/beer/toit-red/182668/,3.06,Irish Ale
Big Pitcher German Lager,/beer/big-pitcher-german-lager/362169/,3.05,Oktoberfest/M�rzen
The Biere Club American Amber Ale,/beer/the-biere-club-american-amber-ale/182617/,3.05,Amber Ale
Windmills Craftworks Belgian White IPA,/beer/windmills-craftworks-belgian-white-ipa/493531/,3.04,India Pale Ale (IPA)
The Biere Club Tropical Stout,/beer/the-biere-club-tropical-stout/412686/,3.04,Stout
The Barking Deer Sancho Panza,/beer/the-barking-deer-sancho-panza/465807/,3.04,Spice/Herb/Vegetable
Royal Oak - Vashi Ryezen,/beer/royal-oak-vashi-ryezen/475960/,3.04,Old Ale
Royal Oak - Vashi Rice Blonde Ale,/beer/royal-oak-vashi-rice-blonde-ale/475961/,3.04,Golden Ale/Blond Ale
Bangalore Brew Works Commercial Stout,/beer/bangalore-brew-works-commercial-stout/362435/,3.04,Dry Stout
The White Owl Halcyon,/beer/the-white-owl-halcyon/311524/,3.04,German Hefeweizen
Charger Extra Strong,/beer/charger-extra-strong/81063/,3.04,Malt Liquor
Gateway Doppelganger,/beer/gateway-doppelganger/301654/,3.03,Dunkelweizen
The Biere Club IPA,/beer/the-biere-club-ipa/493530/,3.02,India Pale Ale (IPA)
Vapour Premium,/beer/vapour-premium/210733/,3.02,Amber Lager/Vienna
Brewsky Dark Smoke,/beer/brewsky-dark-smoke/362095/,3.02,Smoked
Royal Oak - Vashi German Wheat,/beer/royal-oak-vashi-german-wheat/475958/,3.02,German Hefeweizen
Vapour Bollywood Star IPA ,/beer/vapour-bollywood-star-ipa/443514/,3.02,India Pale Ale (IPA)
Brew and Barbeque Stout,/beer/brew-and-barbeque-stout/493521/,3.02,Stout
Brewklyn (India) Dark Wheat,/beer/brewklyn-india-dark-wheat/493553/,3.02,Dunkelweizen
Arbor India The Pelican,/beer/arbor-india-the-pelican/553722/,3.02,Wheat Ale
Bierre Republic Capt Jack,/beer/bierre-republic-capt-jack/362439/,3.02,Golden Ale/Blond Ale
Toit Dark Knight,/beer/toit-dark-knight/182669/,3.01,Dry Stout
Gateway India Pale Ale,/beer/gateway-india-pale-ale/249115/,3.01,India Pale Ale (IPA)
The White Owl Shadow,/beer/the-white-owl-shadow/311523/,3.00,Porter
Doolally Outmeal Stout,/beer/doolally-outmeal-stout/462928/,3.00,Stout
Doolally India Pale Ale (IPA),/beer/doolally-india-pale-ale-ipa/465399/,3.00,India Pale Ale (IPA)
Punjabi by Nature German Pilsner Lager,/beer/punjabi-by-nature-german-pilsner-lager/362584/,3.00,Amber Lager/Vienna
Prost Spinner,/beer/prost-spinner/362163/,3.00,Fruit Beer
District 6 Salvator,/beer/district-6-salvator/362090/,3.00,Dunkler Bock
Prost Bangalore Bolt,/beer/prost-bangalore-bolt/362165/,3.00,Witbier
Punjabi by Nature Dark Special Roasted,/beer/punjabi-by-nature-dark-special-roasted/362586/,3.00,Porter
