beer,link,score,style
Storm Beer Black Moon Iron Stout,/beer/storm-beer-black-moon-iron-stout/74296/,3.18,Stout
Coffeebeerian Russian Stout,/beer/coffeebeerian-russian-stout/238682/,3.18,Imperial Stout
Gold Lion Extra Stout,/beer/gold-lion-extra-stout/17164/,2.97,Foreign Stout
Paulaner Br�uhaus (Jakarta) Dunkel,/beer/paulaner-brauhaus-jakarta-dunkel/238657/,2.95,Dunkel/Tmav�
Panther Ginseng Stout,/beer/panther-ginseng-stout/112124/,2.95,Dry Stout
Coffeebeerian Cider,/beer/coffeebeerian-cider/238684/,2.91,Cider
Bintang Radler- Grapefruit,/beer/bintang-radler-grapefruit/392853/,2.90,Radler/Shandy
"Panther Stout (5%, black)",/beer/panther-stout-5-black/54546/,2.89,Dry Stout
Bali Hai Hefeweizenbier,/beer/bali-hai-hefeweizenbier/251246/,2.88,German Hefeweizen
Coffeebeerian Porter,/beer/coffeebeerian-porter/238681/,2.88,Porter
Storm Beer Sand Storm Golden Ale,/beer/storm-beer-sand-storm-golden-ale/83459/,2.87,Golden Ale/Blond Ale
Bamboo Pilsner ,/beer/bamboo-pilsner/202367/,2.87,Czech Pilsner (Světl�)
Paulaner Br�uhaus (Jakarta) Hell,/beer/paulaner-brauhaus-jakarta-hell/238655/,2.86,Dortmunder/Helles
Albens Fine English Cider,/beer/albens-fine-english-cider/192657/,2.85,Cider
Storm Beer Red Dawn Bronze Ale,/beer/storm-beer-red-dawn-bronze-ale/83460/,2.83,Amber Ale
Coffeebeerian IPA,/beer/coffeebeerian-ipa/238680/,2.81,India Pale Ale (IPA)
Storm Beer Pale Ale,/beer/storm-beer-pale-ale/83461/,2.81,American Pale Ale
Coffeebeerian Wheat,/beer/coffeebeerian-wheat/238683/,2.80,Wheat Ale
Stark Lychee Ale,/beer/stark-lychee-ale/556461/,2.79,Fruit Beer
Stark Wheat,/beer/stark-wheat/170222/,2.78,Witbier
Storm Beer Tropical Ale,/beer/storm-beer-tropical-ale/97695/,2.77,Golden Ale/Blond Ale
Guinness Foreign Extra Stout (Indonesian),/beer/guinness-foreign-extra-stout-indonesian/15943/,2.74,Foreign Stout
Stark Pilsener 1945,/beer/stark-pilsener-1945/397582/,2.74,Pilsener
Ambassador Lager Beer,/beer/ambassador-lager-beer/169024/,2.73,Pale Lager
Anker Stout,/beer/anker-stout/15942/,2.72,Foreign Stout
Gold Jaguar Stout,/beer/gold-jaguar-stout/17165/,2.70,Foreign Stout
Bintang 0.0 Maxx,/beer/bintang-00-maxx/540617/,2.68,Low Alcohol
Stark Low Carb,/beer/stark-low-carb/216842/,2.67,Zwickel/Keller/Landbier
Stark Mango Ale,/beer/stark-mango-ale/453192/,2.65,Fruit Beer
Sunray Cider,/beer/sunray-cider/277335/,2.64,Cider
Folsom Lager Beer,/beer/folsom-lager-beer/250003/,2.63,Imperial Pils/Strong Pale Lager
Gold Lion Lager Beer,/beer/gold-lion-lager-beer/17163/,2.62,Pale Lager
Bintang Radler 0.0%,/beer/bintang-radler-00/433925/,2.62,Low Alcohol
"Panther Stout (8%, red)",/beer/panther-stout-8-red/17166/,2.61,Foreign Stout
Cruiz Beer,/beer/cruiz-beer/150679/,2.56,Pale Lager
Timor Gold Super Brew,/beer/timor-gold-super-brew/123525/,2.53,Pale Lager
Batavia Lager Beer,/beer/batavia-lager-beer/108548/,2.52,Pale Lager
Stark Dark Wheat,/beer/stark-dark-wheat/170497/,2.48,Dunkelweizen
Bali Hai Premium Munich Lager,/beer/bali-hai-premium-munich-lager/501630/,2.36,Pale Lager
Bintang Radler,/beer/bintang-radler/308031/,2.16,Radler/Shandy
El Diablo Super Strong Brew Beer ,/beer/el-diablo-super-strong-brew-beer/198489/,2.09,Imperial Pils/Strong Pale Lager
Kuda Putih,/beer/kuda-putih/110090/,2.08,Pale Lager
Prost Beer,/beer/prost-beer/401483/,2.02,Pale Lager
Bintang Bir Pilsener,/beer/bintang-bir-pilsener/7656/,2.00,Pale Lager
Guinness Zero (0%) (Indonesia),/beer/guinness-zero-0-indonesia/401475/,2.00,Low Alcohol
Bali Hai,/beer/bali-hai/10726/,1.81,Pale Lager
Anker Bir Pilsener,/beer/anker-bir-pilsener/15941/,1.80,Pale Lager
Bali Hai Draft Beer,/beer/bali-hai-draft-beer/38621/,1.74,Pale Lager
El Diablo Strong Brew,/beer/el-diablo-strong-brew/170496/,1.72,Pale Lager
Bintang  Zero,/beer/bintang-zero/46331/,1.44,Low Alcohol
