beer,link,score,style
Istak Mango,/beer/istak-mango/339776/,2.72,Fruit Beer
Istak Pineapple,/beer/istak-pineapple/339777/,2.70,Radler/Shandy
Istak Pomegranate,/beer/istak-pomegranate/155485/,2.70,Radler/Shandy
Iran Bartar Castle Brau,/beer/iran-bartar-castle-brau/164665/,2.69,Low Alcohol
Istak Lemon,/beer/istak-lemon/197986/,2.69,Radler/Shandy
Khoshgovar Heyday Lemon,/beer/khoshgovar-heyday-lemon/555409/,2.68,Low Alcohol
Istak Raspberry,/beer/istak-raspberry/37502/,2.64,Radler/Shandy
Istak Apple,/beer/istak-apple/338144/,2.64,Radler/Shandy
Istak Strawberry,/beer/istak-strawberry/339783/,2.62,Radler/Shandy
Parsi Malt beverage,/beer/parsi-malt-beverage/447240/,2.58,Low Alcohol
Istak Coffee,/beer/istak-coffee/355213/,2.42,Radler/Shandy
Istak Tropical Fruits,/beer/istak-tropical-fruits/339782/,2.37,Radler/Shandy
Black Delster,/beer/black-delster/75463/,2.03,Low Alcohol
Hoffenberg,/beer/hoffenberg/126983/,1.84,Low Alcohol
Khoshgovar HeyDay Malt,/beer/khoshgovar-heyday-malt/270410/,1.67,Low Alcohol
Iran Bartar Shams Regular,/beer/iran-bartar-shams-regular/227808/,1.57,Low Alcohol
Istak Malt (Natural),/beer/istak-malt-natural/80806/,1.54,Low Alcohol
Delster Classic (NA),/beer/delster-classic-na/55124/,1.40,Low Alcohol
Golden Delster,/beer/golden-delster/12704/,1.39,Low Alcohol
Delster Cooper Original,/beer/delster-cooper-original/155717/,n/a,Low Alcohol
Delster Lemon,/beer/delster-lemon/192124/,n/a,Low Alcohol
Shams,/beer/shams/511736/,n/a,Wheat Ale
Bajika Pomegranate,/beer/bajika-pomegranate/212388/,n/a,Low Alcohol
Iran Bartar Shams Lemon Mint,/beer/iran-bartar-shams-lemon-mint/307181/,n/a,Fruit Beer
Istak Peach,/beer/istak-peach/241666/,n/a,Low Alcohol
Shams Beer,/beer/shams-beer/511738/,n/a,Wheat Ale
Castle Brau Stout,/beer/castle-brau-stout/323228/,n/a,Low Alcohol
Delster Tropical,/beer/delster-tropical/516700/,n/a,Low Alcohol
Light Delster,/beer/light-delster/73774/,n/a,Low Alcohol
Istak Black Cherry,/beer/istak-black-cherry/403778/,n/a,Radler/Shandy
