beer,link,score,style
Galway Bay Two Hundred Fathoms (2015),/beer/galway-bay-two-hundred-fathoms-2015/320527/,3.96,Imperial Stout
Galway Bay Two Hundred Fathoms (2014),/beer/galway-bay-two-hundred-fathoms-2014/249753/,3.88,Imperial Stout
Galway Bay Of Foam and Fury,/beer/galway-bay-of-foam-and-fury/237467/,3.87,Imperial IPA
Galway Bay Two Hundred Fathoms (2016),/beer/galway-bay-two-hundred-fathoms-2016/403584/,3.82,Imperial Stout
Pinta / O'Hara's Lublin to Dublin 2014,/beer/pinta-oharas-lublin-to-dublin-2014/255714/,3.82,Stout
Porterhouse Celebration Stout Barrel Aged,/beer/porterhouse-celebration-stout-barrel-aged/164658/,3.82,Imperial Stout
Galway Bay Two Hundred Fathoms (2017),/beer/galway-bay-two-hundred-fathoms-2017/509660/,3.79,Imperial Stout
White Hag Black Boar,/beer/white-hag-black-boar/285037/,3.78,Imperial Stout
Porterhouse Celebration Stout (2006),/beer/porterhouse-celebration-stout-2006/64511/,3.75,Imperial Stout
Western Herd Back Beat Witbier,/beer/western-herd-back-beat-witbier/391695/,3.74,Witbier
Western Herd Siege Pale Ale,/beer/western-herd-siege-pale-ale/391693/,3.74,American Pale Ale
White Hag Black Boar Barrel Aged 2016 ,/beer/white-hag-black-boar-barrel-aged-2016/497049/,3.73,Imperial Stout
Pinta / O'Hara's Lublin to Dublin 2016,/beer/pinta-oharas-lublin-to-dublin-2016/424848/,3.72,Foreign Stout
Pinta / O'Hara's Lublin to Dublin 2015,/beer/pinta-oharas-lublin-to-dublin-2015/333481/,3.70,Sweet Stout
Trouble Brewing Hop Priority,/beer/trouble-brewing-hop-priority/322173/,3.68,Imperial IPA
White Gypsy Cask No. 1,/beer/white-gypsy-cask-no-1/78780/,3.67,Smoked
Blacks World's End,/beer/blacks-worlds-end/384494/,3.67,Imperial Stout
Galway Bay/ Begyle Brewing Goodbye Blue Monday,/beer/galway-bay-begyle-brewing-goodbye-blue-monday/281746/,3.66,Specialty Grain
Guinness Special Export (Belgian version),/beer/guinness-special-export-belgian-version/9155/,3.66,Foreign Stout
Boyne Brewhouse Imperial Stout Sherry,/beer/boyne-brewhouse-imperial-stout-sherry/491434/,3.66,Imperial Stout
Guinness The 1798,/beer/guinness-the-1798/401624/,3.65,Imperial Stout
White Hag Fleadh Ale (2014),/beer/white-hag-fleadh-ale-2014/285034/,3.65,India Pale Ale (IPA)
Castaway,/beer/castaway/423820/,3.64,Sour/Wild Ale
Guinness Foreign Extra Stout ,/beer/guinness-foreign-extra-stout/12910/,3.64,Foreign Stout
White Hag / Kinnegar The Hare and The Hag,/beer/white-hag-kinnegar-the-hare-and-the-hag/490717/,3.63,Sweet Stout
Whiplash Surrender to the Void,/beer/whiplash-surrender-to-the-void/407489/,3.63,Imperial IPA
Brehon Shanco Dubh,/beer/brehon-shanco-dubh/303272/,3.63,Imperial Porter
Porterhouse Chocolate Truffle Stout,/beer/porterhouse-chocolate-truffle-stout/57466/,3.63,Sweet Stout
Kinnegar Black Bucket Black Rye IPA,/beer/kinnegar-black-bucket-black-rye-ipa/285375/,3.62,Black IPA
Eight Degrees Nomad India Pale Lager,/beer/eight-degrees-nomad-india-pale-lager/349055/,3.62,India Style Lager
Porterhouse Celebration Stout (2010-),/beer/porterhouse-celebration-stout-2010-/145625/,3.62,Imperial Stout
Eight Degrees Hurricane IPA (5.8%),/beer/eight-degrees-hurricane-ipa-58/301352/,3.62,India Pale Ale (IPA)
Eight Degrees Hurricane IPA,/beer/eight-degrees-hurricane-ipa/225963/,3.62,India Pale Ale (IPA)
Galway Bay Godspeed,/beer/galway-bay-godspeed/363858/,3.62,Sour/Wild Ale
Eight Degrees The Bold Imperial Stout,/beer/eight-degrees-the-bold-imperial-stout/472954/,3.62,Imperial Stout
Carlow O'Hara's Celebration Stout,/beer/carlow-oharas-celebration-stout/84423/,3.61,Dry Stout
Dwans An Dubhain Extra Stout,/beer/dwans-an-dubhain-extra-stout/6128/,3.61,Stout
Western Herd Blue Jumper IPA,/beer/western-herd-blue-jumper-ipa/391697/,3.61,India Pale Ale (IPA)
Galway Bay Buried At Sea,/beer/galway-bay-buried-at-sea/199282/,3.60,Sweet Stout
Eight Degrees Millennium,/beer/eight-degrees-millennium/360195/,3.60,Imperial IPA
Galway Bay Hexed,/beer/galway-bay-hexed/473438/,3.60,Imperial IPA
Whiplash Let it happen ,/beer/whiplash-let-it-happen/552811/,3.60,Imperial IPA
Guinness 200th  Anniversary Export Stout ,/beer/guinness-200th-anniversary-export-stout/554727/,3.60,Foreign Stout
Dublin 1798 Revolution Red,/beer/dublin-1798-revolution-red/387/,3.60,Irish Ale
McGargles Francis' Big Bangin' IPA,/beer/mcgargles-francis-big-bangin-ipa/368952/,3.59,India Pale Ale (IPA)
Porterhouse Wrasslers XXXX Stout,/beer/porterhouse-wrasslers-xxxx-stout/11380/,3.59,Dry Stout
Eight Degrees The Full Irish,/beer/eight-degrees-the-full-irish/261613/,3.59,India Pale Ale (IPA)
Carlow O'Hara's Leann Foll�in,/beer/carlow-oharas-leann-follain/100788/,3.59,Dry Stout
Pinta / O'Hara's Lublin to Dublin 2017,/beer/pinta-oharas-lublin-to-dublin-2017/551169/,3.59,Stout
Galway Bay Banished Sun,/beer/galway-bay-banished-sun/466518/,3.59,Imperial Porter
