beer,link,score,style
Okells Aile,/beer/okells-aile/59202/,3.45,Porter
Okells 1907,/beer/okells-1907/223429/,3.38,India Pale Ale (IPA)
Hooded Ram Jack The Ram Stout,/beer/hooded-ram-jack-the-ram-stout/254784/,3.36,Stout
Hooded Ram Mosaic ,/beer/hooded-ram-mosaic/364844/,3.35,Golden Ale/Blond Ale
Manx Cider Jenny Lay Back,/beer/manx-cider-jenny-lay-back/279866/,3.33,Cider
Okells MPA (Manx Pale Ale),/beer/okells-mpa-manx-pale-ale/198297/,3.32,Golden Ale/Blond Ale
Hooded Ram Little King Louis IPA,/beer/hooded-ram-little-king-louis-ipa/254785/,3.25,India Pale Ale (IPA)
Okells Olaf,/beer/okells-olaf/198298/,3.23,Mild Ale
Hooded Ram Abattoir Blues,/beer/hooded-ram-abattoir-blues/513248/,3.23,Imperial IPA
Hooded Ram Rams Head Bitter,/beer/hooded-ram-rams-head-bitter/280470/,3.22,Bitter
Okells IPA (Bottled),/beer/okells-ipa-bottled/34788/,3.21,Bitter
Hooded Ram Black Pearl Oyster Stout,/beer/hooded-ram-black-pearl-oyster-stout/327381/,3.21,Dry Stout
Bushys Humbug,/beer/bushys-humbug/473566/,3.18,Brown Ale
Okells Traditional Porter,/beer/okells-traditional-porter/137770/,3.17,Porter
Okells Dr Okells IPA (Cask),/beer/okells-dr-okells-ipa-cask/58088/,3.16,Bitter
Okells Saison,/beer/okells-saison/155263/,3.15,Saison
Okells Jiarg,/beer/okells-jiarg/102092/,3.14,Premium Bitter/ESB
Okells Alt,/beer/okells-alt/121477/,3.14,Premium Bitter/ESB
Okells Triskelion Tropical IPA,/beer/okells-triskelion-tropical-ipa/458170/,3.14,American Pale Ale
Hooded Ram Cow Killer,/beer/hooded-ram-cow-killer/327382/,3.13,Imperial IPA
Doghouse Bitter,/beer/doghouse-bitter/189827/,3.12,Bitter
Okells SMPA / Special Manx Pale Ale,/beer/okells-smpa-special-manx-pale-ale/281444/,3.11,Golden Ale/Blond Ale
Okells Bitter,/beer/okells-bitter/5678/,3.09,Bitter
Hooded Ram Smokey Pete,/beer/hooded-ram-smokey-pete/537567/,3.09,Porter
Hooded Ram Saucy Sue ,/beer/hooded-ram-saucy-sue/364885/,3.09,India Pale Ale (IPA)
Okells Gorley Doo,/beer/okells-gorley-doo/365107/,3.09,Black IPA
Bushys Ruby 1874 Mild,/beer/bushys-ruby-1874-mild/5491/,3.08,Mild Ale
Hooded Ram Conrod-Conors Racing Special,/beer/hooded-ram-conrod-conors-racing-special/537987/,3.07,Golden Ale/Blond Ale
Bushys Dark,/beer/bushys-dark/365209/,3.06,Mild Ale
Bushys Star Of India,/beer/bushys-star-of-india/76195/,3.06,Bitter
Manx Cider Jimmie Kickstart ,/beer/manx-cider-jimmie-kickstart/280240/,3.05,Cider
Bushys Manx Pride,/beer/bushys-manx-pride/107931/,3.05,Bitter
Okells Premium Steam Beer,/beer/okells-premium-steam-beer/171789/,3.04,California Common
Okells Dr Okells Eastern Spice,/beer/okells-dr-okells-eastern-spice/85687/,3.04,Bitter
Bushys Oyster Stout,/beer/bushys-oyster-stout/5486/,3.04,Stout
Bushys Buggane,/beer/bushys-buggane/38855/,3.03,Bitter
Hooded Ram Pacifica,/beer/hooded-ram-pacifica/368076/,3.02,Black IPA
Bushys Old Sea Dogs,/beer/bushys-old-sea-dogs/356110/,3.00,Bitter
Hooded Ram Cascade,/beer/hooded-ram-cascade/326984/,3.00,Golden Ale/Blond Ale
Hooded Ram Amber Ram,/beer/hooded-ram-amber-ram/374819/,3.00,Bitter
Bushys Mischief,/beer/bushys-mischief/44070/,3.00,Old Ale
Bushys Island Brew,/beer/bushys-island-brew/354420/,2.99,Bitter
Hooded Ram Red Ram Ale,/beer/hooded-ram-red-ram-ale/254776/,2.98,Bitter
Hooded Ram Toasty Ram,/beer/hooded-ram-toasty-ram/481698/,2.98,Traditional Ale
Manx Cider Johnny Jump Up,/beer/manx-cider-johnny-jump-up/546524/,2.98,Cider
Hooded Ram Manxman,/beer/hooded-ram-manxman/546171/,2.98,Mild Ale
Okells Olde Skipper,/beer/okells-olde-skipper/5680/,2.97,Bitter
Hooded Ram Rock Around The Flock,/beer/hooded-ram-rock-around-the-flock/280499/,2.97,Bitter
Bushys Manannan's Cloak,/beer/bushys-manannans-cloak/5484/,2.96,Bitter
Bushys Helmsman,/beer/bushys-helmsman/101395/,2.96,Bitter
