beer,link,score,style
Dancing Camel Doc's Green Leaf Party,/beer/dancing-camel-docs-green-leaf-party/286888/,3.57,India Pale Ale (IPA)
Alexander / Mikkeller The Beer Of Milk & Honey ,/beer/alexander-mikkeller-the-beer-of-milk-honey/448394/,3.56,Imperial Porter
Dancing Camel Magog,/beer/dancing-camel-magog/120460/,3.50,Imperial Stout
Dancing Camel Goliath,/beer/dancing-camel-goliath/120458/,3.47,American Strong Ale 
HaShakhen Pressure Drop,/beer/hashakhen-pressure-drop/328628/,3.46,India Pale Ale (IPA)
Alexander Imperial Stout,/beer/alexander-imperial-stout/472277/,3.46,Imperial Stout
Malka Keha (Stout),/beer/malka-keha-stout/107732/,3.43,Dry Stout
HaShakhen Dark Matter NZ Green Bullet ,/beer/hashakhen-dark-matter-nz-green-bullet/461153/,3.41,Black IPA
HaDubim Polar IPA,/beer/hadubim-polar-ipa/270338/,3.41,India Pale Ale (IPA)
Alexander Black,/beer/alexander-black/138840/,3.41,Porter
HaDubim Paradox Black IPA Beer,/beer/hadubim-paradox-black-ipa-beer/316308/,3.41,Black IPA
Ronen HaBeera HaMekhoeret India Pale Ale,/beer/ronen-habeera-hamekhoeret-india-pale-ale/168493/,3.41,India Pale Ale (IPA)
Negev Porter Alon,/beer/negev-porter-alon/118391/,3.39,Porter
HaShakhen Dark Matter,/beer/hashakhen-dark-matter/396098/,3.39,Black IPA
HaDubim Diogenes 2013,/beer/hadubim-diogenes-2013/234933/,3.38,Belgian Strong Ale
Salara Smoked Stout,/beer/salara-smoked-stout/133703/,3.38,Stout
Joya Souriano Gorgeous IPA,/beer/joya-souriano-gorgeous-ipa/521067/,3.37,India Pale Ale (IPA)
Dancing Camel Golem (-2013),/beer/dancing-camel-golem-2013/76748/,3.37,American Strong Ale 
Shapiro IPA - Simcoe 2017,/beer/shapiro-ipa-simcoe-2017/521716/,3.36,India Pale Ale (IPA)
Beer Bazaar Bhindi IPA,/beer/beer-bazaar-bhindi-ipa/340463/,3.35,India Pale Ale (IPA)
Beer & Beyond THE BEER Session IPA,/beer/beer-beyond-the-beer-session-ipa/353429/,3.35,Session IPA
HaDubim Trio IPA US NZ DE,/beer/hadubim-trio-ipa-us-nz-de/328803/,3.34,India Pale Ale (IPA)
Beertzinut Layla,/beer/beertzinut-layla/301568/,3.34,Black IPA
Buster's Oak Aged Stout,/beer/busters-oak-aged-stout/487819/,3.34,Stout
Ketta TropicAle,/beer/ketta-tropicale/491051/,3.33,Session IPA
HaDubim Trio IPA 1,/beer/hadubim-trio-ipa-1/328811/,3.32,India Pale Ale (IPA)
HaDubim Grizzly 2014 Double IPA,/beer/hadubim-grizzly-2014-double-ipa/286588/,3.32,Imperial IPA
Shapiro IPA - Amarillo 2015,/beer/shapiro-ipa-amarillo-2015/331550/,3.32,India Pale Ale (IPA)
Golda Cascadian Brown Ale,/beer/golda-cascadian-brown-ale/151657/,3.31,Brown Ale
HaDubim Dusty Ice Ice IPA,/beer/hadubim-dusty-ice-ice-ipa/317944/,3.31,American Strong Ale 
Basha-Flom Nelson ,/beer/basha-flom-nelson/461559/,3.31,Black IPA
Shapiro Jack's Winter Ale,/beer/shapiro-jacks-winter-ale/163405/,3.30,Belgian Strong Ale
Herzl Embargo,/beer/herzl-embargo/309779/,3.29,Porter
Shapiro IPA - Citra 2016,/beer/shapiro-ipa-citra-2016/421025/,3.29,India Pale Ale (IPA)
Laughing Buddha Single Malt IPA,/beer/laughing-buddha-single-malt-ipa/220261/,3.29,India Pale Ale (IPA)
Sparrow Brewery Hoppy Saison,/beer/sparrow-brewery-hoppy-saison/350650/,3.29,Saison
HaDictator Porter,/beer/hadictator-porter/488043/,3.28,Porter
HaShakhen Americana,/beer/hashakhen-americana/342893/,3.28,India Pale Ale (IPA)
Alexander Green,/beer/alexander-green/155133/,3.28,India Pale Ale (IPA)
HaDubim Arrakis IPA,/beer/hadubim-arrakis-ipa/165580/,3.28,India Pale Ale (IPA)
HaHatzer Kruzo,/beer/hahatzer-kruzo/295523/,3.28,American Pale Ale
Sparrow Brewery IPA,/beer/sparrow-brewery-ipa/259472/,3.27,India Pale Ale (IPA)
Dancing Camel Cherry Vanilla Stout,/beer/dancing-camel-cherry-vanilla-stout/72704/,3.27,Stout
Shapiro / Dancing Camel Nana Beer,/beer/shapiro-dancing-camel-nana-beer/541568/,3.26,Spice/Herb/Vegetable
HaDubim HaDoctor APA,/beer/hadubim-hadoctor-apa/170423/,3.26,American Pale Ale
Dancing Camel Patriot An American Pale Ale,/beer/dancing-camel-patriot-an-american-pale-ale/245082/,3.26,American Pale Ale
HaDubim Winnetou APA,/beer/hadubim-winnetou-apa/270339/,3.26,American Pale Ale
Galil Hopale IPA,/beer/galil-hopale-ipa/286886/,3.26,India Pale Ale (IPA)
Sparrow Brewery Zythos Wheat IPA,/beer/sparrow-brewery-zythos-wheat-ipa/253117/,3.25,India Pale Ale (IPA)
HeHalutz Totzeret Ha'Aretz,/beer/hehalutz-totzeret-haaretz/302208/,3.25,American Pale Ale
