beer,link,score,style
Baladin Xyauy� Barrel,/beer/baladin-xyauyu-barrel/172363/,4.13,Barley Wine
Baladin X-Fum� (Lapsang Souchong),/beer/baladin-x-fume-lapsang-souchong/114498/,4.07,Barley Wine
Baladin Xyauy� Fum� (Islay Whisky),/beer/baladin-xyauyu-fume-islay-whisky/188066/,4.06,Barley Wine
Revelation Cat Black Knight,/beer/revelation-cat-black-knight/174585/,4.02,Imperial Stout
Baladin Xyauy� Birra Da Divano Riserva Teo Musso,/beer/baladin-xyauyu-birra-da-divano-riserva-teo-musso/107789/,4.01,Barley Wine
Baladin Xyauy� Kentucky,/beer/baladin-xyauyu-kentucky/289149/,3.95,Barley Wine
"Thomas Hardy The Historical Ale (2016, aged in Hine Cognac barrels)",/beer/thomas-hardy-the-historical-ale-2016-aged-in-hine-cognac-barrels/469172/,3.95,Barley Wine
Baladin Birra Lurisia Dodici (12),/beer/baladin-birra-lurisia-dodici-12/96407/,3.92,Barley Wine
Birra del Borgo Sedicigradi,/beer/birra-del-borgo-sedicigradi/95745/,3.90,Barley Wine
Panil Barriqu�e (Sour),/beer/panil-barriquee-sour/22395/,3.90,Sour Red/Brown
Baladin Lune Riserva Teo Musso 2010,/beer/baladin-lune-riserva-teo-musso-2010/161091/,3.88,Barley Wine
Baladin Terre Riserva Teo Musso 2012,/beer/baladin-terre-riserva-teo-musso-2012/322052/,3.87,Barley Wine
Lambrate Imperial Ghisa,/beer/lambrate-imperial-ghisa/103336/,3.85,Smoked
Revelation Cat Speed King,/beer/revelation-cat-speed-king/204565/,3.84,Imperial Porter
Maltus Faber Imperial,/beer/maltus-faber-imperial/84882/,3.84,Imperial Stout
Revelation Cat Death Star,/beer/revelation-cat-death-star/194291/,3.84,Imperial Stout
Baladin Terre Riserva Teo Musso 2010,/beer/baladin-terre-riserva-teo-musso-2010/161090/,3.83,Barley Wine
Baladin Xyauy� Etichetta Argento (Silver Label),/beer/baladin-xyauyu-etichetta-argento-silver-label/107790/,3.83,Barley Wine
Toccalmatto Russian Imperial Stout Wild Bretta,/beer/toccalmatto-russian-imperial-stout-wild-bretta/124460/,3.83,Imperial Stout
Baladin Xyauy� Etichetta Rame (Copper Label),/beer/baladin-xyauyu-etichetta-rame-copper-label/51260/,3.82,Barley Wine
White Pony The Prophet BA Bourbon 2013,/beer/white-pony-the-prophet-ba-bourbon-2013/233847/,3.81,Belgian Strong Ale
Maltus Faber Extra Brune,/beer/maltus-faber-extra-brune/79888/,3.80,Belgian Strong Ale
Toccalmatto Bedda Matri Marsala Wine Barrel Aged,/beer/toccalmatto-bedda-matri-marsala-wine-barrel-aged/230735/,3.80,Barley Wine
LoverBeer BeerBera Riserva,/beer/loverbeer-beerbera-riserva/234343/,3.78,Sour/Wild Ale
Birrificio del Ducato Beersel Morning,/beer/birrificio-del-ducato-beersel-morning/142559/,3.78,Sour/Wild Ale
Menaresta 22 La Verguenza,/beer/menaresta-22-la-verguenza/133190/,3.78,Imperial IPA
Birrificio Pausa Caf� Martina,/beer/birrificio-pausa-cafe-martina/124743/,3.78,Lambic Style - Fruit
Hammer Killer Queen,/beer/hammer-killer-queen/335281/,3.77,Imperial IPA
Brewfist / Prairie Artisan Ales Spaghetti Western,/beer/brewfist-prairie-artisan-ales-spaghetti-western/250046/,3.76,Imperial Stout
Toccalmatto Zona Cesarini,/beer/toccalmatto-zona-cesarini/123997/,3.76,India Pale Ale (IPA)
Brewfist Spaghetti Western Grappa Barrel,/beer/brewfist-spaghetti-western-grappa-barrel/278952/,3.75,Imperial Stout
Bi-Du Confine,/beer/bi-du-confine/18442/,3.75,Porter
Baladin 30 E Lode,/beer/baladin-30-e-lode/78935/,3.74,Barley Wine
White Pony Strongest Than Ever BA Bourbon,/beer/white-pony-strongest-than-ever-ba-bourbon/247631/,3.74,Barley Wine
Birra del Borgo ReAle Extra,/beer/birra-del-borgo-reale-extra/78951/,3.74,India Pale Ale (IPA)
Revelation Cat Bombay Cat Black Double IPA,/beer/revelation-cat-bombay-cat-black-double-ipa/189695/,3.73,Black IPA
Birrificio del Ducato Verdi Imperial Stout,/beer/birrificio-del-ducato-verdi-imperial-stout/84864/,3.73,Imperial Stout
White Pony When Fear Becomes Phobias BA Calvados,/beer/white-pony-when-fear-becomes-phobias-ba-calvados/394335/,3.73,Imperial Porter
Panil Barriqu�e Riserva (Sour) ,/beer/panil-barriquee-riserva-sour/115969/,3.73,Sour Red/Brown
Toccalmatto B Space Invader,/beer/toccalmatto-b-space-invader/164432/,3.73,Black IPA
Gambol� Dark Age,/beer/gambolo-dark-age/254323/,3.73,Imperial Stout
Toccalmatto Surfing Hop Imperial IPA,/beer/toccalmatto-surfing-hop-imperial-ipa/95331/,3.73,Imperial IPA
White Pony Black Sheep BA Bourbon 2014,/beer/white-pony-black-sheep-ba-bourbon-2014/259929/,3.72,Imperial Stout
Birra del Borgo Duchessic,/beer/birra-del-borgo-duchessic/112501/,3.72,Saison
White Pony MyDarkestSideOfMind (Calvados BA),/beer/white-pony-mydarkestsideofmind-calvados-ba/364648/,3.72,Imperial Stout
Extraomnes Hopbloem,/beer/extraomnes-hopbloem/205514/,3.72,Belgian Ale
Toccalmatto / Prairie Okie Matilde,/beer/toccalmatto-prairie-okie-matilde/250045/,3.72,Belgian Ale
Birra del Borgo My Antonia,/beer/birra-del-borgo-my-antonia/99437/,3.72,Imperial Pils/Strong Pale Lager
Foglie d'Erba Songs from the Wood,/beer/foglie-derba-songs-from-the-wood/153873/,3.71,Imperial Stout
Extraomnes Kerst Reserva,/beer/extraomnes-kerst-reserva/153870/,3.71,Belgian Strong Ale
