beer,link,score,style
Guinness Foreign Extra (C�te d'Ivoire),/beer/guinness-foreign-extra-cote-divoire/284265/,2.89,Foreign Stout
BB City,/beer/bb-city/545396/,2.75,Pale Lager
Mamba,/beer/mamba/8202/,2.70,Premium Lager
Ivoire,/beer/ivoire/545399/,2.68,Pale Lager
Castel Beer (Ivory Coast),/beer/castel-beer-ivory-coast/284264/,2.58,Pale Lager
Beaufort (Cote d'Ivoire),/beer/beaufort-cote-divoire/180179/,2.37,Pale Lager
Number One (Cote d'Ivoire),/beer/number-one-cote-divoire/282082/,2.25,Pale Lager
Flag Sp�ciale (Cote d'Ivoire),/beer/flag-speciale-cote-divoire/19447/,2.01,Pale Lager
Solibra Bock,/beer/solibra-bock/14081/,1.97,Pale Lager
Gold 5.5,/beer/gold-55/323568/,n/a,Pilsener
