beer,link,score,style
Guinness Foreign Extra Stout (Jamaica/Kenya/Tanzania),/beer/guinness-foreign-extra-stout-jamaica-kenya-tanzania/48271/,3.38,Foreign Stout
Jamaica Stout,/beer/jamaica-stout/29648/,3.23,Foreign Stout
Lion Heart Stout,/beer/lion-heart-stout/23787/,3.17,Foreign Stout
Dragon Stout,/beer/dragon-stout/749/,3.10,Foreign Stout
Dragon Stout Spitfire,/beer/dragon-stout-spitfire/157857/,3.03,Imperial Stout
Desnoes and Geddes (Diageo PLC) Malta,/beer/desnoes-and-geddes-diageo-plc-malta/379504/,2.96,Low Alcohol
Gong 71st,/beer/gong-71st/402781/,2.81,Fruit Beer
Yardy Shandy Kola,/beer/yardy-shandy-kola/186029/,2.79,Radler/Shandy
Red Stripe Bold,/beer/red-stripe-bold/124362/,2.78,Pale Lager
Dragon Gold,/beer/dragon-gold/49037/,2.75,Pale Lager
Royal Jamaican Alcoholic Ginger Beer,/beer/royal-jamaican-alcoholic-ginger-beer/147801/,2.75,Spice/Herb/Vegetable
Real Rock Light,/beer/real-rock-light/24481/,2.73,Pale Lager
Red Stripe Sorrel,/beer/red-stripe-sorrel/337694/,2.72,Radler/Shandy
Razz 876 Lager,/beer/razz-876-lager/200020/,2.64,Pale Lager
Red Stripe Light Apple,/beer/red-stripe-light-apple/168941/,2.59,Radler/Shandy
Red Stripe Lemon Paradise,/beer/red-stripe-lemon-paradise/381589/,2.58,Radler/Shandy
Yardy Shandy Lime,/beer/yardy-shandy-lime/185343/,2.53,Radler/Shandy
Old Jamaica Ginger Beer,/beer/old-jamaica-ginger-beer/200573/,2.45,Spice/Herb/Vegetable
Yardy Shandy Ginger,/beer/yardy-shandy-ginger/129509/,2.41,Radler/Shandy
Red Stripe Light Ginger ,/beer/red-stripe-light-ginger/168942/,2.33,Radler/Shandy
Red Stripe Light Lime,/beer/red-stripe-light-lime/184505/,2.31,Radler/Shandy
Real Rock Premium,/beer/real-rock-premium/23765/,2.25,Pale Lager
Talawah Lager,/beer/talawah-lager/185842/,2.21,Pale Lager
Red Stripe,/beer/red-stripe/748/,2.17,Pale Lager
Yardy Lager Beer,/beer/yardy-lager-beer/52182/,2.12,Pale Lager
Red Stripe Light,/beer/red-stripe-light/12883/,1.91,Pale Lager
Kingston Lager,/beer/kingston-lager/29572/,1.80,Pale Lager
