beer,link,score,style
Hakusekikan Hurricane,/beer/hakusekikan-hurricane/45921/,3.87,Barley Wine
Hitachino Nest Espresso Stout,/beer/hitachino-nest-espresso-stout/71055/,3.83,Stout
Hakusekikan Super Vintage Ale,/beer/hakusekikan-super-vintage-ale/39613/,3.81,Barley Wine
AJB - Imperiality,/beer/ajb-imperiality/364800/,3.81,Imperial Stout
Shonan Ichiro's Malt Bourbon Barrel-Aged Belgian Stout,/beer/shonan-ichiros-malt-bourbon-barrel-aged-belgian-stout/399698/,3.81,Imperial Stout
Hakusekikan Brown Ale,/beer/hakusekikan-brown-ale/39612/,3.80,Brown Ale
"Noboribetsu (Oni Densetsu) / Y Market I, Pa King",/beer/noboribetsu-oni-densetsu-y-market-i-pa-king/443162/,3.78,Imperial IPA
Yorocco Skywalker IPA,/beer/yorocco-skywalker-ipa/278387/,3.76,India Pale Ale (IPA)
Shiga Kogen Takashi Ichiro ,/beer/shiga-kogen-takashi-ichiro/245150/,3.75,Imperial Stout
Hidatakayama Karumina,/beer/hidatakayama-karumina/45923/,3.75,Belgian Strong Ale
Shonan Belgian Stout,/beer/shonan-belgian-stout/173806/,3.74,Stout
Shiga Kogen 10th Anniversary IPA,/beer/shiga-kogen-10th-anniversary-ipa/296037/,3.73,India Pale Ale (IPA)
Swan Lake Imperial Stout,/beer/swan-lake-imperial-stout/133791/,3.73,Imperial Stout
Hideji Kuri Kuro (Dark Chestnut Ale),/beer/hideji-kuri-kuro-dark-chestnut-ale/352777/,3.72,Imperial Stout
Fujizakura Heights Rauch Bock,/beer/fujizakura-heights-rauch-bock/80285/,3.72,Smoked
Y Market Meitei King,/beer/y-market-meitei-king/375392/,3.72,Imperial Stout
Shiga Kogen W-IBA Masaji the Great ,/beer/shiga-kogen-w-iba-masaji-the-great/202515/,3.71,Black IPA
Swan Lake Barrel Aged Imperial Stout ,/beer/swan-lake-barrel-aged-imperial-stout/289350/,3.71,Imperial Stout
Tamamura-Honten Yamabushi Saison One Batch #500,/beer/tamamura-honten-yamabushi-saison-one-batch-500/195906/,3.71,Saison
Tamamura-Honten Yamabushi Saison 2: Saison Noir Aged in Oak Barrels,/beer/tamamura-honten-yamabushi-saison-2-saison-noir-aged-in-oak-barrels/154968/,3.70,Saison
Shonan Imperial Stout,/beer/shonan-imperial-stout/58390/,3.69,Imperial Stout
Tamamura-Honten The Far East Barrel Aged Imperial House IPA,/beer/tamamura-honten-the-far-east-barrel-aged-imperial-house-ipa/204703/,3.69,American Strong Ale 
Yorocco Black Saint,/beer/yorocco-black-saint/400663/,3.69,Imperial Porter
Kyoto Brewing Ichii Senshin,/beer/kyoto-brewing-ichii-senshin/344984/,3.69,India Pale Ale (IPA)
Minoh Imperial Stout,/beer/minoh-imperial-stout/83487/,3.69,Imperial Stout
Tamamura Honten (Shiga Kogen) Masaji Ichiro Bourbon Barrel Aged W-IBA,/beer/tamamura-honten-shiga-kogen-masaji-ichiro-bourbon-barrel-aged-w-iba/309749/,3.68,American Strong Ale 
Baird Dark Sky Imperial Stout,/beer/baird-dark-sky-imperial-stout/41761/,3.67,Imperial Stout
Shiga Kogen Isseki Sancho,/beer/shiga-kogen-isseki-sancho/412723/,3.67,Belgian Strong Ale
Y Market Yellow Sky Pale Ale,/beer/y-market-yellow-sky-pale-ale/314586/,3.67,American Pale Ale
Sankt Gallen El Diablo,/beer/sankt-gallen-el-diablo/69976/,3.66,Barley Wine
Shonan W-IPA,/beer/shonan-w-ipa/239791/,3.66,Imperial IPA
