beer,link,score,style
La Robeline Cidre d� J�rri (cask),/beer/la-robeline-cidre-de-jerri-cask/281395/,3.29,Cider
Liberation American Brown Ale,/beer/liberation-american-brown-ale/291001/,3.28,Brown Ale
Liberation 140,/beer/liberation-140/226642/,3.23,Black IPA
Liberation Noire,/beer/liberation-noire/127776/,3.16,Stout
Liberation IPA (Cask),/beer/liberation-ipa-cask/152365/,3.16,Premium Bitter/ESB
Liberation Pony,/beer/liberation-pony/280838/,3.10,English Pale Ale
La Mare Branchage Sparkling cider,/beer/la-mare-branchage-sparkling-cider/226639/,3.08,Cider
Jersey Force 135,/beer/jersey-force-135/52119/,3.07,Golden Ale/Blond Ale
Liberation EPA,/beer/liberation-epa/227818/,3.02,Bitter
La Mare Pompette Vintage Jersey Cider,/beer/la-mare-pompette-vintage-jersey-cider/47844/,3.01,Cider
Tipsy Toad Jimmys Bitter ,/beer/tipsy-toad-jimmys-bitter/32993/,3.00,Bitter
Liberation Blonde (Cask),/beer/liberation-blonde-cask/126643/,2.99,Golden Ale/Blond Ale
Liberation Rouge,/beer/liberation-rouge/127775/,2.98,Bitter
Tipsy Toad Ale,/beer/tipsy-toad-ale/65605/,2.97,Premium Bitter/ESB
Liberation IPA (Bottle),/beer/liberation-ipa-bottle/281387/,2.96,India Pale Ale (IPA)
Pocket Lady Hamilton,/beer/pocket-lady-hamilton/209714/,2.94,Premium Bitter/ESB
Liberation Blonde (Keg),/beer/liberation-blonde-keg/281530/,2.94,Golden Ale/Blond Ale
La Mare Branchage Selection Medium Reserve,/beer/la-mare-branchage-selection-medium-reserve/64697/,2.93,Cider
Liberation Crowd Pleaser,/beer/liberation-crowd-pleaser/260328/,2.92,Bitter
La Robeline Cidre de Jerri (medium),/beer/la-robeline-cidre-de-jerri-medium/90798/,2.92,Cider
La Robeline Cidre de Jerri (dry)   ,/beer/la-robeline-cidre-de-jerri-dry/90832/,2.92,Cider
Mary Ann Special (Cask),/beer/mary-ann-special-cask/63580/,2.92,Premium Bitter/ESB
Guernsey Sunbeam,/beer/guernsey-sunbeam/52118/,2.91,Bitter
Liberation Pilsner,/beer/liberation-pilsner/451272/,2.90,Pilsener
Liberation Ambree,/beer/liberation-ambree/127712/,2.90,Bitter
Liberation Flying Ruck,/beer/liberation-flying-ruck/362901/,2.89,Golden Ale/Blond Ale
Mary Ann Christmas Ale,/beer/mary-ann-christmas-ale/108167/,2.89,Premium Bitter/ESB
Liberation Ale,/beer/liberation-ale/108166/,2.87,Golden Ale/Blond Ale
Liberation South Island Pale Ale,/beer/liberation-south-island-pale-ale/226984/,2.84,Golden Ale/Blond Ale
Liberation Tennerfest Craft Beer,/beer/liberation-tennerfest-craft-beer/319562/,2.81,Golden Ale/Blond Ale
La Robeline Cidre Chaud d� J�rri,/beer/la-robeline-cidre-chaud-de-jerri/281441/,2.81,Cider
La Mare Jersey Cider,/beer/la-mare-jersey-cider/63577/,2.78,Cider
Liberation Herm Island Gold,/beer/liberation-herm-island-gold/279417/,2.77,Golden Ale/Blond Ale
Mary Ann Best Bitter,/beer/mary-ann-best-bitter/11081/,2.68,Bitter
Ann Street Jersey Best Bitter,/beer/ann-street-jersey-best-bitter/63576/,2.64,Bitter
Mary Ann Brown Ale,/beer/mary-ann-brown-ale/10592/,2.61,Mild Ale
Mary Ann Pale Ale,/beer/mary-ann-pale-ale/11874/,2.59,Bitter
Mary Ann Pilsner Lager,/beer/mary-ann-pilsner-lager/11875/,2.28,Pale Lager
Mary Ann Special / Jersey Special Keg,/beer/mary-ann-special-jersey-special-keg/11876/,2.21,Premium Bitter/ESB
Mary Ann Jubilee,/beer/mary-ann-jubilee/23655/,1.95,Imperial Pils/Strong Pale Lager
Liberation Smugglers Delight,/beer/liberation-smugglers-delight/460797/,n/a,Bitter
